Entity,Year,Total fertility (UN Population Division (2015 revision))
Less developed regions,1955,6.08
Less developed regions,1960,5.94
Less developed regions,1965,6.13
Less developed regions,1970,6.03
Less developed regions,1975,5.42
Less developed regions,1980,4.59
Less developed regions,1985,4.17
Less developed regions,1990,3.92
Less developed regions,1995,3.39
Less developed regions,2000,3.00
Less developed regions,2005,2.83
Less developed regions,2010,2.72
Less developed regions,2015,2.65
More developed regions,1955,2.82
More developed regions,1960,2.81
More developed regions,1965,2.69
More developed regions,1970,2.39
More developed regions,1975,2.15
More developed regions,1980,1.92
More developed regions,1985,1.84
More developed regions,1990,1.81
More developed regions,1995,1.67
More developed regions,2000,1.57
More developed regions,2005,1.58
More developed regions,2010,1.67
More developed regions,2015,1.67
World,1955,4.96
World,1960,4.90
World,1965,5.02
World,1970,4.92
World,1975,4.48
World,1980,3.87
World,1985,3.59
World,1990,3.45
World,1995,3.04
World,2000,2.74
World,2005,2.62
World,2010,2.56
World,2015,2.51
