Entity,Year,Tax Revenue (World Bank)
High income,1990,14.66897598
High income,1991,14.88231802
High income,1992,14.41930946
High income,1993,13.96846308
High income,1994,14.78938427
High income,1995,15.18991396
High income,1996,15.4376336
High income,1997,15.66099236
High income,1998,16.12268313
High income,1999,16.31334612
High income,2000,16.5505466
High income,2001,15.79431513
High income,2002,14.62982096
High income,2003,14.68398647
High income,2004,14.93776265
High income,2005,14.92829144
High income,2006,15.6201884
High income,2007,15.89878401
High income,2008,15.28348818
High income,2009,13.56233449
High income,2010,13.91872473
High income,2011,14.3806684
High income,2012,14.5123182
High income,2013,15.07275758
High income,2014,15.63798527
Low & middle income,2005,12.9461689
Low & middle income,2006,13.39489134
Low & middle income,2007,13.5650985
Low & middle income,2008,13.81825251
Low & middle income,2009,12.67299876
Low & middle income,2010,12.59494036
Low & middle income,2011,12.85201148
Low income,2009,10.70112797
Low income,2010,11.60522929
Lower middle income,1990,12.89679129
Lower middle income,1991,12.95364169
Lower middle income,1992,13.36788637
Lower middle income,1993,12.59610919
Lower middle income,1994,12.96502992
Lower middle income,1995,13.00646267
Lower middle income,1996,12.61149365
Lower middle income,1997,12.88557756
Lower middle income,1998,12.30287707
Lower middle income,1999,12.87072411
Lower middle income,2001,10.14400456
Lower middle income,2002,10.94905054
Lower middle income,2003,10.78259848
Lower middle income,2004,10.83589709
Lower middle income,2005,11.12523037
Lower middle income,2006,11.75440606
Lower middle income,2007,12.3692707
Lower middle income,2008,12.18089962
Lower middle income,2009,11.09310578
Lower middle income,2010,10.55182159
Lower middle income,2011,10.33743191
Lower middle income,2012,10.7286052
Middle income,2005,12.97293948
Middle income,2006,13.42910972
Middle income,2007,13.59904903
Middle income,2008,13.849081
Middle income,2009,12.69905584
Middle income,2010,12.60681893
Middle income,2011,12.85328365
OECD members,1990,14.60932092
OECD members,1991,14.81420275
OECD members,1992,14.36288624
OECD members,1993,13.84267037
OECD members,1994,14.60492987
OECD members,1995,15.07073144
OECD members,1996,15.32124536
OECD members,1997,15.61534899
OECD members,1998,15.99795191
OECD members,1999,16.1785754
OECD members,2000,16.35859637
OECD members,2001,15.79811123
OECD members,2002,14.66878277
OECD members,2003,14.70373113
OECD members,2004,14.94308099
OECD members,2005,14.93300244
OECD members,2006,15.63207249
OECD members,2007,15.89769987
OECD members,2008,15.34196634
OECD members,2009,13.6272514
OECD members,2010,14.02263578
OECD members,2011,14.5865662
OECD members,2012,14.72493581
OECD members,2013,15.32738898
OECD members,2014,15.90762648
Sub-Saharan Africa,1993,18.58903198
Sub-Saharan Africa,1994,19.1772788
Sub-Saharan Africa,1995,20.24928336
Sub-Saharan Africa,2003,16.47164126
Sub-Saharan Africa,2004,17.29718482
Sub-Saharan Africa,2005,18.13376472
Sub-Saharan Africa,2006,18.46607924
Sub-Saharan Africa,2007,18.16738721
Sub-Saharan Africa,2008,17.8801494
Sub-Saharan Africa,2009,16.12654425
Sub-Saharan Africa,2010,14.09149811
Sub-Saharan Africa,2011,14.39912178
Sub-Saharan Africa,2012,13.81543591
Upper middle income,2005,13.55637612
Upper middle income,2006,13.95626597
Upper middle income,2007,13.97429956
Upper middle income,2008,14.24491143
Upper middle income,2009,13.09667721
Upper middle income,2010,13.27304024
Upper middle income,2011,13.59787014
World,1990,14.5085847
World,1991,14.66741153
World,1992,14.29979068
World,1993,13.78782116
World,1994,14.5229068
World,1995,15.02862362
World,1996,15.26142302
World,1997,15.30179505
World,1998,15.63592014
World,1999,15.84620114
World,2000,16.05780594
World,2001,15.50715761
World,2002,14.47864906
World,2003,14.49656201
World,2004,14.76358753
World,2005,14.60055707
World,2006,15.21676606
World,2007,15.4221618
World,2008,14.9324724
World,2009,13.34062564
World,2010,13.54270975
World,2011,13.91636082
World,2012,14.38031294
