Entity,Year,Population growth 1992-2015 (UN Population Division)
Afghanistan,2017,141.2984379
Africa,2017,78.47159058
Albania,2017,-9.789430125
Algeria,2017,46.68845927
Angola,2017,114.8254384
Antigua and Barbuda,2017,46.02861444
Argentina,2017,29.00777866
Armenia,2017,-15.27415106
Aruba,2017,52.9141936
Asia,2017,32.58615051
Australia,2017,36.10675269
Australia/New Zealand,2017,35.37526666
Austria,2017,10.82532567
Azerbaijan,2017,28.71480512
Bahamas,2017,45.35459581
Bahrain,2017,162.2613602
Bangladesh,2017,44.93624351
Barbados,2017,8.403640192
Belarus,2017,-7.183482294
Belgium,2017,12.00463262
Belize,2017,84.89787306
Benin,2017,98.35601578
Bhutan,2017,48.13715253
Bolivia,2017,50.38061715
Bosnia and Herzegovina,2017,-16.58805035
Botswana,2017,51.74796835
Brazil,2017,33.25336316
Brunei,2017,52.40817191
Bulgaria,2017,-17.27529992
Burkina Faso,2017,94.79836375
Burundi,2017,80.16286122
Cambodia,2017,61.28076234
Cameroon,2017,84.01683433
Canada,2017,26.65328605
Cape Verde,2017,48.40652761
Caribbean,2017,23.27800053
Central African Republic,2017,46.84700952
Central America,2017,44.41122416
Central Asia,2017,32.68234246
Chad,2017,120.652333
Channel Islands,2017,15.11338554
Chile,2017,29.92933307
China,2017,16.03189571
Colombia,2017,35.63127364
Comoros,2017,78.12522912
Congo,2017,93.8525476
Costa Rica,2017,47.59484827
Cote d'Ivoire,2017,75.55601796
Croatia,2017,-10.49779182
Cuba,2017,6.783232804
Curacao,2017,8.210462879
Cyprus,2017,45.01273406
Czech Republic,2017,2.418973319
Democratic Republic of Congo,2017,104.0280459
Denmark,2017,9.997679657
Djibouti,2017,50.78578466
Dominican Republic,2017,40.96970082
Eastern Africa,2017,90.909581
Eastern Asia,2017,14.87813735
Eastern Europe,2017,-5.59211116
Ecuador,2017,50.8020752
Egypt,2017,56.20443199
El Salvador,2017,16.89057578
Equatorial Guinea,2017,158.2432527
Eritrea,2017,55.42243237
Estonia,2017,-13.51181278
Ethiopia,2017,93.37337482
Europe,2017,2.138965851
Fiji,2017,19.82697833
Finland,2017,8.662983097
France,2017,12.10538183
French Guiana,2017,114.810166
French Polynesia,2017,35.28299865
Gabon,2017,92.11915085
Gambia,2017,101.8529822
Georgia,2017,-25.41600872
Germany,2017,2.075842239
Ghana,2017,78.36963541
Greece,2017,7.332814297
Grenada,2017,9.902467129
Guadeloupe,2017,14.47473092
Guam,2017,18.36610775
Guatemala,2017,67.40336141
Guinea,2017,78.89958303
