Entity,Year,Family benefits public spending (% GDP) (OECD (2016))
Australia,2000,2.906
Australia,2001,2.949
Australia,2002,2.796
Australia,2003,3.198
Australia,2004,2.876
Australia,2005,2.744
Australia,2006,2.589
Australia,2007,2.449
Australia,2008,3.297
Australia,2009,2.698
Australia,2010,2.596
Australia,2011,2.617
Australia,2012,2.797
Australia,2013,2.744
Australia,2014,2.802
Austria,2000,2.732
Austria,2001,2.708
Austria,2002,2.751
Austria,2003,2.874
Austria,2004,2.809
Austria,2005,2.73
Austria,2006,2.628
Austria,2007,2.509
Austria,2008,2.581
Austria,2009,2.787
Austria,2010,2.817
Austria,2011,2.599
Austria,2012,2.561
Austria,2013,2.574
Belgium,2000,2.45
Belgium,2001,2.555
Belgium,2002,2.588
Belgium,2003,2.647
Belgium,2004,2.594
Belgium,2005,2.574
Belgium,2006,2.574
Belgium,2007,2.634
Belgium,2008,2.658
Belgium,2009,2.828
Belgium,2010,2.811
Belgium,2011,2.835
Belgium,2012,2.796
Belgium,2013,2.857
Canada,2000,0.886
Canada,2001,1.022
Canada,2002,1.054
Canada,2003,1.059
Canada,2004,1.073
Canada,2005,1.065
Canada,2006,1.189
Canada,2007,1.223
Canada,2008,1.221
Canada,2009,1.314
Canada,2010,1.266
Canada,2011,1.227
Canada,2012,1.235
Canada,2013,1.206
Canada,2014,1.182
Chile,2000,0.701
Chile,2001,0.743
Chile,2002,0.743
Chile,2003,0.99
Chile,2004,0.976
Chile,2005,0.836
Chile,2006,0.819
Chile,2007,0.951
Chile,2008,1.15
Chile,2009,1.678
Chile,2010,1.487
Chile,2011,1.312
Chile,2012,1.377
Chile,2013,1.416
Chile,2014,1.537
Chile,2015,1.728
Czech Republic,2000,1.778
Czech Republic,2001,1.71
Czech Republic,2002,1.759
Czech Republic,2003,1.68
Czech Republic,2004,1.744
Czech Republic,2005,2.055
Czech Republic,2006,2.015
Czech Republic,2007,2.252
Czech Republic,2008,2.3
Czech Republic,2009,2.423
Czech Republic,2010,2.38
Czech Republic,2011,2.201
