Entity,Year,SO2 emissions per capita (Clio Infra)
Albania,1850,0.000431591
Albania,1860,0.000462546
Albania,1870,0.000478732
Albania,1880,0.000479573
Albania,1890,0.00045079
Albania,1900,0.000470082
Albania,1910,0.000450108
Albania,1920,0.000417001
Albania,1930,0.000505969
Albania,1940,0.003474877
Albania,1950,0.002740982
Albania,1960,0.012942082
Albania,1970,0.021844744
Albania,1980,0.030997403
Albania,1990,0.028353589
Albania,2000,0.004389581
Algeria,1850,0.0001
Algeria,1860,0.0001
Algeria,1870,0.0001
Algeria,1880,0.0001
Algeria,1890,0.000100002
Algeria,1900,0.000100039
Algeria,1910,0.000186245
Algeria,1920,0.000239619
Algeria,1930,0.00037817
Algeria,1940,0.000192754
Algeria,1950,0.001644545
Algeria,1960,0.003161866
Algeria,1970,0.008309782
Algeria,1980,0.007757017
Algeria,1990,0.005465757
Algeria,2000,0.006020337
Angola,1850,0.000113507
Angola,1860,0.000113316
Angola,1870,0.00011921
Angola,1880,0.000135327
Angola,1890,0.000153844
Angola,1900,0.000169925
Angola,1910,0.000178491
Angola,1920,0.000181302
Angola,1930,0.000183771
Angola,1940,0.000185916
Angola,1950,0.000252095
Angola,1960,0.001042454
Angola,1970,0.001714449
Angola,1980,0.001710523
Angola,1990,0.002756758
Angola,2000,0.00218073
Argentina,1850,0.000173622
Argentina,1860,0.000142324
Argentina,1870,0.000117922
Argentina,1880,0.000100128
Argentina,1890,0.002504436
Argentina,1900,0.002690867
Argentina,1910,0.007980355
Argentina,1920,0.003796131
Argentina,1930,0.006287614
Argentina,1940,0.005769713
Argentina,1950,0.00515752
Argentina,1960,0.005952138
Argentina,1970,0.006924123
Argentina,1980,0.005171102
Argentina,1990,0.00347125
Argentina,2000,0.003702885
Armenia,1850,0.000434426
Armenia,1860,0.0004175
Armenia,1870,0.000457354
Armenia,1880,0.000574015
Armenia,1890,0.000952049
Armenia,1900,0.001821824
Armenia,1910,0.001610334
Armenia,1920,0.000832248
Armenia,1930,0.00194104
Armenia,1940,0.003761771
Armenia,1950,0.003779317
Armenia,1960,0.009124839
Armenia,1970,0.017418625
Armenia,1980,0.026667979
Armenia,1990,0.023124879
Armenia,2000,0.004345411
Australia,1850,0.016253504
Australia,1860,0.020257603
Australia,1870,0.017836081
Australia,1880,0.019878661
Australia,1890,0.014563631
Australia,1900,0.032336826
Australia,1910,0.047296364
Australia,1920,0.031100472
Australia,1930,0.042998733
Australia,1940,0.055650897
Australia,1950,0.050857329
Australia,1960,0.082092235
Australia,1970,0.114016266
Australia,1980,0.11001039
Australia,1990,0.093262342
Australia,2000,0.123862497
Austria,1850,0.008112777
Austria,1860,0.016234974
Austria,1870,0.020559312
Austria,1880,0.049516298
Austria,1890,0.043856634
Austria,1900,0.064991124
Austria,1910,0.094982098
Austria,1920,0.019591354
Austria,1930,0.022883224
Austria,1940,0.012185742
Austria,1950,0.029682874
Austria,1960,0.047497255
Austria,1970,0.063656409
Austria,1980,0.050935261
Austria,1990,0.009678623
Austria,2000,0.003935182
Azerbaijan,1850,0.000347379
Azerbaijan,1860,0.000323351
Azerbaijan,1870,0.000339848
Azerbaijan,1880,0.000445295
