Entity,Year,Annual productivity growth rate
Australia,1971,2.506489
Australia,1972,2.204257
Australia,1973,2.043492
Australia,1974,-1.590137
Australia,1975,3.699781
Australia,1976,1.681757
Australia,1977,-0.115794
Australia,1978,4.226636
Australia,1979,0.494194
Australia,1980,1.095044
Australia,1981,2.949597
Australia,1982,1.220409
Australia,1983,2.571695
Australia,1984,2.176122
Australia,1985,-0.13144
Australia,1986,0.07943
Australia,1987,2.1651
Australia,1988,-0.294774
Australia,1989,0.289557
Australia,1990,-1.782189
Australia,1991,2.306685
Australia,1992,3.091633
Australia,1993,0.285159
Australia,1994,0.22696
Australia,1995,3.091294
Australia,1996,3.500248
Australia,1997,3.215639
Australia,1998,3.215069
Australia,1999,0.819841
Australia,2000,1.023363
Australia,2001,3.340802
Australia,2002,1.472798
Australia,2003,2.242086
Australia,2004,-0.287336
Australia,2005,0.590268
Australia,2006,0.487327
Australia,2007,1.248363
Australia,2008,3.388516
Australia,2009,-1.026559
Australia,2010,1.559271
Australia,2011,0.917985
Australia,2012,2.412922
Australia,2013,1.739416
Australia,2014,0.723819
Australia,2015,2.677354
Australia,2016,0.707633
Austria,1996,0.148765
Austria,1997,0.992558
Austria,1998,3.759725
Austria,1999,1.818211
Austria,2000,2.371793
Austria,2001,1.359522
Austria,2002,1.900054
Austria,2003,0.603613
Austria,2004,1.924311
Austria,2005,2.306205
Austria,2006,2.556201
Austria,2007,2.404777
Austria,2008,0.090094
Austria,2009,-0.737134
Austria,2010,1.604013
Austria,2011,0.879609
Austria,2012,1.152782
Austria,2013,0.742607
Austria,2014,0.342403
Austria,2015,1.786314
Austria,2016,-0.38446
Belgium,1971,3.606727
Belgium,1972,6.967104
Belgium,1973,6.748689
Belgium,1974,4.270236
Belgium,1975,0.625578
Belgium,1976,6.100238
Belgium,1977,2.467553
Belgium,1978,3.76117
Belgium,1979,2.353221
Belgium,1980,5.84468
Belgium,1981,3.040218
Belgium,1982,2.770243
Belgium,1983,1.281875
Belgium,1984,1.046951
Belgium,1985,0.819032
Belgium,1986,2.381764
Belgium,1987,2.467175
Belgium,1988,3.48193
Belgium,1989,2.447657
Belgium,1990,1.178623
Belgium,1991,3.799359
Belgium,1992,3.121087
Belgium,1993,2.498357
Belgium,1994,3.660244
Belgium,1995,-0.880862
Belgium,1996,3.015945
Belgium,1997,2.15715
Belgium,1998,-0.479115
Belgium,1999,2.218923
Belgium,2000,0.800861
Belgium,2001,-0.145812
Belgium,2002,2.338642
Belgium,2003,1.1716
Belgium,2004,2.94196
Belgium,2005,1.126859
Belgium,2006,0.930304
Belgium,2007,1.485032
Belgium,2008,-0.583679
Belgium,2009,-0.707655
Belgium,2010,2.23937
Belgium,2011,-0.464657
Belgium,2012,-0.216608
Belgium,2013,0.651985
Belgium,2014,1.093378
Belgium,2015,1.20088
Belgium,2016,0.131029
Canada,1971,2.605786
Canada,1972,3.400519
Canada,1973,2.506164
Canada,1974,0.392584
Canada,1975,1.505799
Canada,1976,5.215817
Canada,1977,2.794836
Canada,1978,0.999305
Canada,1979,-0.894772
Canada,1980,-0.28749
Canada,1981,1.402652
Canada,1982,1.364569
Canada,1983,2.322177
