Entity,Year,Income and wealth (Arroyo-Abad and Lindert (2016)),Consumption (Arroyo-Abad and Lindert (2016)),Trade (Arroyo-Abad and Lindert (2016)),Resources (Arroyo-Abad and Lindert (2016))
Colombia,1905,,,2.5,1.8
Colombia,1907,,,5,0.9
Colombia,1908,,,3.7,1
Colombia,1909,,,3.6,1.1
Colombia,1910,,,3.6,0.8
Colombia,1911,,,2.8,1
Colombia,1912,,,3.7,1
Colombia,1913,,,5,1.1
Colombia,1914,,,3.7,1.2
Colombia,1915,,,2.3,1.1
Colombia,1916,,,4.4,2.2
Colombia,1917,,,2.6,1.8
Colombia,1918,,,1.6,1.4
Colombia,1919,,,1.9,0.9
Colombia,1920,0.2,,3.1,0.9
Colombia,1921,0.2,,0.9,0.9
Colombia,1922,0.1,,1.9,1
Colombia,1923,0.1,,3.3,1
Colombia,1924,0.1,,2.7,0.9
Colombia,1925,0.1,,3.5,0.9
Colombia,1926,0.1,,3.3,0.8
Colombia,1927,0.1,,3.5,0.4
Colombia,1928,0.2,,3.2,0.2
Colombia,1929,0.2,,3.3,0.3
Colombia,1930,0.3,,2.2,0.4
Colombia,1931,0.3,,3.2,0.5
Colombia,1932,0.4,,2.7,0.5
Colombia,1933,0.4,,3.1,0.6
Colombia,1934,0.2,,2.4,0.4
Colombia,1935,0.4,,2.5,0.5
Colombia,1936,0.9,,2.4,0.5
Colombia,1937,1.2,,2.6,0.6
Colombia,1938,1.1,,2,0.6
Colombia,1939,1.1,,2.4,0.7
Colombia,1940,1.2,,1.6,1.1
Colombia,1941,1.3,,1.8,1.7
Colombia,1942,1.4,,1,1.3
Colombia,1943,1.1,,1,1
Colombia,1944,1.7,,1,1
Colombia,1945,1.7,,1.2,1
Colombia,1946,1.8,,1.2,1.7
Colombia,1947,2.3,,1.3,1.8
Colombia,1948,2.3,,1,1.3
Colombia,1949,2.3,,0.6,1.1
Colombia,1950,2.5,,1.2,1
Colombia,1951,2.8,,2.4,1.1
Colombia,1952,3,,2,1
Colombia,1953,2.8,,2.3,0.5
Colombia,1954,3.2,,2.6,0.1
Colombia,1955,3.7,,2,0.2
Colombia,1956,3.6,,1.5,0.2
Colombia,1957,3.4,,1,0.2
Colombia,1958,3.4,,0.9,0
Colombia,1959,3.7,,1.5,0
Colombia,1960,3.8,,2.1,0.1
Colombia,1961,3.4,,1.8,0
Colombia,1962,3.2,,1.5,0
Colombia,1963,3.5,,1.2,0
Colombia,1964,4,,1.3,0
Colombia,1965,3.6,0.6,1,0
Colombia,1966,3.4,0.9,2.6,0
Colombia,1967,4.1,0.7,1.8,0
Colombia,1968,4.1,0.8,2.3,0
Colombia,1969,4.9,1,2.1,0
Colombia,1970,4.6,0.9,2.6,0
Colombia,1971,5.3,1.1,2.2,0
Colombia,1972,4.3,1.1,2.1,0
Colombia,1973,4.5,1.1,1.9,0
Colombia,1974,4.5,1.4,1.9,0
Colombia,1975,4.9,1.9,1.9,0
Colombia,1976,4.7,1.9,2,0
Colombia,1977,3.3,1.8,2.3,0
Colombia,1978,5.3,1.9,1.9,0
Colombia,1979,2.8,2.2,1.9,0
Colombia,1980,3.2,2.1,2.2,0
Colombia,1981,3.4,1.8,1.8,0
Colombia,1982,3.1,2.4,1.7,0
Colombia,1983,2.6,2,1.4,0
Colombia,1984,2.5,2.5,2,0
Colombia,1985,2.6,2.8,2.5,0
Colombia,1986,2.7,2.7,3,0
Colombia,1987,2.5,2.8,3.4,0
Colombia,1988,3.9,3.2,3.3,0
Colombia,1989,3.9,3.1,3,0
Colombia,1990,3.4,2.6,2.1,0
Colombia,1991,5.2,2.9,2,0
Colombia,1992,5.1,3.5,2,0
Colombia,1993,4.8,4.5,2.5,0
Colombia,1994,4.8,4.7,2.7,0
Colombia,1995,4.7,4.8,2.7,0
Colombia,1996,4.8,4.2,2.5,0
Colombia,1997,5.2,4.3,2.7,0
Colombia,1998,4.3,4.3,2.9,0
Colombia,1999,4.2,4.5,2.2,0
Colombia,2000,3.6,4.1,2.1,0
Colombia,2001,4.3,4.7,2.3,0
Colombia,2002,4.1,4.5,2.2,0
Colombia,2003,4.3,4.7,2.3,0
Colombia,2004,4.9,4.8,2.3,0
Colombia,2005,5.1,5,2.6,0
Colombia,2006,5.5,5.4,3.1,0
Colombia,2007,5.6,5.3,3,0
Colombia,2008,5.1,5.4,2.9,0
Colombia,2009,5.6,4.9,2.4,0
Colombia,2010,4.8,5,2.5,0
Colombia,2011,5.4,5.2,2.6,0
Colombia,2012,6.6,5,2.3,0
Colombia,2013,6.9,5.9,0,0
Peru,1900,0.1,1.2,1.9,0
Peru,1901,0.1,1.3,2.2,0
Peru,1902,0.1,1.2,1.9,0
Peru,1903,0.1,1.3,1.9,0
Peru,1904,0.2,1.6,2.1,0
Peru,1905,0.2,1.7,2,0
Peru,1906,0.3,1.8,2.2,0
Peru,1907,0.4,1.8,2.4,0
Peru,1908,0.6,1.8,2.3,0
Peru,1909,0.4,1.5,1.8,0
Peru,1910,0.4,1.7,1.9,0
Peru,1911,0.4,1.9,1.8,0
Peru,1912,0.4,1.9,2.1,0
Peru,1913,0.4,2.2,2.1,0
Peru,1914,0.4,1.9,1.4,0
Peru,1915,0.3,1.6,0.8,0.1
Peru,1916,0.8,1.7,1.1,0.1
Peru,1917,0.7,1.5,0.9,0.2
Peru,1918,0.8,1.1,0.6,0.1
Peru,1919,1,1.2,0.6,0.2
Peru,1920,1.2,1.1,0.8,0.1
Peru,1921,0.5,1.3,1,0.2
Peru,1922,0.7,1.5,0.9,0.3
Peru,1923,0.9,1.5,1.2,0.3
Peru,1924,0.9,1.7,1.5,0.3
Peru,1925,0.7,1.6,1.4,0.3
Peru,1926,0.6,1.8,1.4,0.2
Peru,1927,0.9,2,1.5,0.3
Peru,1928,1,2.2,1.5,0.5
Peru,1929,1,2.1,1.5,0.5
Peru,1930,0.7,2.1,1.2,0.4
Peru,1931,1.1,2.5,1,0.4
Peru,1932,0.7,1.9,0.7,0.4
Peru,1933,1.5,2.7,1,0.6
Peru,1934,1.5,2.5,1.2,0.4
Peru,1935,1.5,2.7,1.4,0.5
Peru,1936,1.4,2.6,1.5,0.5
Peru,1937,1.5,2.5,1.4,0.5
Peru,1938,1.3,2.3,1.3,0.6
Peru,1939,1.4,2.5,1.2,0.5
Peru,1940,1.5,2.3,1.1,0.5
Peru,1941,1.6,2.5,1.2,0.7
Peru,1942,2.5,2.2,0.9,0.4
Peru,1943,3.2,2.3,1,0.5
Peru,1944,1.7,2.2,2.1,0.5
Peru,1945,1.9,2.1,2,0.5
Peru,1946,2.3,2.4,3,0.5
Peru,1947,1.1,1.2,1.6,0.3
Peru,1948,1.5,1.2,1.6,0.3
Peru,1949,1.7,1.8,1.9,0.4
Peru,1950,2.6,2.7,4.5,0.6
Peru,1951,2.2,0.8,5.3,0.3
Peru,1952,2.9,0.7,4.5,0.3
Peru,1953,2.4,0.7,3.6,0.2
Peru,1954,2.2,0.7,3.6,0.3
Peru,1955,2.2,0.8,3.6,0.3
Peru,1956,2.2,0.8,3.5,0.3
Peru,1957,2.2,1,3.6,0.3
Peru,1958,3.1,1,1.7,0.3
Peru,1959,3.7,0.8,1.2,0.2
Peru,1960,4.7,1.7,1.3,0.2
Peru,1961,4.6,2.6,1.3,0.2
Peru,1962,3.2,2.6,1.3,0.2
