Entity,Year,Tax Revenue (Piketty (2014)),Top marignal income tax rate (Piketty (2014))
France,1870,8,
France,1880,8,
France,1890,8,
France,1896,8.9,
France,1897,9.5,
France,1898,9.1,
France,1899,8.7,
France,1900,8.7,0
France,1901,8.8,0
France,1902,9,0
France,1903,8.9,0
France,1904,8.8,0
France,1905,8.7,0
France,1906,9,0
France,1907,8.6,0
France,1908,8.7,0
France,1909,8.7,0
France,1910,9.2,0
France,1911,9.2,0
France,1912,8.2,0
France,1913,8.6,0
France,1914,7.1,0
France,1915,6.3,2
France,1916,6.3,10
France,1917,6.7,20
France,1918,6.2,20
France,1919,8.1,50
France,1920,9.3,50
France,1921,11.8,50
France,1922,12.1,50
France,1923,12.4,60
France,1924,13.2,72
France,1925,13.5,60
France,1926,15.7,30
France,1927,17,30
France,1928,16.8,33.33
France,1929,17,33.33
France,1930,17,33.33
France,1931,18.9,33.33
France,1932,20.9,36.67
France,1933,19.7,36.67
France,1934,20.7,30
France,1935,20.4,36
France,1936,17.3,48
France,1937,16.4,51.84
France,1938,18.4,53.332
France,1939,17.7,53.332
France,1940,17.5,53.332
France,1941,17.9,60
France,1942,18.3,70
France,1943,18.4,70
France,1944,18.1,70
France,1945,20.8,60
France,1946,23.8,60
France,1947,25.4,72
France,1948,25.2,60
France,1949,27.4,60
France,1950,28.5,60
France,1951,29.2,60
France,1952,30.7,60
France,1953,31.8,60
France,1954,31.1,60
France,1955,30.1,66
France,1956,30.9,66
France,1957,31.4,66
France,1958,32.6,66
France,1959,34,66
France,1960,32.9,66
France,1961,33.8,63
France,1962,33.7,63
France,1963,34.6,64.575
France,1964,35.9,63
France,1965,36.2,63
France,1966,36.1,65
France,1967,35.9,66
France,1968,36.2,66
France,1969,36.9,64.5
France,1970,36.6,61.8
France,1971,36.3,61.2
France,1972,36.7,60
France,1973,36.3,60
France,1974,37,60
France,1975,38.8,60
France,1976,41,60
France,1977,41,60
France,1978,41.8,60
France,1979,43.9,60
France,1980,44.7,66
France,1981,44.8,66
France,1982,46.1,69.55
France,1983,47,70.2
France,1984,47.7,66.95
France,1985,47.4,65
France,1986,46.1,58
France,1987,46.6,56.8
France,1988,46.2,56.8
France,1989,46.2,56.8
France,1990,46.6,56.8
France,1991,46.9,57.9
France,1992,46.8,57.9
France,1993,47.4,59.2
France,1994,48.2,59.2
France,1995,48.2,59.2
France,1996,49.6,57.9
France,1997,49.8,57.9
France,1998,49.6,62
France,1999,50.1,62
France,2000,49.6,61.25
France,2001,49.4,60.75
France,2002,49,57.58
France,2003,48.6,56.09
France,2004,49.2,56.09
France,2005,49.8,56.09
France,2006,50.1,48
France,2007,49.3,48
France,2008,49.3,48
France,2009,,48
France,2010,,49
France,2011,,49
France,2012,,53
France,2013,,53
Germany,1900,,3
Germany,1901,,3
Germany,1902,,3
Germany,1903,,3
Germany,1904,,3
Germany,1905,,3
Germany,1906,,3
Germany,1907,,3
Germany,1908,,3
Germany,1909,,3
Germany,1910,,3
Germany,1911,,3
Germany,1912,,3
Germany,1913,,3
Germany,1914,,4
Germany,1915,,4
Germany,1916,,4
Germany,1917,,4
Germany,1918,,20
Germany,1919,,30
Germany,1920,,40
Germany,1921,,40
Germany,1922,,40
Germany,1923,,40
Germany,1924,,40
Germany,1925,,40
Germany,1926,,40
Germany,1927,,40
Germany,1928,,40
Germany,1929,,40
Germany,1930,,40
Germany,1931,,40
Germany,1932,,40
Germany,1933,,40
Germany,1934,,50
Germany,1935,,50
Germany,1936,,50
Germany,1937,,50
Germany,1938,,50
Germany,1939,,60
Germany,1940,,60
Germany,1941,,60
Germany,1942,,60
Germany,1943,,60
Germany,1944,,60
Germany,1945,,60
Germany,1946,,90
Germany,1947,,90
Germany,1948,,90
Germany,1949,,75
Germany,1950,,75
Germany,1951,,75
Germany,1952,,75
Germany,1953,,66
Germany,1954,,60
Germany,1955,,53
Germany,1956,,53
Germany,1957,,53
Germany,1958,,53
Germany,1959,,53
Germany,1960,,53
Germany,1961,,53
Germany,1962,,53
Germany,1963,,53
Germany,1964,,53
Germany,1965,,53
Germany,1966,,53
Germany,1967,,53
Germany,1968,,53
Germany,1969,,53
Germany,1970,,53
Germany,1971,,53
Germany,1972,,53
Germany,1973,,53
Germany,1974,,53
Germany,1975,,56
Germany,1976,,56
Germany,1977,,56
Germany,1978,,56
Germany,1979,,56
Germany,1980,,56
Germany,1981,,56
Germany,1982,,56
Germany,1983,,56
Germany,1984,,56
Germany,1985,,56
Germany,1986,,56
Germany,1987,,56
Germany,1988,,56
Germany,1989,,56
Germany,1990,,53
Germany,1991,,53
Germany,1992,,53
Germany,1993,,53
Germany,1994,,53
Germany,1995,,53
Germany,1996,,53
Germany,1997,,53
Germany,1998,,53
Germany,1999,,53
Germany,2000,,51
Germany,2001,,48.5
Germany,2002,,48.5
Germany,2003,,48.5
Germany,2004,,45
Germany,2005,,42
Germany,2006,,42
Germany,2007,,45
Germany,2008,,45
Germany,2009,,45
Germany,2010,,45
Germany,2011,,45
Germany,2012,,45
Germany,2013,,45
Sweden,1880,7,
Sweden,1890,8.6,
Sweden,1900,8.2,
Sweden,1910,9.1,
Sweden,1913,8.2,
Sweden,1918,11.7,
Sweden,1923,12.2,
Sweden,1928,10.5,
Sweden,1933,13,
Sweden,1938,13.9,
Sweden,1943,17.8,
Sweden,1949,20.43,
Sweden,1950,21.27,
Sweden,1951,22.21,
Sweden,1952,23.15,
Sweden,1953,24.11,
Sweden,1954,24.71,
Sweden,1955,26.45,
Sweden,1956,25.88,
Sweden,1957,27.5,
Sweden,1958,27.07,
Sweden,1959,27.29,
Sweden,1960,30.03,
Sweden,1961,30.13,
Sweden,1962,31.93,
Sweden,1963,32.4,
Sweden,1964,33.63,
Sweden,1965,33.26,
Sweden,1966,33.99,
Sweden,1967,34.91,
Sweden,1968,36.92,
Sweden,1969,37.88,
Sweden,1970,37.81,
Sweden,1971,38.59,
Sweden,1972,39.91,
Sweden,1973,39.12,
Sweden,1974,40.25,
Sweden,1975,41.24,
Sweden,1976,45.29,
Sweden,1977,47.43,
Sweden,1978,47.81,
Sweden,1979,46.56,
Sweden,1980,46.38,
Sweden,1981,47.72,
Sweden,1982,46.71,
Sweden,1983,47.35,
Sweden,1984,46.96,
Sweden,1985,47.36,
Sweden,1986,49.56,
Sweden,1987,52.08,
Sweden,1988,51.4,
Sweden,1989,51.86,
Sweden,1990,52.23,
Sweden,1991,49.82,
Sweden,1992,47.26,
Sweden,1993,46.07,
Sweden,1994,46.33,
Sweden,1995,47.48,
Sweden,1996,49.42,
Sweden,1997,50.63,
Sweden,1998,51.05,
Sweden,1999,51.42,
Sweden,2000,51.79,
Sweden,2001,49.85,
Sweden,2002,47.91,
Sweden,2003,48.34,
Sweden,2004,48.72,
Sweden,2005,49.48,
Sweden,2006,49.06,
Sweden,2007,48.27,
United Kingdom,1868,7.4,
United Kingdom,1872,6.8,
United Kingdom,1875,6.7,
United Kingdom,1880,7.5,
United Kingdom,1885,8.5,
United Kingdom,1890,7.4,
United Kingdom,1895,7.8,
United Kingdom,1900,7.9,0
United Kingdom,1901,,0
United Kingdom,1902,,0
United Kingdom,1903,,0
United Kingdom,1904,,0
United Kingdom,1905,9.6,0
United Kingdom,1906,,0
United Kingdom,1907,,0
United Kingdom,1908,,0
United Kingdom,1909,,8.333333333
United Kingdom,1910,8.8,8.333333333
United Kingdom,1911,,8.333333333
