Entity,Year,"Crude marriage rate (per 1,000 inhabitants)"
Albania,1960,7.8
Albania,1961,11.3
Albania,1962,7.5
Albania,1963,7.5
Albania,1964,7.2
Albania,1965,7.5
Albania,1966,6.8
Albania,1967,8.6
Albania,1968,7.8
Albania,1969,7.4
Albania,1970,6.8
Albania,1971,7
Albania,1972,7.2
Albania,1973,8
Albania,1975,7.8
Albania,1976,7.6
Albania,1977,7.9
Albania,1978,8
Albania,1979,8.2
Albania,1980,8.1
Albania,1981,8.5
Albania,1982,9
Albania,1983,9
Albania,1984,9.1
Albania,1985,8.5
Albania,1986,8.5
Albania,1987,8.9
Albania,1988,9
Albania,1989,8.6
Albania,1990,8.9
Albania,1991,7.7
Albania,1992,8.3
Albania,1993,8.1
Albania,1994,8.6
Albania,1995,8.3
Albania,1996,8.4
Albania,1997,7.2
Albania,1998,8.3
Albania,1999,8.5
Albania,2000,8.4
Albania,2001,8.4
Albania,2002,8.5
Albania,2003,8.8
Albania,2004,6.7
Albania,2005,6.9
Albania,2006,6.8
Albania,2007,7.1
Albania,2008,6.7
Albania,2013,8.2
Albania,2014,8.2
Albania,2015,8.7
Albania,2016,7.8
Albania,2017,7.9
Algeria,1967,4.699999809
Algeria,1985,5.599999905
Algeria,1995,5.5
Algeria,2005,8.5
Algeria,2007,9.600000381
American Samoa,1970,11.30000019
American Samoa,1985,10.19999981
American Samoa,1993,6.199999809
American Samoa,2005,3.099999905
American Samoa,2006,2.599999905
Andorra,1976,5.099999905
Andorra,1985,2.599999905
Andorra,1996,1.899999976
Andorra,2004,2.9
Andorra,2005,2.9
Andorra,2006,3.7
Andorra,2007,3.1
Andorra,2008,3.1
Andorra,2009,3.1
Andorra,2012,3.7
Angola,1970,4.300000191
Anguilla,1985,13.69999981
Anguilla,1995,19.70000076
Anguilla,2005,6.5
Anguilla,2006,5.5
Antigua and Barbuda,1971,4.599999905
Antigua and Barbuda,1985,4.099999905
Antigua and Barbuda,1995,21
Argentina,1970,7.5
Argentina,1983,6.300000191
Argentina,1995,4.300000191
Argentina,2005,3.400000095
Argentina,2006,3.400000095
Argentina,2010,3
Argentina,2011,3.1
Argentina,2012,3.2
Argentina,2013,2.9
Argentina,2014,2.8
Argentina,2015,2.8
Argentina,2016,2.7
Armenia,1970,7.300000191
Armenia,1985,9.899999619
Armenia,1995,4.199999809
Armenia,2004,5.3
Armenia,2005,5.2
Armenia,2006,5.2
Armenia,2007,5.6
Armenia,2008,5.7
Armenia,2009,5.8
Armenia,2010,5.2
Armenia,2011,6
Armenia,2015,5.9
Armenia,2016,5.4
Armenia,2017,5.1
Aruba,1974,8.300000191
Aruba,1985,7
Aruba,1995,7.400000095
Aruba,2005,5.699999809
Aruba,2006,5.300000191
Australia,1970,9.3
Australia,1980,7.4
