Entity,Year,Average weekly hours worked per person by demographic group (Ramey and Francis (2009)),Average weekly hours devoted to school (Ramey and Francis (2009)),Weekly home production time by demographic group (Ramey and Francis (2009)),Average weekly leisure estimates by age (Ramey and Francis (2009))
Ages 10 to 13 (male),1900,7.6999998,,,
Ages 10 to 13 (male),1910,5.4000001,,,
Ages 10 to 13 (male),1920,2.0999999,,,
Ages 10 to 13 (male),1930,1.2,,,
Ages 10 to 13 (male),1940,0,,,
Ages 10 to 13 (male),1950,0,,,
Ages 10 to 13 (male),1960,0,,,
Ages 10 to 13 (male),1970,0,,,
Ages 10 to 13 (male),1980,0,,,
Ages 10 to 13 (male),1990,0,,,
Ages 10 to 13 (male),2000,0,,,
Ages 10 to 13 (male),2005,0,,,
Ages 10-13 (female),1900,2.8,,,
Ages 10-13 (female),1910,2.2,,,
Ages 10-13 (female),1920,1,,,
Ages 10-13 (female),1930,.5,,,
Ages 10-13 (female),1940,0,,,
Ages 10-13 (female),1950,0,,,
Ages 10-13 (female),1960,0,,,
Ages 10-13 (female),1970,0,,,
Ages 10-13 (female),1980,0,,,
Ages 10-13 (female),1990,0,,,
Ages 10-13 (female),2000,0,,,
Ages 10-13 (female),2005,0,,,
Ages 10-13 (total),1900,5.1999998,,,
Ages 10-13 (total),1910,3.8,,,
Ages 10-13 (total),1920,1.6,,,
Ages 10-13 (total),1930,.89999998,,,
Ages 10-13 (total),1940,0,,,
Ages 10-13 (total),1950,0,,,
Ages 10-13 (total),1960,0,,,
Ages 10-13 (total),1970,0,,,
Ages 10-13 (total),1980,0,,,
Ages 10-13 (total),1990,0,,,
Ages 10-13 (total),2000,0,,,
Ages 10-13 (total),2005,0,,,
Ages 14 to 17 (male),1900,29.1,,,
Ages 14 to 17 (male),1910,26.299999,,,
Ages 14 to 17 (male),1920,22.1,,,
Ages 14 to 17 (male),1930,15.3,,,
Ages 14 to 17 (male),1940,8.1999998,,,
Ages 14 to 17 (male),1950,8.8000002,,,
Ages 14 to 17 (male),1960,6.3000002,,,
Ages 14 to 17 (male),1970,5.1999998,,,
Ages 14 to 17 (male),1980,5.1999998,,,
Ages 14 to 17 (male),1990,3.9000001,,,
Ages 14 to 17 (male),2000,4.0999999,,,
Ages 14 to 17 (male),2005,2.9000001,,,
