Entity,Year,Number of colonial or imperial conflicts,Number of conflicts between states,Number of civil conflicts,Number of civil conflicts with foreign state intervention,Number of conflicts (all types)
Africa,1946,0,0,0,0,0
Africa,1947,1,0,0,0,1
Africa,1948,0,0,0,0,0
Africa,1949,0,0,0,0,0
Africa,1950,0,0,0,0,0
Africa,1951,0,0,0,0,0
Africa,1952,1,0,0,0,1
Africa,1953,3,0,0,0,3
Africa,1954,4,0,0,0,4
Africa,1955,4,0,0,0,4
Africa,1956,4,0,0,0,4
Africa,1957,4,0,0,0,4
Africa,1958,4,0,0,0,4
Africa,1959,2,0,0,0,2
Africa,1960,1,0,2,1,4
Africa,1961,2,1,3,0,6
Africa,1962,2,0,2,0,4
Africa,1963,2,1,1,0,4
Africa,1964,3,1,4,1,9
Africa,1965,3,0,4,0,7
Africa,1966,3,0,6,0,9
Africa,1967,3,0,7,0,10
Africa,1968,3,0,6,0,9
Africa,1969,3,0,4,1,8
Africa,1970,3,0,4,1,8
Africa,1971,3,0,7,1,11
Africa,1972,3,0,4,1,8
Africa,1973,3,0,3,0,6
Africa,1974,2,0,4,0,6
Africa,1975,0,0,5,2,7
Africa,1976,0,0,9,2,11
Africa,1977,0,1,9,4,14
Africa,1978,0,2,9,4,15
Africa,1979,0,0,8,3,11
Africa,1980,0,1,7,6,14
Africa,1981,0,0,9,5,14
Africa,1982,0,0,10,2,12
Africa,1983,0,1,12,3,16
Africa,1984,0,0,10,2,12
Africa,1985,0,1,8,2,11
Africa,1986,0,0,10,3,13
Africa,1987,0,1,10,3,14
Africa,1988,0,0,9,2,11
Africa,1989,0,0,10,2,12
Africa,1990,0,0,11,2,13
Africa,1991,0,0,17,1,18
Africa,1992,0,0,14,1,15
Africa,1993,0,0,10,1,11
Africa,1994,0,0,14,1,15
Africa,1995,0,0,10,1,11
Africa,1996,0,1,9,2,12
Africa,1997,0,0,11,3,14
Africa,1998,0,1,11,5,17
Africa,1999,0,1,10,5,16
Africa,2000,0,1,11,3,15
Africa,2001,0,0,13,3,16
Africa,2002,0,0,13,2,15
Africa,2003,0,0,11,1,12
Africa,2004,0,0,9,1,10
Africa,2005,0,0,7,1,8
Africa,2006,0,0,8,2,10
Africa,2007,0,0,11,1,12
Africa,2008,0,1,10,2,13
Africa,2009,0,0,10,3,13
Africa,2010,0,0,6,4,10
Africa,2011,0,0,10,5,15
Africa,2012,0,1,7,5,13
Africa,2013,0,0,7,7,14
Africa,2014,0,0,7,7,14
Africa,2015,0,0,11,10,21
Africa,2016,0,1,13,8,22
Africa,2017,0,0,9,10,19
Africa,2018,0,0,10,11,21
Africa,2019,0,0,9,17,26
Africa,2020,0,0,13,17,30
Americas,1946,0,0,1,0,1
Americas,1947,0,0,1,0,1
Americas,1948,0,0,1,0,1
Americas,1949,0,0,1,0,1
Americas,1950,1,0,0,0,1
Americas,1951,0,0,0,0,0
Americas,1952,0,0,1,0,1
Americas,1953,0,0,1,0,1
Americas,1954,0,0,2,0,2
Americas,1955,0,0,1,0,1
Americas,1956,0,0,1,0,1
Americas,1957,0,1,1,0,2
Americas,1958,0,0,1,0,1
Americas,1959,0,0,0,0,0
Americas,1960,0,0,0,0,0
Americas,1961,0,0,0,1,1
Americas,1962,0,0,1,0,1
Americas,1963,0,0,2,0,2
Americas,1964,0,0,1,0,1
Americas,1965,0,0,4,0,4
Americas,1966,0,0,2,0,2
Americas,1967,0,0,3,0,3
Americas,1968,0,0,2,0,2
Americas,1969,0,1,2,0,3
Americas,1970,0,0,2,0,2
Americas,1971,0,0,2,0,2
Americas,1972,0,0,4,0,4
Americas,1973,0,0,3,0,3
Americas,1974,0,0,3,0,3
Americas,1975,0,0,3,0,3
Americas,1976,0,0,3,0,3
