Entity,Year,Manuscript production per century,Production of printed books per half century,Annual per capita consumption of books
Austria,550,0,,
Austria,650,0,,
Austria,750,2735000,,
Austria,850,9414000,,
Austria,950,0,,
Austria,1050,2808000,,
Austria,1150,37370000,,
Austria,1250,37408000,,
Austria,1350,39777000,,
Austria,1450,88623000,,
Belgium,550,0,,
Belgium,650,127000,,
Belgium,750,1111000,,
Belgium,850,3029000,,
Belgium,950,1555000,,
Belgium,1050,8529000,,
Belgium,1150,43219000,,
Belgium,1250,119588000,,
Belgium,1350,106148000,,
Belgium,1450,572124000,,
Belgium,1475,,394000,0.0047
Belgium,1525,,1963000,0.0177
Belgium,1575,,5720000,0.0482
Belgium,1625,,4334000,0.0332
Belgium,1675,,7203000,0.0736
Belgium,1725,,3016000,0.0307
Belgium,1775,,4817000,0.0445
Bohemia,550,0,,
Bohemia,650,0,,
Bohemia,750,0,,
Bohemia,850,0,,
Bohemia,950,0,,
Bohemia,1050,657000,,
Bohemia,1150,1136000,,
Bohemia,1250,5377000,,
Bohemia,1350,42066000,,
Bohemia,1450,45363000,,
British Isles,550,81000,,
British Isles,650,1026000,,
British Isles,750,5474000,,
British Isles,850,7926000,,
British Isles,950,9793000,,
British Isles,1050,20360000,,
British Isles,1150,81044000,,
British Isles,1250,200654000,,
British Isles,1350,155513000,,
British Isles,1450,208729000,,
Central Europe,550,0,,
Central Europe,650,0,,
Central Europe,750,0,,
Central Europe,850,0,,
Central Europe,950,0,,
Central Europe,1050,3983000,,
Central Europe,1150,27530000,,
Central Europe,1250,120987000,,
Central Europe,1350,301833000,,
Central Europe,1450,376650000,,
France,550,1682000,,
France,650,2441000,,
France,750,15920000,,
France,850,74190000,,
France,950,12752000,,
France,1050,45061000,,
France,1150,197831000,,
France,1250,510828000,,
France,1350,564624000,,
France,1450,1195783000,,
France,1475,,2861000,0.0032
France,1525,,34736000,0.0299
France,1575,,39084000,0.0337
France,1625,,61257000,0.0522
France,1675,,85163000,0.0701
France,1725,,73631000,0.0587
France,1775,,157153000,0.1179
Germany,550,0,,
Germany,650,0,,
Germany,750,7503000,,
Germany,850,59771000,,
Germany,950,45703000,,
Germany,1050,49548000,,
Germany,1150,166876000,,
Germany,1250,270392000,,
Germany,1350,293814000,,
