Entity,Year,"Age-standardized cancer death rate attributed to tobacco (per 100,000)",Age-standardized share of cancer deaths attributed to tobacco
Afghanistan,1990,30,19.3
Afghanistan,1995,30.9,19.1
Afghanistan,2000,30.7,18.6
Afghanistan,2005,31.8,18.9
Afghanistan,2006,31.9,19
Afghanistan,2010,31.9,19.4
Afghanistan,2016,32.7,20.3
Albania,1990,35.7,29.3
Albania,1995,35.7,29.4
Albania,2000,42.2,31.8
Albania,2005,40.2,29.7
Albania,2006,39.2,29.3
Albania,2010,35.9,28.1
Albania,2016,34.3,28
Algeria,1990,13.1,15.9
Algeria,1995,11.6,14.5
Algeria,2000,7.1,10
Algeria,2005,6.5,9.3
Algeria,2006,6.1,8.8
Algeria,2010,5.1,7.5
Algeria,2016,5,7.4
American Samoa,1990,36.8,24.2
American Samoa,1995,35.8,23.6
American Samoa,2000,33.4,22.6
American Samoa,2005,34.9,22.8
American Samoa,2006,34.5,22.4
American Samoa,2010,32.8,21.6
American Samoa,2016,34.6,22.4
Andorra,1990,34.9,23.2
Andorra,1995,32.8,22.4
Andorra,2000,29.6,22
Andorra,2005,29.1,22.3
Andorra,2006,28.8,22.2
Andorra,2010,28.4,21.8
Andorra,2016,29.9,22.4
Angola,1990,13.2,10.1
Angola,1995,12.8,9.5
Angola,2000,11.4,8.6
Angola,2005,11.1,8.2
Angola,2006,11.4,8.3
Angola,2010,11.9,8.8
Angola,2016,13.8,10.2
Antigua and Barbuda,1990,12,8.1
Antigua and Barbuda,1995,10.8,7.5
Antigua and Barbuda,2000,10.4,7.1
Antigua and Barbuda,2005,8.1,6
Antigua and Barbuda,2006,8.2,6.1
Antigua and Barbuda,2010,7.4,5.7
Antigua and Barbuda,2016,6.7,5.2
Argentina,1990,44.6,24.7
Argentina,1995,43.2,24.4
Argentina,2000,40.6,23.5
Argentina,2005,38.1,22.7
Argentina,2006,37.8,22.7
Argentina,2010,36,22.4
Argentina,2016,34,22
Armenia,1990,42.4,28.7
Armenia,1995,45.5,29.8
Armenia,2000,43.6,29.4
Armenia,2005,51,31.5
Armenia,2006,54.5,32.5
Armenia,2010,55.5,32.4
Armenia,2016,43.3,29.2
Australasia,1990,47.7,27.6
Australasia,1995,45.3,26.7
Australasia,2000,40.3,25.6
Australasia,2005,36.9,25
Australasia,2006,36.5,25
Australasia,2010,34.5,24.3
Australasia,2016,32.2,23.3
Australia,1990,46.4,27.3
Australia,1995,44.2,26.6
Australia,2000,39.5,25.6
Australia,2005,36.3,25.1
Australia,2006,36,25.1
Australia,2010,34.2,24.4
Australia,2016,31.9,23.5
Austria,1990,45.3,25.2
Austria,1995,43.2,25.2
