Entity,Year,Rate of Natural Population Increase (UN Population Division (2015))
Afghanistan,1955,1.3429
Afghanistan,1960,1.7255
Afghanistan,1965,2.0297
Afghanistan,1970,2.2905
Afghanistan,1975,2.5006
Afghanistan,1980,2.7075
Afghanistan,1985,2.9585
Afghanistan,1990,3.2429
Afghanistan,1995,3.4362
Afghanistan,2000,3.6287
Afghanistan,2005,3.5318
Afghanistan,2010,3.2388
Afghanistan,2015,2.7055
Africa,1955,2.1242
Africa,1960,2.338
Africa,1965,2.5075
Africa,1970,2.5947
Africa,1975,2.7175
Africa,1980,2.8398
Africa,1985,2.8857
Africa,1990,2.8243
Africa,1995,2.6172
Africa,2000,2.5072
Africa,2005,2.4853
Africa,2010,2.5593
Africa,2015,2.6001
Albania,1955,2.339
Albania,1960,2.8296
Albania,1965,2.9463
Albania,1970,2.5164
Albania,1975,2.2862
Albania,1980,2.1217
Albania,1985,2.023
Albania,1990,2.0149
Albania,1995,1.6811
Albania,2000,1.2513
Albania,2005,0.8743
Albania,2010,0.4855
Albania,2015,0.597
Algeria,1955,2.7118
Algeria,1960,2.8386
Algeria,1965,3.0083
Algeria,1970,3.009
Algeria,1975,3.0799
Algeria,1980,3.1664
Algeria,1985,3.1589
Algeria,1990,2.8382
Algeria,1995,2.2771
Algeria,2000,1.6268
Algeria,2005,1.4209
Algeria,2010,1.804
Algeria,2015,1.9939
Angola,1955,1.9785
Angola,1960,2.1341
Angola,1965,2.2805
Angola,1970,2.4435
Angola,1975,2.647
Angola,1980,2.8543
Angola,1985,2.8938
Angola,1990,2.9376
Angola,1995,2.9324
Angola,2000,3.05
Angola,2005,3.2534
Angola,2010,3.2931
Angola,2015,3.2003
Antigua and Barbuda,1955,2.4761
Antigua and Barbuda,1960,2.4356
Antigua and Barbuda,1965,2.3352
Antigua and Barbuda,1970,2.3487
Antigua and Barbuda,1975,2.008
Antigua and Barbuda,1980,1.3013
Antigua and Barbuda,1985,1.2593
Antigua and Barbuda,1990,1.1879
Antigua and Barbuda,1995,1.1749
Antigua and Barbuda,2000,1.3365
Antigua and Barbuda,2005,1.298
Antigua and Barbuda,2010,1.1214
Antigua and Barbuda,2015,1.0368
Argentina,1955,1.6286
Argentina,1960,1.5674
Argentina,1965,1.438
Argentina,1970,1.3488
Argentina,1975,1.442
Argentina,1980,1.6753
Argentina,1985,1.4653
Argentina,1990,1.3821
Argentina,1995,1.3201
Argentina,2000,1.1895
Argentina,2005,1.1433
Argentina,2010,1.0763
Argentina,2015,1.0227
Armenia,1955,2.1959
Armenia,1960,2.619
Armenia,1965,2.622
Armenia,1970,1.7815
Armenia,1975,1.653
Armenia,1980,1.5868
Armenia,1985,1.6482
Armenia,1990,1.5332
Armenia,1995,1.0329
Armenia,2000,0.4876
Armenia,2005,0.5437
Armenia,2010,0.5659
Armenia,2015,0.4286
Aruba,1955,3.5412
Aruba,1960,3.1437
Aruba,1965,2.68
Aruba,1970,2.0545
Aruba,1975,1.713
Aruba,1980,1.6268
Aruba,1985,1.5766
Aruba,1990,1.3785
Aruba,1995,1.1118
Aruba,2000,0.8426
Aruba,2005,0.6098
Aruba,2010,0.3982
Aruba,2015,0.2023
Asia,1955,1.9075
Asia,1960,1.8842
Asia,1965,2.1082
Asia,1970,2.4554
Asia,1975,2.3036
Asia,1980,1.9889
Asia,1985,1.9683
Asia,1990,2.0176
Asia,1995,1.6823
Asia,2000,1.3682
Asia,2005,1.2435
Asia,2010,1.1661
Asia,2015,1.0731
Australia,1955,1.3736
Australia,1960,1.3993
Australia,1965,1.2792
Australia,1970,1.1271
Australia,1975,1.0804
Australia,1980,0.811
Australia,1985,0.8216
Australia,1990,0.7779
Australia,1995,0.7686
Australia,2000,0.6499
Australia,2005,0.6012
Australia,2010,0.7125
Australia,2015,0.6789
Australia/New Zealand,1955,1.4235
Australia/New Zealand,1960,1.465
Australia/New Zealand,1965,1.3592
Australia/New Zealand,1970,1.1819
Australia/New Zealand,1975,1.1137
Australia/New Zealand,1980,0.8253
Australia/New Zealand,1985,0.8136
Australia/New Zealand,1990,0.7871
Australia/New Zealand,1995,0.7908
Australia/New Zealand,2000,0.6663
Australia/New Zealand,2005,0.6196
Australia/New Zealand,2010,0.7285
Australia/New Zealand,2015,0.6798
Austria,1955,0.2623
Austria,1960,0.4796
Austria,1965,0.605
Austria,1970,0.4336
Austria,1975,0.0961
Austria,1980,-0.0956
Austria,1985,-0.0388
Austria,1990,-0.0129
Austria,1995,0.098
Austria,2000,0.0324
Austria,2005,0.0144
Austria,2010,0.0081
Austria,2015,0.013
Azerbaijan,1955,2.7109
Azerbaijan,1960,2.8334
Azerbaijan,1965,2.9039
Azerbaijan,1970,2.2461
Azerbaijan,1975,1.8433
Azerbaijan,1980,1.681
Azerbaijan,1985,1.7166
Azerbaijan,1990,1.9038
Azerbaijan,1995,1.7612
Azerbaijan,2000,1.1749
Azerbaijan,2005,1.0431
Azerbaijan,2010,1.4341
Azerbaijan,2015,1.4219
Bahamas,1955,2.3274
Bahamas,1960,2.5081
Bahamas,1965,2.591
Bahamas,1970,1.9686
Bahamas,1975,2.0812
Bahamas,1980,1.9009
Bahamas,1985,2.1416
Bahamas,1990,1.8535
Bahamas,1995,1.8049
Bahamas,2000,1.4419
Bahamas,2005,1.0121
Bahamas,2010,0.9984
Bahamas,2015,0.9356
Bahrain,1955,2.3873
Bahrain,1960,2.8286
Bahrain,1965,3.3372
Bahrain,1970,3.2916
Bahrain,1975,2.873
Bahrain,1980,2.8251
Bahrain,1985,2.8911
Bahrain,1990,2.78
Bahrain,1995,2.3519
Bahrain,2000,1.9515
Bahrain,2005,1.7383
Bahrain,2010,1.4615
Bahrain,2015,1.3038
Bangladesh,1955,2.1408
Bangladesh,1960,2.6912
Bangladesh,1965,2.99
Bangladesh,1970,3.1023
Bangladesh,1975,2.7079
Bangladesh,1980,2.9404
Bangladesh,1985,2.8647
Bangladesh,1990,2.6507
Bangladesh,1995,2.3703
Bangladesh,2000,2.18
Bangladesh,2005,1.9473
Bangladesh,2010,1.6646
Bangladesh,2015,1.4849
Barbados,1955,2.0914
Barbados,1960,1.8482
Barbados,1965,1.745
Barbados,1970,1.2951
Barbados,1975,1.041
Barbados,1980,0.7835
Barbados,1985,0.7338
Barbados,1990,0.6602
Barbados,1995,0.5978
Barbados,2000,0.4637
Barbados,2005,0.3128
Barbados,2010,0.2531
Barbados,2015,0.1752
Belarus,1955,1.0118
Belarus,1960,1.3782
Belarus,1965,1.2917
Belarus,1970,0.8496
Belarus,1975,0.6593
Belarus,1980,0.586
Belarus,1985,0.5892
Belarus,1990,0.4892
Belarus,1995,-0.018
Belarus,2000,-0.5247
Belarus,2005,-0.6228
Belarus,2010,-0.4441
Belarus,2015,-0.2461
Belgium,1955,0.4186
Belgium,1960,0.5017
Belgium,1965,0.4904
Belgium,1970,0.2887
Belgium,1975,0.1346
Belgium,1980,0.0337
Belgium,1985,0.0492
Belgium,1990,0.0804
Belgium,1995,0.1356
Belgium,2000,0.0769
Belgium,2005,0.0874
Belgium,2010,0.1886
Belgium,2015,0.1785
Belize,1955,3.7395
Belize,1960,3.4757
Belize,1965,3.3243
Belize,1970,3.3316
Belize,1975,3.4054
Belize,1980,3.5228
Belize,1985,3.3776
Belize,1990,3.1821
Belize,1995,2.8816
Belize,2000,2.5043
Belize,2005,2.2744
Belize,2010,1.9579
Belize,2015,1.7673
Benin,1955,0.6262
Benin,1960,1.2758
Benin,1965,1.7776
Benin,1970,2.1599
Benin,1975,2.4635
Benin,1980,2.7186
Benin,1985,2.8985
Benin,1990,3.1123
Benin,1995,3.2016
Benin,2000,3.0707
Benin,2005,2.9981
Benin,2010,2.8882
Benin,2015,2.7074
Bhutan,1955,1.4109
Bhutan,1960,1.7934
Bhutan,1965,1.9735
Bhutan,1970,2.1194
Bhutan,1975,2.3534
Bhutan,1980,2.5425
Bhutan,1985,2.5252
Bhutan,1990,2.5843
Bhutan,1995,2.2704
Bhutan,2000,2.0557
Bhutan,2005,1.7114
Bhutan,2010,1.5241
Bhutan,2015,1.1928
Bolivia,1955,1.9068
Bolivia,1960,2.0292
Bolivia,1965,2.1182
Bolivia,1970,2.2023
Bolivia,1975,2.2974
Bolivia,1980,2.4165
Bolivia,1985,2.4031
Bolivia,1990,2.3009
Bolivia,1995,2.2228
Bolivia,2000,2.1521
Bolivia,2005,2.006
Bolivia,2010,1.8417
Bolivia,2015,1.6825
Bosnia and Herzegovina,1955,2.2925
Bosnia and Herzegovina,1960,2.165
Bosnia and Herzegovina,1965,2.1372
Bosnia and Herzegovina,1970,1.7663
Bosnia and Herzegovina,1975,1.56
Bosnia and Herzegovina,1980,1.2228
Bosnia and Herzegovina,1985,1.197
Bosnia and Herzegovina,1990,0.9615
Bosnia and Herzegovina,1995,0.479
Bosnia and Herzegovina,2000,0.3838
Bosnia and Herzegovina,2005,0.0298
Bosnia and Herzegovina,2010,-0.0094
Bosnia and Herzegovina,2015,-0.1168
Botswana,1955,2.8174
Botswana,1960,2.9931
Botswana,1965,3.0975
Botswana,1970,3.2062
Botswana,1975,3.3447
Botswana,1980,3.5077
Botswana,1985,3.4141
Botswana,1990,2.9823
Botswana,1995,2.4169
Botswana,2000,1.6389
Botswana,2005,1.1792
Botswana,2010,1.6882
Botswana,2015,1.8064
Brazil,1955,2.8642
Brazil,1960,2.9116
Brazil,1965,2.9718
Brazil,1970,2.6322
Brazil,1975,2.436
Brazil,1980,2.3879
Brazil,1985,2.2601
Brazil,1990,1.8879
Brazil,1995,1.5791
Brazil,2000,1.5397
Brazil,2005,1.3938
Brazil,2010,1.0473
Brazil,2015,0.9071
Brunei,1955,3.713
Brunei,1960,3.336
Brunei,1965,3.3612
Brunei,1970,2.8343
Brunei,1975,3.1756
Brunei,1980,3.0107
Brunei,1985,2.7075
Brunei,1990,2.804
Brunei,1995,2.6615
Brunei,2000,2.1543
Brunei,2005,1.6776
Brunei,2010,1.5345
Brunei,2015,1.3612
Bulgaria,1955,1.1044
Bulgaria,1960,0.957
Bulgaria,1965,0.85
Bulgaria,1970,0.7056
Bulgaria,1975,0.641
Bulgaria,1980,0.5293
Bulgaria,1985,0.2637
Bulgaria,1990,0.1009
Bulgaria,1995,-0.248
Bulgaria,2000,-0.6138
Bulgaria,2005,-0.5991
Bulgaria,2010,-0.5098
Bulgaria,2015,-0.5702
Burkina Faso,1955,1.5218
Burkina Faso,1960,1.773
Burkina Faso,1965,1.9604
Burkina Faso,1970,2.2018
Burkina Faso,1975,2.3778
Burkina Faso,1980,2.7299
