Entity,Year,Total government spending per capita,Expenditures on general government outsourcing (% of GDP),General government procurement expenditure (% of GDP),General government procurement expenditure (% government expenditures)
Australia,2007,,,12.11000,35.20000
Australia,2008,,,12.64000,34.30000
Australia,2009,15670.84000,9.42000,13.63000,35.74000
Australia,2010,15484.24000,9.26000,13.05000,35.60000
Australia,2011,16146.34000,9.49000,13.05000,35.33000
Australia,2012,15628.89000,9.34000,12.64000,34.92000
Australia,2013,17186.98000,9.39000,12.63000,34.61000
Australia,2014,17146.65000,9.65000,12.87000,35.15000
Australia,2015,17482.53900,9.90000,13.15000,35.36000
Austria,2007,,,12.46000,25.17000
Austria,2008,,,13.08000,26.07000
Austria,2009,22185.57000,10.53000,13.92000,25.55000
Austria,2010,22243.16000,10.44000,13.71000,25.83000
Austria,2011,22631.25000,10.23000,13.27000,25.95000
Austria,2012,23800.01000,10.22000,13.17000,25.59000
Austria,2013,24457.00000,10.36000,13.42000,26.19000
Austria,2014,25635.93900,10.36000,13.34000,25.28000
Austria,2015,25543.16000,10.51000,13.51000,26.14000
Austria,2016,25610.25000,10.63000,13.63000,26.69000
Belgium,2007,,,12.36000,25.62000
Belgium,2008,,,13.11000,26.07000
Belgium,2009,20614.38100,11.96000,14.29000,26.39000
Belgium,2010,21428.16000,11.75000,14.05000,26.34000
Belgium,2011,22602.60900,11.94000,14.38000,26.42000
Belgium,2012,23820.53900,12.18000,14.67000,26.26000
Belgium,2013,24437.19900,12.29000,14.65000,26.23000
Belgium,2014,24794.97100,12.20000,14.56000,26.43000
Belgium,2015,24710.26000,12.07000,14.43000,26.79000
Belgium,2016,24966.94900,11.99000,14.29000,26.79000
Canada,2007,,,12.77000,32.38000
Canada,2008,,,12.90000,32.52000
Canada,2009,17221.77900,10.15000,14.75000,33.22000
Canada,2010,17614.78900,9.99000,14.83000,33.70000
Canada,2011,17658.02900,9.79000,14.11000,33.22000
Canada,2012,17626.44900,9.66000,13.84000,33.09000
Canada,2013,18083.59000,9.49000,13.34000,32.53000
Canada,2014,17817.82000,9.23000,12.80000,32.39000
Canada,2015,18166.86900,9.57000,13.44000,32.71000
Canada,2016,18685.88100,9.54000,13.43000,32.31000
Colombia,2007,,,11.06000,33.86000
Colombia,2008,,,11.14000,32.83000
Colombia,2009,3551.13990,9.00000,12.19000,35.57000
Colombia,2010,3680.43990,9.22000,11.93000,34.93000
Colombia,2011,3830.34010,8.65000,11.87000,35.90000
