Entity,Year,Nuclear weapons inventory by country (FAS Nuclear Notebook)
China,1945,0
China,1946,0
China,1947,0
China,1948,0
China,1949,0
China,1950,0
China,1951,0
China,1952,0
China,1953,0
China,1954,0
China,1955,0
China,1956,0
China,1957,0
China,1958,0
China,1959,0
China,1960,0
China,1961,0
China,1962,0
China,1963,0
China,1964,1
China,1965,5
China,1966,20
China,1967,25
China,1968,35
China,1969,50
China,1970,75
China,1971,100
China,1972,130
China,1973,150
China,1974,170
China,1975,180
China,1976,180
China,1977,180
China,1978,190
China,1979,195
China,1980,205
China,1981,210
China,1982,216
China,1983,218
China,1984,220
China,1985,222
China,1986,224
China,1987,226
China,1988,228
China,1989,230
China,1990,232
China,1991,234
China,1992,234
China,1993,234
China,1994,234
China,1995,234
China,1996,234
China,1997,232
China,1998,232
China,1999,232
China,2000,232
China,2001,235
China,2002,235
China,2003,235
China,2004,235
China,2005,235
China,2006,235
China,2007,235
China,2008,235
China,2009,240
China,2010,240
China,2011,240
China,2012,240
China,2013,250
China,2014,250
France,1945,0
France,1946,0
France,1947,0
France,1948,0
France,1949,0
France,1950,0
France,1951,0
France,1952,0
France,1953,0
France,1954,0
France,1955,0
France,1956,0
France,1957,0
France,1958,0
France,1959,0
France,1960,0
France,1961,0
France,1962,0
France,1963,0
France,1964,4
France,1965,32
France,1966,36
France,1967,36
France,1968,36
France,1969,36
France,1970,36
France,1971,45
France,1972,70
France,1973,116
France,1974,145
France,1975,188
France,1976,212
France,1977,228
France,1978,235
France,1979,235
France,1980,250
France,1981,274
France,1982,274
France,1983,279
France,1984,280
France,1985,360
France,1986,355
France,1987,420
France,1988,410
France,1989,410
France,1990,505
France,1991,540
France,1992,540
France,1993,525
France,1994,510
France,1995,500
France,1996,450
France,1997,450
France,1998,450
France,1999,450
France,2000,470
France,2001,350
France,2002,350
France,2003,350
France,2004,350
France,2005,350
France,2006,350
France,2007,350
France,2008,300
France,2009,300
France,2010,300
France,2011,300
France,2012,300
France,2013,300
France,2014,300
India,1945,0
India,1946,0
India,1947,0
India,1948,0
India,1949,0
India,1950,0
India,1951,0
India,1952,0
India,1953,0
India,1954,0
India,1955,0
India,1956,0
India,1957,0
India,1958,0
India,1959,0
India,1960,0
India,1961,0
India,1962,0
India,1963,0
India,1964,0
India,1965,0
India,1966,0
India,1967,0
India,1968,0
India,1969,0
India,1970,0
India,1971,0
India,1972,0
India,1973,0
India,1974,0
India,1975,0
India,1976,0
India,1977,0
India,1978,0
India,1979,0
India,1980,0
India,1981,0
India,1982,0
India,1983,0
India,1984,0
India,1985,0
India,1986,0
India,1987,0
India,1988,0
India,1989,0
India,1990,0
India,1991,0
India,1992,0
India,1993,0
India,1994,0
India,1995,0
India,1996,0
India,1997,0
India,1998,3
India,1999,8
India,2000,13
India,2001,18
India,2002,23
India,2003,28
India,2004,33
India,2005,38
India,2006,43
India,2007,50
India,2008,60
India,2009,70
India,2010,80
India,2011,90
India,2012,100
India,2013,110
India,2014,110
Israel,1945,0
Israel,1946,0
Israel,1947,0
Israel,1948,0
Israel,1949,0
Israel,1950,0
Israel,1951,0
Israel,1952,0
Israel,1953,0
Israel,1954,0
Israel,1955,0
Israel,1956,0
Israel,1957,0
Israel,1958,0
Israel,1959,0
Israel,1960,0
Israel,1961,0
Israel,1962,0
Israel,1963,0
Israel,1964,0
Israel,1965,0
Israel,1966,0
Israel,1967,2
Israel,1968,4
Israel,1969,6
Israel,1970,8
Israel,1971,11
Israel,1972,13
Israel,1973,15
Israel,1974,17
Israel,1975,20
Israel,1976,22
Israel,1977,24
Israel,1978,26
Israel,1979,29
Israel,1980,31
Israel,1981,33
Israel,1982,35
Israel,1983,38
Israel,1984,40
Israel,1985,42
Israel,1986,44
Israel,1987,47
Israel,1988,49
Israel,1989,51
Israel,1990,53
Israel,1991,56
Israel,1992,58
Israel,1993,60
Israel,1994,62
Israel,1995,63
Israel,1996,64
Israel,1997,66
Israel,1998,68
Israel,1999,70
Israel,2000,72
Israel,2001,74
Israel,2002,76
Israel,2003,78
Israel,2004,80
Israel,2005,80
Israel,2006,80
Israel,2007,80
Israel,2008,80
Israel,2009,80
Israel,2010,80
Israel,2011,80
Israel,2012,80
Israel,2013,80
Israel,2014,80
Pakistan,1945,0
Pakistan,1946,0
Pakistan,1947,0
Pakistan,1948,0
Pakistan,1949,0
Pakistan,1950,0
Pakistan,1951,0
Pakistan,1952,0
Pakistan,1953,0
Pakistan,1954,0
Pakistan,1955,0
Pakistan,1956,0
Pakistan,1957,0
Pakistan,1958,0
Pakistan,1959,0
Pakistan,1960,0
Pakistan,1961,0
Pakistan,1962,0
Pakistan,1963,0
Pakistan,1964,0
Pakistan,1965,0
Pakistan,1966,0
Pakistan,1967,0
