Entity,Year,Share of unintended pregnancies ending in abortion
Africa,1994,31
Africa,1999,32
Africa,2004,34
Africa,2009,34
Africa,2014,38
Asia,1994,59
Asia,1999,58
Asia,2004,57
Asia,2009,60
Asia,2014,65
Caribbean,1994,50
Caribbean,1999,50
Caribbean,2004,49
Caribbean,2009,50
Caribbean,2014,51
Central America,1994,30
Central America,1999,32
Central America,2004,34
Central America,2009,37
Central America,2014,39
Central Asia,1994,73
Central Asia,1999,73
Central Asia,2004,73
Central Asia,2009,74
Central Asia,2014,78
Developed countries,1994,50
Developed countries,1999,49
Developed countries,2004,49
Developed countries,2009,51
Developed countries,2014,55
Developing countries,1994,71
Developing countries,1999,67
Developing countries,2004,62
Developing countries,2009,60
Developing countries,2014,59
Eastern Africa,1994,25
Eastern Africa,1999,26
Eastern Africa,2004,27
Eastern Africa,2009,26
Eastern Africa,2014,30
Eastern Asia,1994,79
Eastern Asia,1999,77
Eastern Asia,2004,76
Eastern Asia,2009,77
Eastern Asia,2014,77
Eastern Europe,1994,85
Eastern Europe,1999,85
Eastern Europe,2004,79
Eastern Europe,2009,79
Eastern Europe,2014,77
Europe,1994,78
Europe,1999,76
Europe,2004,73
Europe,2009,72
Europe,2014,70
Latin America,1994,39
Latin America,1999,40
Latin America,2004,42
Latin America,2009,45
Latin America,2014,46
Middle Africa,1994,27
Middle Africa,1999,28
Middle Africa,2004,29
Middle Africa,2009,30
Middle Africa,2014,34
North America,1994,49
North America,1999,44
North America,2004,39
North America,2009,37
North America,2014,36
Northern Africa,1994,41
Northern Africa,1999,46
Northern Africa,2004,52
Northern Africa,2009,54
Northern Africa,2014,56
Northern Europe,1994,66
Northern Europe,1999,64
Northern Europe,2004,65
Northern Europe,2009,67
Northern Europe,2014,64
Oceania,1994,40
Oceania,1999,40
Oceania,2004,39
Oceania,2009,37
Oceania,2014,38
South America,1994,40
South America,1999,42
South America,2004,43
South America,2009,46
South America,2014,47
South and Central Asia,1994,46
South and Central Asia,1999,47
South and Central Asia,2004,48
South and Central Asia,2009,53
South and Central Asia,2014,62
South Asia,1994,45
South Asia,1999,46
South Asia,2004,48
South Asia,2009,52
South Asia,2014,61
Southeastern Asia,1994,54
Southeastern Asia,1999,53
Southeastern Asia,2004,52
Southeastern Asia,2009,55
Southeastern Asia,2014,59
Southern Africa,1994,30
Southern Africa,1999,31
Southern Africa,2004,34
Southern Africa,2009,33
Southern Africa,2014,36
Southern Europe,1994,70
Southern Europe,1999,66
Southern Europe,2004,65
Southern Europe,2009,63
Southern Europe,2014,64
Western Africa,1994,32
Western Africa,1999,33
Western Africa,2004,34
Western Africa,2009,36
Western Africa,2014,43
Western Asia,1994,42
Western Asia,1999,43
Western Asia,2004,46
Western Asia,2009,46
Western Asia,2014,48
Western Europe,1994,50
Western Europe,1999,47
Western Europe,2004,54
Western Europe,2009,55
Western Europe,2014,56
World,1994,54
World,1999,52
World,2004,51
World,2009,53
World,2014,56
