Entity,Year,"Gini, disposable household income (LIS Key Figures) ",Poverty rate (<60% of median) (LIS Key Figures)
Australia,1981,0.281,18.271
Australia,1985,0.292,19.635
Australia,1989,0.302,18.993
Australia,1995,0.308,20.636
Australia,2001,0.317,21.576
Australia,2003,0.312,20.370
Australia,2008,0.333,21.079
Australia,2010,0.330,21.174
Austria,1987,0.227,11.738
Austria,1994,0.280,14.735
Austria,1995,0.277,17.047
Austria,1997,0.266,14.232
Austria,2000,0.257,13.431
Austria,2004,0.269,13.397
Austria,2007,0.284,15.878
Austria,2010,0.279,15.146
Austria,2013,0.279,14.177
Belgium,1985,0.227,10.523
Belgium,1988,0.232,11.370
Belgium,1992,0.222,10.378
Belgium,1995,0.266,16.180
Belgium,1997,0.250,14.413
Belgium,2000,0.279,16.117
Brazil,2006,0.487,26.521
Brazil,2009,0.467,26.067
Brazil,2011,0.460,25.415
Brazil,2013,0.450,24.884
Canada,1971,0.316,22.155
Canada,1975,0.289,19.631
Canada,1981,0.284,18.931
Canada,1987,0.283,17.467
Canada,1991,0.281,16.630
Canada,1994,0.284,17.590
Canada,1997,0.291,18.387
Canada,1998,0.311,19.756
Canada,2000,0.315,18.892
Canada,2004,0.318,19.891
Canada,2007,0.315,18.982
Canada,2010,0.317,20.190
Canada,2013,0.321,20.974
China,2002,0.505,31.470
Colombia,2004,0.506,26.496
Colombia,2007,0.523,28.378
Colombia,2010,0.482,26.494
Colombia,2013,0.491,26.343
Czech Republic,1992,0.205,6.822
Czech Republic,1996,0.256,10.497
Czech Republic,2002,0.255,9.790
Czech Republic,2004,0.266,11.515
Czech Republic,2007,0.251,10.825
Czech Republic,2010,0.256,11.336
Czech Republic,2013,0.258,11.348
Denmark,1987,0.255,17.348
Denmark,1992,0.238,14.638
Denmark,1995,0.218,12.017
Denmark,2000,0.225,13.057
Denmark,2004,0.228,13.198
Denmark,2007,0.238,13.745
Denmark,2010,0.248,13.506
Denmark,2013,0.249,12.401
Dominican Republic,2007,0.490,26.801
Egypt,2012,0.464,24.944
Estonia,2000,0.361,19.920
Estonia,2004,0.347,20.381
Estonia,2007,0.312,20.593
Estonia,2010,0.319,19.369
Estonia,2013,0.352,22.959
Finland,1987,0.207,10.707
Finland,1991,0.209,10.692
Finland,1995,0.216,9.143
Finland,2000,0.252,12.689
Finland,2004,0.257,13.681
Finland,2007,0.264,15.433
Finland,2010,0.261,14.985
Finland,2013,0.259,13.993
France,1978,0.312,16.349
France,1984,0.338,17.003
France,1989,0.287,15.487
France,1994,0.288,14.077
France,2000,0.278,13.753
France,2005,0.280,14.855
France,2010,0.289,15.474
Georgia,2010,0.437,26.311
Georgia,2013,0.394,23.663
Germany,1973,0.271,12.234
Germany,1978,0.263,11.339
Germany,1981,0.244,10.579
Germany,1983,0.260,11.688
Germany,1984,0.265,14.248
Germany,1989,0.258,11.779
Germany,1994,0.270,13.131
Germany,2000,0.266,12.740
Germany,2004,0.278,14.342
Germany,2007,0.289,14.790
Germany,2010,0.285,16.043
Germany,2013,0.291,15.369
Greece,1995,0.349,21.463
Greece,2000,0.333,21.370
Greece,2004,0.327,19.553
Greece,2007,0.320,19.207
Greece,2010,0.324,21.056
Greece,2013,0.332,20.125
Guatemala,2006,0.472,29.107
Guatemala,2011,0.481,29.185
Guatemala,2014,0.394,22.346
Hungary,1991,0.283,14.429
Hungary,1994,0.319,15.682
Hungary,1999,0.292,13.567
Hungary,2005,0.289,12.476
Hungary,2007,0.274,12.163
Hungary,2009,0.278,15.154
Hungary,2012,0.289,16.825
Iceland,2004,0.255,11.198
Iceland,2007,0.276,11.843
Iceland,2010,0.245,11.474
India,2004,0.472,26.469
India,2011,0.479,26.626
Ireland,1987,0.328,19.994
Ireland,1994,0.333,20.401
Ireland,1995,0.336,20.825
Ireland,1996,0.325,21.857
Ireland,2000,0.313,22.491
Ireland,2004,0.317,22.573
Ireland,2007,0.297,18.936
Ireland,2010,0.294,16.563
Israel,1979,0.303,18.933
Israel,1986,0.309,19.415
Israel,1992,0.305,18.063
Israel,1997,0.336,21.928
Israel,2001,0.347,23.556
Israel,2005,0.370,26.786
Israel,2007,0.369,26.553
Israel,2010,0.377,27.947
Israel,2012,0.371,26.376
Italy,1986,0.306,17.415
Italy,1987,0.332,19.252
Italy,1989,0.304,17.465
Italy,1991,0.291,19.064
Italy,1993,0.339,21.891
Italy,1995,0.336,21.177
Italy,1998,0.340,20.936
Italy,2000,0.328,19.673
Italy,2004,0.329,19.806
