Entity,Year,"Female lung cancer deaths (per 100,000) (WHO (IARC) (2016))"
Afghanistan,2002,2.7
Albania,1987,5.49
Albania,1988,6.3
Albania,1989,4.01
Albania,1992,5.12
Albania,1993,4.79
Albania,1994,5.09
Albania,1995,5.79
Albania,1996,7.8
Albania,1997,7.62
Albania,1998,7.84
Albania,1999,7.38
Albania,2000,6.4
Albania,2001,5.88
Albania,2002,8.1
Algeria,2002,2
Angola,2002,1.3
Argentina,1966,5.17
Argentina,1967,5.56
Argentina,1968,6.7
Argentina,1969,6.32
Argentina,1970,5.94
Argentina,1977,5.54
Argentina,1978,5.55
Argentina,1979,5.28
Argentina,1980,5.21
Argentina,1981,5.38
Argentina,1982,5.51
Argentina,1983,5.51
Argentina,1984,5.84
Argentina,1985,5.35
Argentina,1986,5.26
Argentina,1987,5.34
Argentina,1988,5.88
Argentina,1989,5.83
Argentina,1990,5.83
Argentina,1991,6.26
Argentina,1992,6.2
Argentina,1993,6.38
Argentina,1994,6.42
Argentina,1995,6.29
Argentina,1996,6.46
Argentina,1997,6.5
Argentina,1998,7.09
Argentina,1999,7.05
Argentina,2000,6.73
Argentina,2001,6.95
Argentina,2002,7.08
Armenia,1981,4.09
Armenia,1982,4.9
Armenia,1985,5.56
Armenia,1986,6.23
Armenia,1987,5.42
Armenia,1988,6.04
Armenia,1989,5.89
Armenia,1990,6.38
Armenia,1991,5.66
Armenia,1992,7.1
Armenia,1993,6.55
Armenia,1994,5.75
Armenia,1995,4.49
Armenia,1996,4.55
Armenia,1997,4.83
Armenia,1998,5.58
Armenia,1999,5.28
Armenia,2000,6.39
Armenia,2001,6.2
Armenia,2002,5.96
Australia,1950,2.78
Australia,1951,2.98
Australia,1952,2.98
Australia,1953,3.73
Australia,1954,2.98
Australia,1955,2.96
Australia,1956,3.47
Australia,1957,3.2
Australia,1958,3.24
Australia,1959,3.31
Australia,1960,3.44
Australia,1961,3.58
Australia,1962,3.83
Australia,1963,3.86
Australia,1964,4.28
Australia,1965,4.19
Australia,1966,4.46
Australia,1967,5.09
Australia,1968,5.04
Australia,1969,4.96
Australia,1970,6.42
Australia,1971,6.76
Australia,1972,6.37
Australia,1973,7.05
Australia,1974,6.83
Australia,1975,7.22
Australia,1976,7.97
Australia,1977,9.08
Australia,1978,9.09
Australia,1979,9.42
Australia,1980,9.7
Australia,1981,9.56
Australia,1982,10.56
Australia,1983,11.44
Australia,1984,11.32
Australia,1985,11.5
Australia,1986,11.99
Australia,1987,11.41
Australia,1988,12.86
Australia,1989,13.21
Australia,1990,12.72
Australia,1991,13.6
Australia,1992,12.88
Australia,1993,13.33
Australia,1994,13.6
Australia,1995,13.58
Australia,1996,13.73
Australia,1997,13.66
Australia,1998,13.12
Australia,1999,13.1
Australia,2000,13.87
Australia,2001,13.9
Australia,2002,14.31
Austria,1955,5.07
Austria,1956,6.31
Austria,1957,6.14
Austria,1958,6.45
Austria,1959,6.35
Austria,1960,5.31
Austria,1961,5.61
Austria,1962,6.14
Austria,1963,5.98
Austria,1964,5.74
Austria,1965,5.9
Austria,1966,6.29
Austria,1967,6.11
Austria,1968,6.46
Austria,1969,6.23
Austria,1970,5.77
Austria,1971,6.61
Austria,1972,6.34
Austria,1973,6.5
Austria,1974,6.88
Austria,1975,6.84
Austria,1976,6.58
Austria,1977,6.63
Austria,1978,6.94
Austria,1979,7.02
Austria,1980,7.25
Austria,1981,7.36
Austria,1982,8.18
Austria,1983,7.87
Austria,1984,8.83
Austria,1985,7.94
Austria,1986,8.16
Austria,1987,9.14
Austria,1988,9.35
Austria,1989,8.55
Austria,1990,8.72
Austria,1991,9.64
Austria,1992,9.35
Austria,1993,9.58
Austria,1994,10.23
Austria,1995,9.61
Austria,1996,10.43
Austria,1997,10.81
Austria,1998,10.75
Austria,1999,10.87
Austria,2000,11.54
Austria,2001,10.67
Austria,2002,11.77
Azerbaijan,1981,4.5
Azerbaijan,1982,5.48
Azerbaijan,1985,4.41
Azerbaijan,1986,4.86
Azerbaijan,1987,5.64
Azerbaijan,1988,5.51
Azerbaijan,1989,4.83
Azerbaijan,1990,4.52
Azerbaijan,1991,4.87
Azerbaijan,1992,4.94
Azerbaijan,1993,4.42
Azerbaijan,1994,4.62
Azerbaijan,1995,3.34
Azerbaijan,1996,3.86
