Entity,Year,"Health expenditure per capita, PPP (World Bank (2016))"
Afghanistan,2002,77.56287367
Afghanistan,2003,91.86710113
Afghanistan,2004,90.12334463
Afghanistan,2005,94.0450155
Afghanistan,2006,98.52758427
Afghanistan,2007,109.0147975
Afghanistan,2008,126.2195502
Afghanistan,2009,130.8972801
Afghanistan,2010,138.9132558
Afghanistan,2011,144.2951939
Afghanistan,2012,159.0973587
Afghanistan,2013,161.2170073
Albania,1995,263.69
Albania,1996,228.96
Albania,1997,213.57
Albania,1998,223.62
Albania,1999,247.58
Albania,2000,248.44
Albania,2001,262.3
Albania,2002,298.09
Albania,2003,313.05
Albania,2004,349.34
Albania,2005,366.83
Albania,2006,396.28
Albania,2007,438.24
Albania,2008,480.57
Albania,2009,504.68
Albania,2010,458.74
Albania,2011,518.59
Albania,2012,506.31
Albania,2013,539.28
Algeria,1995,249.77
Algeria,1996,233.6
Algeria,1997,253.58
Algeria,1998,265.21
Algeria,1999,261.37
Algeria,2000,273.69
Algeria,2001,317.84
Algeria,2002,326.93
Algeria,2003,340.6
Algeria,2004,354.3
Algeria,2005,348.29
Algeria,2006,372.64
Algeria,2007,442.93
Algeria,2008,497.57
Algeria,2009,616.2
Algeria,2010,591.14
Algeria,2011,647.48
Algeria,2012,781.06
Algeria,2013,778.08
Andorra,1995,1469.43
Andorra,1996,1616.67
Andorra,1997,1807.16
Andorra,1998,2332.79
Andorra,1999,1828.95
Andorra,2000,1954.98
Andorra,2001,1907.79
Andorra,2002,2084.27
Andorra,2003,2132.83
Andorra,2004,2213.51
Andorra,2005,2390.07
Andorra,2006,2765.22
Andorra,2007,3018.04
Andorra,2008,2941.13
Andorra,2009,2898.39
Andorra,2010,3337.29
Andorra,2011,3379.25
Andorra,2012,3907.46
Andorra,2013,3338.03
Angola,1995,103.45
Angola,1996,79.24
Angola,1997,112.49
Angola,1998,121.5
Angola,1999,108.07
Angola,2000,91.14
Angola,2001,161.46
Angola,2002,123.56
Angola,2003,155.68
Angola,2004,182
Angola,2005,172.99
Angola,2006,227.25
Angola,2007,205.89
Angola,2008,262.62
Angola,2009,298.11
Angola,2010,235.56
Angola,2011,244.21
Angola,2012,253.04
Angola,2013,355.43
Antigua and Barbuda,1995,617.04
Antigua and Barbuda,1996,618.54
Antigua and Barbuda,1997,644.39
Antigua and Barbuda,1998,658.06
Antigua and Barbuda,1999,685.33
Antigua and Barbuda,2000,634.32
Antigua and Barbuda,2001,671.67
Antigua and Barbuda,2002,665.19
Antigua and Barbuda,2003,720.62
Antigua and Barbuda,2004,747.79
Antigua and Barbuda,2005,849.77
Antigua and Barbuda,2006,957.75
Antigua and Barbuda,2007,1063.76
