Entity,Year,Global Hunger Index (IFPRI (2016))
Afghanistan,1992,49.3
Afghanistan,2000,52.4
Afghanistan,2008,39.2
Afghanistan,2016,34.8
Afghanistan,2017,33.3
Albania,1992,20.4
Albania,2000,21.1
Albania,2008,16.9
Albania,2016,11.9
Albania,2017,11.1
Algeria,1992,16.8
Algeria,2000,14.8
Algeria,2008,10.8
Algeria,2016,8.7
Algeria,2017,9.5
Angola,1992,65.9
Angola,2000,57.8
Angola,2008,40.5
Angola,2016,32.8
Angola,2017,32.5
Argentina,1992,5.8
Argentina,2000,5.3
Argentina,2008,5
Argentina,2016,5
Argentina,2017,5.4
Armenia,2000,17.4
Armenia,2008,11.7
Armenia,2016,8.7
Armenia,2017,7.7
Azerbaijan,2000,27.2
Azerbaijan,2008,15.7
Azerbaijan,2016,9.8
Azerbaijan,2017,9.6
Bangladesh,1992,52.4
Bangladesh,2000,38.5
Bangladesh,2008,32.4
Bangladesh,2016,27.1
Bangladesh,2017,26.5
Belarus,2000,5
Belarus,2008,5
Belarus,2016,5
Benin,1992,44.6
Benin,2000,38.1
Benin,2008,31.8
Benin,2016,23.2
Benin,2017,24.4
Bolivia,1992,36.7
Bolivia,2000,30.8
Bolivia,2008,23.9
Bolivia,2016,15.4
Bolivia,2017,17.2
Bosnia and Herzegovina,2000,9.6
Bosnia and Herzegovina,2008,6.7
Bosnia and Herzegovina,2016,5
Botswana,1992,32.4
Botswana,2000,33
Botswana,2008,30.9
Botswana,2016,23
Botswana,2017,24.4
Brazil,1992,16.1
Brazil,2000,11.8
Brazil,2008,5.4
Brazil,2016,5
Brazil,2017,5.4
Bulgaria,1992,9.3
Bulgaria,2000,9.5
Bulgaria,2008,8.8
Bulgaria,2016,8.3
Bulgaria,2017,5.4
Burkina Faso,1992,47.7
Burkina Faso,2000,48.4
Burkina Faso,2008,37.1
Burkina Faso,2016,31
Burkina Faso,2017,27.6
Cambodia,1992,45.3
Cambodia,2000,44.7
Cambodia,2008,26.6
Cambodia,2016,21.7
Cambodia,2017,22.2
Cameroon,1992,40.4
Cameroon,2000,40.3
Cameroon,2008,30.5
Cameroon,2016,22.9
Cameroon,2017,22.1
Central African Republic,1992,52.2
Central African Republic,2000,51.5
Central African Republic,2008,48
Central African Republic,2016,46.1
Central African Republic,2017,50.9
Chad,1992,62.5
Chad,2000,51.9
Chad,2008,50.9
Chad,2016,44.3
Chad,2017,43.5
Chile,1992,6.2
Chile,2000,5
Chile,2008,5
Chile,2016,5
China,1992,26.4
China,2000,15.9
China,2008,11.5
China,2016,7.7
China,2017,7.5
Colombia,1992,15.1
Colombia,2000,11.4
Colombia,2008,9.3
Colombia,2016,8.5
Colombia,2017,8
Congo,1992,37.6
Congo,2000,37.2
Congo,2008,31.9
Congo,2016,26.6
Congo,2017,25.6
