Entity,Year,Labour cost ratio (45-54 year-old population) 2009 (OECD (2012))
Australia,2009,1.643135916
Austria,2009,2.223160883
Belgium,2009,1.630617128
Canada,2009,1.82928185
Czech Republic,2009,3.466004723
Denmark,2009,1.437133799
Estonia,2009,1.52039507
Finland,2009,1.414304208
France,2009,2.019812289
Germany,2009,1.763824864
Greece,2009,1.814335839
Hungary,2009,2.993639723
Iceland,2009,1.779163202
Ireland,2009,2.091461575
Israel,2009,2.086975425
Italy,2009,2.403320855
Luxembourg,2009,2.556748583
Netherlands,2009,1.922679229
New Zealand,2009,1.454937512
Norway,2009,1.525148564
Poland,2009,3.223617145
Portugal,2009,3.689678336
Slovakia,2009,2.62080125
Slovenia,2009,3.007899407
South Korea,2009,2.618799146
Spain,2009,1.856519788
Sweden,2009,1.59389378
United Kingdom,2009,2.215318119
United States,2009,2.77125173
