Entity,Year,Both sexes,Female,Male
Austria,2015,42.0,35.4,48.8
Azerbaijan,2015,5.8,,
Bahrain,2015,36.0,39.6,34.0
Belgium,2015,33.0,30.0,36.0
Brazil,2015,12.1,11.5,12.7
Bulgaria,2015,17.8,18.1,17.4
Croatia,2015,43.6,39.9,47.5
Cyprus,2015,22.5,22.8,22.3
Czech Republic,2015,31.4,28.9,33.9
Denmark,2015,57.5,54.9,60.0
Dominican Republic,2015,14.3,,
Egypt,2015,0.1,0.1,0.2
Estonia,2015,36.9,37.2,36.6
Finland,2015,45.8,42.8,48.8
France,2015,35.0,33.5,36.5
Germany,2015,39.0,34.7,43.3
Greece,2015,25.0,24.0,26.0
Hungary,2015,25.0,23.3,26.8
Iceland,2015,58.2,59.3,57.1
Iran,2015,6.6,5.8,7.4
Ireland,2015,29.6,27.8,31.5
Italy,2015,31.4,28.5,34.4
Jamaica,2015,3.8,4.1,3.5
Kazakhstan,2015,15.2,15.3,15.0
Latvia,2015,24.0,26.0,21.7
Lithuania,2015,31.7,32.5,30.9
Luxembourg,2015,62.7,59.5,65.8
Macedonia,2015,22.7,23.4,22.0
Malaysia,2015,12.5,,
Malta,2015,34.3,32.1,36.5
Montenegro,2015,15.0,13.1,16.3
Morocco,2015,8.9,7.6,10.3
Netherlands,2015,42.6,38.0,47.2
Norway,2015,54.6,53.0,56.1
Palestine,2015,25.0,,
Poland,2015,21.2,20.2,22.3
Portugal,2015,34.7,33.2,36.3
Qatar,2015,26.4,25.8,26.9
Romania,2015,13.1,12.2,13.9
Russia,2015,7.7,8.4,6.8
Serbia,2015,16.8,,
Singapore,2015,22.8,20.1,26.1
Slovakia,2015,31.1,30.6,31.7
Slovenia,2015,33.0,34.1,31.9
Spain,2015,39.2,37.4,41.1
Sweden,2015,34.2,34.0,34.3
Thailand,2015,27.6,,
Turkey,2015,18.4,,
United Kingdom,2015,44.5,42.1,46.9
Zimbabwe,2015,1.7,1.3,2.2
