Entity,Year,National poverty lines (Jolliffe and Prydz (2016))
Albania,2012,3.80
Angola,2009,2.17
Armenia,2011,3.87
Australia,2010,28.14
Austria,2011,27.02
Azerbaijan,2001,5.19
Belarus,2011,7.59
Belgium,2010,26.85
Benin,2011,1.44
Bhutan,2012,2.97
Bolivia,2011,7.63
Bosnia and Herzegovina,2007,9.79
Botswana,2009,1.97
Brazil,2011,3.05
Bulgaria,2011,7.95
Burkina Faso,2009,1.64
Burundi,2006,1.54
Cameroon,2007,2.35
Canada,2010,23.48
Central African Republic,2008,1.72
Chad,2011,2.24
Chile,2011,7.17
China,2011,1.78
Colombia,2011,5.42
Comoros,2004,3.89
Congo,2011,2.75
Costa Rica,2011,7.04
Cote d'Ivoire,2008,2.41
Croatia,2011,9.62
Czech Republic,2011,12.98
Democratic Republic of Congo,2012,1.40
Denmark,2011,26.44
Dominican Republic,2011,6.66
Ecuador,2011,4.68
El Salvador,2011,5.42
Estonia,2011,11.07
Ethiopia,2011,1.80
Fiji,2009,4.49
Finland,2011,26.06
France,2011,24.69
Gabon,2005,3.63
Gambia,2003,2.45
Georgia,2011,1.89
Germany,2011,26.39
Ghana,2006,2.23
Greece,2011,12.85
Guatemala,2011,5.51
Guinea,2012,2.53
Guinea-Bissau,2010,2.01
Haiti,2012,2.15
Honduras,2011,6.43
Hungary,2011,9.59
Iceland,2011,22.70
India,2012,1.91
Indonesia,2011,1.85
Ireland,2011,20.33
Israel,2010,13.76
Italy,2011,20.72
Jamaica,2004,4.07
Kazakhstan,2011,4.90
Kenya,2005,2.39
Kyrgyzstan,2011,3.88
Latvia,2011,8.26
Lesotho,2010,1.76
Liberia,2007,1.75
Lithuania,2011,9.16
Luxembourg,2011,32.39
Macedonia,2006,4.69
Madagascar,2010,1.62
Malawi,2010,1.27
Malaysia,2009,3.38
Mali,2006,1.82
Mauritania,2008,3.70
Mexico,2012,8.02
Moldova,2011,4.86
Mongolia,2011,5.56
Montenegro,2011,6.06
Morocco,2007,2.55
Mozambique,2009,1.45
Namibia,2010,2.14
Nepal,2010,2.20
Netherlands,2012,26.31
Nicaragua,2009,4.49
Niger,2011,1.86
Nigeria,2010,1.65
Norway,2011,35.12
Pakistan,2006,2.05
Palestine,2009,6.06
Panama,2011,6.96
Papua New Guinea,2010,1.92
Paraguay,2011,6.32
Peru,2011,5.52
Philippines,2012,2.44
Poland,2011,8.00
Portugal,2011,12.81
Romania,2011,5.24
Russia,2011,8.30
Rwanda,2011,1.46
Sao Tome and Principe,2001,2.73
Senegal,2011,2.21
Serbia,2010,5.42
Seychelles,2006,10.08
Sierra Leone,2011,1.91
Slovakia,2011,15.69
Slovenia,2011,19.37
South Africa,2009,5.62
Spain,2011,18.63
Sri Lanka,2010,2.60
Sudan,2009,3.50
Swaziland,2009,3.08
Sweden,2011,29.09
Switzerland,2011,31.51
Tajikistan,2009,4.46
Tanzania,2012,1.44
Thailand,2011,5.43
Togo,2011,2.10
Tunisia,2010,3.97
Turkey,2011,2.82
Uganda,2012,1.46
Ukraine,2011,5.94
United Kingdom,2011,21.29
United States,2010,21.70
Uruguay,2011,6.92
Venezuela,2006,6.28
Vietnam,2012,3.35
Zambia,2007,1.83
