Entity,Year,Maternal Mortality Rate (World Bank (2016))
Afghanistan,1990,1200
Afghanistan,1995,1200
Afghanistan,2000,1100
Afghanistan,2005,730
Afghanistan,2010,500
Afghanistan,2013,400
Albania,1990,31
Albania,1995,29
Albania,2000,28
Albania,2005,24
Albania,2010,21
Albania,2013,21
Algeria,1990,160
Algeria,1995,140
Algeria,2000,120
Algeria,2005,100
Algeria,2010,92
Algeria,2013,89
Angola,1990,1400
Angola,1995,1400
Angola,2000,1100
Angola,2005,750
Angola,2010,530
Angola,2013,460
Arab World,1990,280
Arab World,1995,260
Arab World,2000,230
Arab World,2005,200
Arab World,2010,170
Arab World,2013,160
Argentina,1990,71
Argentina,1995,60
Argentina,2000,63
Argentina,2005,70
Argentina,2010,76
Argentina,2013,69
Armenia,1990,47
Armenia,1995,51
Armenia,2000,43
Armenia,2005,37
Armenia,2010,31
Armenia,2013,29
Australia,1990,7
Australia,1995,8
Australia,2000,9
Australia,2005,6
Australia,2010,5
Australia,2013,6
Austria,1990,10
Austria,1995,7
Austria,2000,5
Austria,2005,5
Austria,2010,3
Austria,2013,4
Azerbaijan,1990,60
Azerbaijan,1995,83
Azerbaijan,2000,57
Azerbaijan,2005,36
Azerbaijan,2010,27
Azerbaijan,2013,26
Bahamas,1990,43
Bahamas,1995,44
Bahamas,2000,44
Bahamas,2005,40
Bahamas,2010,38
Bahamas,2013,37
Bahrain,1990,21
Bahrain,1995,22
Bahrain,2000,27
Bahrain,2005,16
Bahrain,2010,24
Bahrain,2013,22
Bangladesh,1990,550
Bangladesh,1995,440
Bangladesh,2000,340
Bangladesh,2005,260
Bangladesh,2010,200
Bangladesh,2013,170
Barbados,1990,120
Barbados,1995,38
Barbados,2000,42
Barbados,2005,33
Barbados,2010,83
Barbados,2013,52
Belarus,1990,37
Belarus,1995,29
Belarus,2000,32
Belarus,2005,21
Belarus,2010,2
Belarus,2013,1
Belgium,1990,10
Belgium,1995,10
Belgium,2000,9
Belgium,2005,7
Belgium,2010,7
Belgium,2013,6
Belize,1990,75
Belize,1995,35
Belize,2000,110
Belize,2005,79
Belize,2010,60
Belize,2013,45
Benin,1990,600
Benin,1995,520
Benin,2000,490
Benin,2005,420
Benin,2010,370
Benin,2013,340
Bhutan,1990,900
Bhutan,1995,610
Bhutan,2000,390
Bhutan,2005,240
Bhutan,2010,140
Bhutan,2013,120
Bolivia,1990,510
Bolivia,1995,420
Bolivia,2000,330
Bolivia,2005,270
Bolivia,2010,230
Bolivia,2013,200
Bosnia and Herzegovina,1990,19
Bosnia and Herzegovina,1995,16
Bosnia and Herzegovina,2000,11
Bosnia and Herzegovina,2005,10
Bosnia and Herzegovina,2010,9
Bosnia and Herzegovina,2013,8
Botswana,1990,360
Botswana,1995,370
Botswana,2000,390
Botswana,2005,340
Botswana,2010,210
Botswana,2013,170
Brazil,1990,120
Brazil,1995,100
Brazil,2000,85
Brazil,2005,73
Brazil,2010,68
Brazil,2013,69
Brunei,1990,26
Brunei,1995,25
Brunei,2000,24
Brunei,2005,25
Brunei,2010,27
Brunei,2013,27
Bulgaria,1990,24
Bulgaria,1995,22
Bulgaria,2000,29
Bulgaria,2005,14
Bulgaria,2010,8
Bulgaria,2013,5
Burkina Faso,1990,770
Burkina Faso,1995,680
Burkina Faso,2000,580
Burkina Faso,2005,500
Burkina Faso,2010,440
Burkina Faso,2013,400
Burundi,1990,1300
Burundi,1995,1300
Burundi,2000,1000
Burundi,2005,910
Burundi,2010,820
Burundi,2013,740
Cambodia,1990,1200
Cambodia,1995,860
Cambodia,2000,540
Cambodia,2005,320
Cambodia,2010,200
