Entity,Year,Net primary school attendance (UNESCO (2015))
Afghanistan,2011,51.49182
Albania,2009,91.42274
Armenia,2006,81.2963
Armenia,2011,93.60138
Azerbaijan,2006,87.842
Bangladesh,2006,75.91909
Bangladesh,2011,83.08984
Belize,2006,88.09276
Benin,2006,64.69543
Benin,2011,68.69615
Bhutan,2010,89.61192
Bolivia,2003,75.79667
Bolivia,2008,92.74034
Brazil,2006,79.43365
Burkina Faso,2003,32.28453
Burkina Faso,2006,44.46276
Burkina Faso,2010,51.04739
Burundi,2000,51.42633
Burundi,2010,83.93556
Cambodia,2005,84.88184
Cambodia,2010,88.60955
Cambodia,2014,87.5023
Cameroon,2004,79.4546
Cameroon,2006,77.59975
Cameroon,2011,78.54909
Central African Republic,2006,59.22316
Chad,2004,41.02799
Colombia,2005,88.08334
Colombia,2010,89.37926
Congo,2005,89.012
Congo,2012,92.16744
Cote d'Ivoire,2006,60.52488
Democratic Republic of Congo,2007,69.48091
Democratic Republic of Congo,2010,73.21878
Democratic Republic of Congo,2013,83.95662
Djibouti,2006,75.57346
Dominican Republic,2007,84.76852
Dominican Republic,2013,88.12148
Egypt,2005,88.98339
Egypt,2009,88.52426
Egypt,2014,89.30235
Ethiopia,2000,34.48547
Ethiopia,2005,48.90427
Ethiopia,2011,60.97226
Gabon,2012,88.37967
Gambia,2006,59.54153
Ghana,2009,73.80302
Ghana,2015,68.96079
Guinea,2005,50.75238
Guinea,2012,55.02686
Guyana,2006,85.86445
Guyana,2009,82.28998
Haiti,2005,49.59358
Haiti,2012,83.93456
India,2006,72.44547
Indonesia,2003,87.86613
Indonesia,2008,80.30426
Iraq,2011,88.66595
Jordan,2007,92.80585
Kazakhstan,2006,91.3507
Kenya,2003,74.79121
Kenya,2008,84.52304
Kyrgyzstan,2006,85.83067
Laos,2006,76.56467
Laos,2012,83.23867
Lesotho,2005,89.20684
Lesotho,2009,91.69362
Liberia,2007,30.73653
Liberia,2013,42.09848
Madagascar,2009,78.03586
Malawi,2004,84.99851
Malawi,2010,88.91827
Maldives,2008,91.91611
Mali,2006,43.49242
Mali,2013,51.0941
Mauritania,2007,57.19631
Moldova,2005,86.9285
Mongolia,2006,87.41429
Morocco,2004,87.99957
Mozambique,2003,68.35352
Mozambique,2008,81.12202
Mozambique,2011,75.39345
Namibia,2007,83.65931
Namibia,2013,85.77293
Nepal,2007,86.61648
Nepal,2011,89.32894
Niger,2006,37.09914
Niger,2012,47.38501
Nigeria,2003,64.53671
Nigeria,2007,54.2281
Nigeria,2008,62.15786
Nigeria,2011,64.60384
Nigeria,2013,61.18146
Pakistan,2007,70.18141
Pakistan,2012,62.08247
Philippines,2004,87.27874
Rwanda,2005,85.47195
Rwanda,2010,92.81107
Sao Tome and Principe,2009,91.57719
Senegal,2005,57.93266
Senegal,2011,58.82091
Serbia,2011,90.5367
Sierra Leone,2008,66.42817
Sierra Leone,2013,72.92589
Sri Lanka,2006,87.75835
Swaziland,2006,89.31848
Swaziland,2010,95.48915
Syria,2006,86.94656
Tajikistan,2006,81.0498
Tanzania,2004,81.04046
Tanzania,2010,79.81566
Timor,2009,71.13373
Togo,2006,75.94598
Togo,2010,84.82402
Turkey,2004,86.02841
Uganda,2006,82.04626
Uganda,2011,88.24205
Ukraine,2007,91.21964
Uzbekistan,2006,79.26668
Vanuatu,2007,79.67589
Vietnam,2011,93.71667
Yemen,2006,68.33361
Zambia,2001,71.406
Zambia,2007,80.02727
Zambia,2013,81.29465
Zimbabwe,2005,86.73801
Zimbabwe,2010,89.1075
