Entity,Year,"HRV Transparency index (Hollyer, Rosendorff, and Vreeland (2014))"
Afghanistan,1980,-0.7008
Afghanistan,1981,-0.6998
Afghanistan,1982,-0.7193
Afghanistan,1983,-0.721
Afghanistan,1984,-0.7186
Afghanistan,1985,-0.7186
Afghanistan,1986,-0.732
Afghanistan,1987,-0.7323
Afghanistan,1988,-0.7316
Afghanistan,1989,-0.7329
Afghanistan,1990,-2.919
Afghanistan,1991,-3.8558
Afghanistan,1992,-4.4046
Afghanistan,1993,-4.3664
Afghanistan,1994,-4.4966
Afghanistan,1995,-4.6784
Afghanistan,1996,-4.9005
Afghanistan,1997,-4.9317
Afghanistan,1998,-4.8537
Afghanistan,1999,-4.633
Afghanistan,2000,-4.2685
Afghanistan,2001,-3.4204
Afghanistan,2002,-2.9875
Afghanistan,2003,-2.7193
Afghanistan,2004,-2.6298
Afghanistan,2005,-2.4695
Afghanistan,2006,-2.153
Afghanistan,2007,-1.9989
Afghanistan,2008,-1.5791
Afghanistan,2009,-1.5396
Afghanistan,2010,-1.5354
Albania,1980,-0.7036
Albania,1981,-0.7035
Albania,1982,-0.7033
Albania,1983,-0.7025
Albania,1984,-0.6123
Albania,1985,-0.6099
Albania,1986,-0.6099
Albania,1987,-0.6106
Albania,1988,-0.6081
Albania,1989,-0.6103
Albania,1990,-0.6497
Albania,1991,-0.5188
Albania,1992,-0.3
Albania,1993,-0.2203
Albania,1994,0.173
Albania,1995,0.3063
Albania,1996,0.7823
Albania,1997,0.8863
Albania,1998,1.0073
Albania,1999,1.145
Albania,2000,1.2925
Albania,2001,1.5102
Albania,2002,1.4196
Albania,2003,1.4462
Albania,2004,1.3249
Albania,2005,1.2357
Albania,2006,1.1907
Albania,2007,1.3386
Albania,2008,1.5463
Albania,2009,1.5128
Albania,2010,1.2195
Algeria,1980,0.6625
Algeria,1981,0.8901
Algeria,1982,0.9311
Algeria,1983,0.8855
Algeria,1984,0.9407
Algeria,1985,0.9607
Algeria,1986,0.9809
Algeria,1987,0.9745
Algeria,1988,1.0476
Algeria,1989,1.0809
Algeria,1990,1.0052
Algeria,1991,0.7389
Algeria,1992,-0.8301
Algeria,1993,-0.8353
Algeria,1994,-0.8333
Algeria,1995,-0.8325
Algeria,1996,-0.8344
Algeria,1997,-0.832
Algeria,1998,-0.8348
Algeria,1999,-0.8335
Algeria,2000,-0.833
Algeria,2001,-0.8257
Algeria,2002,-0.8321
Algeria,2003,-0.8246
Algeria,2004,-0.8208
Algeria,2005,1.2856
Algeria,2006,1.3848
Algeria,2007,1.3998
Algeria,2008,1.2031
Algeria,2009,0.9897
Algeria,2010,-0.3438
Angola,1980,-1.009
Angola,1981,-1.0442
Angola,1982,-1.106
Angola,1983,-1.1023
Angola,1984,-1.0875
Angola,1985,-0.6538
Angola,1986,-0.6563
Angola,1987,-0.6565
Angola,1988,-0.6571
Angola,1989,-0.6565
Angola,1990,-0.4254
Angola,1991,-0.5315
Angola,1992,-0.5356
Angola,1993,-0.5624
Angola,1994,-0.5646
Angola,1995,-0.6532
Angola,1996,-0.405
Angola,1997,-0.4951
Angola,1998,-0.4758
Angola,1999,-0.4698
Angola,2000,-0.2959
Angola,2001,-0.4727
Angola,2002,-0.301
Angola,2003,-0.3017
Angola,2004,-0.2909
Angola,2005,-0.275
Angola,2006,-0.2716
Angola,2007,-0.2783
Angola,2008,-0.2389
Angola,2009,-0.245
Angola,2010,-0.2346
Argentina,1980,0.4676
Argentina,1981,0.6842
Argentina,1982,0.9441
Argentina,1983,0.9623
Argentina,1984,0.8792
Argentina,1985,0.6321
Argentina,1986,0.6404
Argentina,1987,0.679
Argentina,1988,0.5731
Argentina,1989,0.6077
Argentina,1990,1.5214
Argentina,1991,1.7301
Argentina,1992,1.9854
Argentina,1993,2.5452
Argentina,1994,2.7922
Argentina,1995,2.8344
Argentina,1996,3.2139
Argentina,1997,3.7125
Argentina,1998,4.3186
Argentina,1999,4.6455
Argentina,2000,4.8701
Argentina,2001,4.8901
Argentina,2002,4.7868
Argentina,2003,4.8876
Argentina,2004,4.8867
Argentina,2005,4.905
Argentina,2006,4.8467
Argentina,2007,4.3256
Argentina,2008,3.8269
Argentina,2009,2.9145
Argentina,2010,1.3626
Australia,1980,1.1389
Australia,1981,1.8744
Australia,1982,2.0699
Australia,1983,2.1073
Australia,1984,2.0741
Australia,1985,2.0783
Australia,1986,2.1674
