Entity,Year,Year of smallpox eradication (WHO (1988))
Afghanistan,0,1972
Albania,0,1922
Algeria,0,1961
Angola,0,1959
Argentina,0,1966
Armenia,0,1936
Australia,0,1917
Austria,0,1923
Azerbaijan,0,1936
Bangladesh,0,1975
Belarus,0,1936
Belgium,0,1926
Belize,0,1939
Benin,0,1969
Bhutan,0,1920
Bolivia,0,1960
Bosnia and Herzegovina,0,1925
Botswana,0,1973
Brazil,0,1971
Bulgaria,0,1923
Burkina Faso,0,1968
Burundi,0,1970
Cambodia,0,1959
Cameroon,0,1968
Canada,0,1944
Central African Republic,0,1963
Chad,0,1965
Chile,0,1954
China,0,1961
Colombia,0,1965
Congo,0,1965
Costa Rica,0,1920
Cote d'Ivoire,0,1966
Croatia,0,1925
Czech Republic,0,1924
Democratic Republic of Congo,0,1971
Denmark,0,1901
Djibouti,0,1959
Ecuador,0,1963
Egypt,0,1948
El Salvador,0,1938
Equatorial Guinea,0,1960
Eritrea,0,1976
Estonia,0,1936
Ethiopia,0,1976
Finland,0,1922
France,0,1936
French Guiana,0,1904
Gabon,0,1965
Gambia,0,1966
Georgia,0,1936
Germany,0,1922
Ghana,0,1967
Greece,0,1944
Guatemala,0,1951
Guinea,0,1968
Guinea-Bissau,0,1957
Guyana,0,1951
Honduras,0,1952
Hungary,0,1923
Iceland,0,1872
India,0,1975
Indonesia,0,1972
Iran,0,1972
Iraq,0,1972
Ireland,0,1907
Israel,0,1920
Italy,0,1947
Japan,0,1951
Jordan,0,1925
Kazakhstan,0,1936
Kenya,0,1969
Kyrgyzstan,0,1936
Laos,0,1953
Latvia,0,1936
Lebanon,0,1949
Lesotho,0,1962
Liberia,0,1968
Libya,0,1948
Lithuania,0,1936
Macedonia,0,1925
Madagascar,0,1918
Malawi,0,1971
Malaysia,0,1960
Mali,0,1968
Mauritania,0,1962
Mexico,0,1951
Moldova,0,1936
Morocco,0,1948
Mozambique,0,1969
Myanmar,0,1965
Namibia,0,1955
Nepal,0,1975
Netherlands,0,1900
New Zealand,0,1914
Nicaragua,0,1924
Niger,0,1968
Nigeria,0,1970
North Korea,0,1946
Norway,0,1898
Oman,0,1962
Pakistan,0,1974
Panama,0,1922
Paraguay,0,1960
Peru,0,1966
Philippines,0,1949
Poland,0,1933
Portugal,0,1953
Romania,0,1923
Russia,0,1936
Rwanda,0,1970
Saudi Arabia,0,1961
Senegal,0,1963
Serbia,0,1925
Sierra Leone,0,1969
Slovakia,0,1924
Slovenia,0,1925
Somalia,0,1977
South Africa,0,1971
South Korea,0,1954
South Sudan,0,1972
Spain,0,1948
Sri Lanka,0,1951
Sudan,0,1972
Suriname,0,1920
Swaziland,0,1966
Sweden,0,1895
Switzerland,0,1926
Syria,0,1950
Tajikistan,0,1936
Tanzania,0,1970
Thailand,0,1962
Togo,0,1969
Tunisia,0,1948
Turkey,0,1951
Turkmenistan,0,1936
Uganda,0,1968
Ukraine,0,1936
United Kingdom,0,1934
United States,0,1948
Uruguay,0,1957
Uzbekistan,0,1936
Venezuela,0,1956
Vietnam,0,1959
Yemen,0,1960
Zambia,0,1968
Zimbabwe,0,1970
