Entity,Year,Assassination,Hostage Taking (Kidnapping),Bombing/Explosion,Facility/Infrastructure Attack,Armed Assault,Hijacking,Unknown,Hostage Taking (Barricade Incident),Unarmed Assault
Afghanistan,1973,0,0,0,0,0,0,1,0,0
Afghanistan,1979,0,1,1,0,1,0,0,0,0
Afghanistan,1987,0,0,0,0,0,0,0,0,1
Afghanistan,1988,0,0,11,0,0,0,0,0,0
Afghanistan,1989,1,0,9,0,0,0,0,0,0
Afghanistan,1990,0,0,2,0,0,0,0,0,0
Afghanistan,1991,1,4,23,0,2,0,0,0,0
Afghanistan,1992,11,3,13,3,4,0,0,2,0
Afghanistan,1994,2,2,4,0,0,0,0,1,0
Afghanistan,1995,1,1,2,0,0,2,0,0,0
Afghanistan,1996,0,0,2,0,1,0,1,0,0
Afghanistan,1997,0,0,1,0,0,0,0,0,0
Afghanistan,1998,0,0,1,0,0,0,0,0,0
Afghanistan,1999,0,0,7,0,2,0,0,0,0
Afghanistan,2000,0,0,12,0,1,1,0,0,0
Afghanistan,2001,0,0,10,2,2,0,0,0,0
Afghanistan,2002,2,0,32,0,4,0,0,0,0
Afghanistan,2003,5,2,70,6,17,0,0,0,0
Afghanistan,2004,6,7,39,1,28,0,6,0,1
Afghanistan,2005,22,13,64,6,40,0,9,0,1
Afghanistan,2006,16,19,151,18,69,0,9,0,0
Afghanistan,2007,17,26,184,13,94,0,7,0,0
Afghanistan,2008,36,50,188,24,94,1,18,0,3
Afghanistan,2009,37,48,276,26,95,3,11,1,6
Afghanistan,2010,57,78,266,17,90,1,26,0,7
Afghanistan,2011,55,40,236,5,65,1,15,1,3
Afghanistan,2012,72,57,887,26,337,0,74,1,15
Afghanistan,2013,84,87,829,29,334,0,74,0,6
Afghanistan,2014,108,124,1017,47,356,2,162,6,2
Afghanistan,2015,178,189,738,65,546,1,187,9,15
Afghanistan,2016,119,148,639,32,359,2,305,4,9
Afghanistan,2017,124,112,531,35,336,2,268,2,4
Albania,1981,0,0,1,0,0,0,0,0,0
Albania,1990,0,0,1,0,0,0,0,0,0
Albania,1991,0,0,1,0,0,0,0,0,0
Albania,1992,2,0,0,0,0,0,0,0,1
Albania,1994,1,0,1,0,0,0,0,0,0
Albania,1996,1,0,4,0,0,0,1,0,0
Albania,1997,8,1,19,1,11,0,1,0,0
Albania,1998,0,0,7,0,0,0,0,0,0
Albania,1999,1,0,2,0,0,0,0,0,0
Albania,2000,0,0,2,0,0,0,0,0,0
Albania,2001,0,0,1,0,0,0,0,0,0
Albania,2003,0,0,0,0,0,0,0,0,1
Albania,2009,0,0,1,0,0,0,0,0,0
Albania,2013,0,0,1,0,0,0,0,0,0
Albania,2014,0,0,2,0,0,0,0,0,0
Albania,2015,1,0,3,0,0,0,0,0,0
Albania,2016,0,1,1,0,0,0,0,0,0
Albania,2017,0,0,1,0,0,0,0,0,0
Algeria,1972,0,0,0,0,0,0,0,1,0
Algeria,1976,0,0,1,0,0,0,0,0,0
Algeria,1978,1,0,0,0,0,0,0,0,0
Algeria,1979,0,0,1,0,0,0,0,0,0
Algeria,1990,1,0,0,0,1,0,0,0,0
Algeria,1991,3,1,7,2,14,1,2,0,0
Algeria,1992,82,2,33,23,70,1,3,1,0
Algeria,1994,120,19,13,16,48,3,8,0,0
Algeria,1995,107,6,50,4,15,0,3,0,0
Algeria,1996,23,2,71,0,28,2,2,1,0
Algeria,1997,35,7,97,0,151,0,53,0,1
Algeria,1998,0,4,96,0,42,0,9,0,0
Algeria,1999,3,1,44,0,56,0,2,0,0
Algeria,2000,2,2,38,1,85,0,10,0,0
Algeria,2001,4,3,17,2,80,0,7,0,0
Algeria,2002,1,5,52,0,68,0,6,0,0
Algeria,2003,7,0,18,0,39,0,11,0,0
Algeria,2004,3,0,30,1,28,0,5,0,0
Algeria,2005,9,6,46,0,36,0,7,0,0
Algeria,2006,12,14,77,2,44,1,2,0,0
Algeria,2007,9,1,91,1,20,0,2,0,0
Algeria,2008,4,5,72,0,22,0,4,0,0
Algeria,2009,0,1,80,1,24,0,2,0,0
Algeria,2010,1,14,73,0,10,0,2,0,0
Algeria,2011,1,2,7,0,4,0,1,0,0
Algeria,2012,0,1,30,0,8,0,2,0,0
Algeria,2013,0,0,15,0,5,1,0,1,0
Algeria,2014,2,1,4,0,5,0,1,0,0
Algeria,2015,1,0,6,0,6,0,3,0,0
Algeria,2016,0,0,7,0,2,0,0,0,0
Algeria,2017,0,0,12,0,2,0,0,0,0
Andorra,1974,0,0,0,0,1,0,0,0,0
Angola,1977,0,0,0,0,1,0,0,0,0
Angola,1978,0,0,2,0,0,0,0,0,0
Angola,1979,0,0,1,1,1,0,0,0,0
Angola,1981,0,0,1,0,0,0,0,0,0
Angola,1982,0,2,0,0,0,0,0,0,0
Angola,1983,0,0,3,0,3,0,1,0,0
Angola,1984,2,1,6,1,0,0,1,0,0
Angola,1985,1,0,0,0,0,0,4,1,0
Angola,1986,0,0,1,0,0,0,4,0,0
