Entity,Year,Share Public Education Expenditure (OECD Education Statistics (2017)),Private Expenditure on Education (OECD Education Statistics (2017)),Public Expenditure on Education (OECD Education Statistics (2017)),Capital Expenditure (OECD Education Statistics (2017)),Current Expenditure Staff (OECD Education Statistics (2017)),Current Expenditure Non-staff (OECD Education Statistics (2017))
Australia,2000,83.7,,,,,
Australia,2005,83.5,,,,,
Australia,2008,82.5,,,,,
Australia,2010,84.7,,,,,
Australia,2011,83.6,,,,,
Australia,2012,82.4,,,,,
Austria,2000,m ,,,,,
Austria,2005,m ,,,,,
Austria,2008,m ,,,,,
Austria,2010,m ,,,,,
Austria,2011,m ,,,,,
Austria,2012,96,,,,,
Belgium,2000,m ,,,,,
Belgium,2005,94.9,,,,,
Belgium,2008,95.2,,,,,
Belgium,2010,96,,,,,
Belgium,2011,96.2,,,,,
Belgium,2012,96.3,,,,,
Canada,2000,92.4,,,,,
Canada,2005,89.9,,,,,
Canada,2008,88.6,,,,,
Canada,2010,89.3,,,,,
Canada,2011,89.7,,,,,
Canada,2012,91,,,,,
Chile,2000,68.4,,,,,
Chile,2005,69.8,,,,,
Chile,2008,78.4,,,,,
Chile,2010,78.6,,,,,
Chile,2011,78.3,,,,,
Chile,2012,78,,,,,
Czech Republic,2000,91.7,,,,,
Czech Republic,2005,89.9,,,,,
Czech Republic,2008,90.4,,,,,
Czech Republic,2010,90.8,,,,,
Czech Republic,2011,90.9,,,,,
Czech Republic,2012,91,,,,,
Denmark,2000,97.8,,,,,
Denmark,2005,97.9,,,,,
Denmark,2008,97.6,,,,,
Denmark,2010,97.6,,,,,
Denmark,2011,97.2,,,,,
Denmark,2012,97.2,,,,,
Estonia,2000,m ,,,,,
Estonia,2005,98.9,,,,,
Estonia,2008,99,,,,,
Estonia,2010,98.7,,,,,
Estonia,2011,98.9,,,,,
Estonia,2012,99.1,,,,,
Finland,2000,99.3,,,,,
Finland,2005,99.2,,,,,
Finland,2008,99,,,,,
Finland,2010,99.2,,,,,
Finland,2011,99.3,,,,,
Finland,2012,99.3,,,,,
France,2000,91.6,,,,,
France,2005,91.4,,,,,
France,2008,91.2,,,,,
France,2010,91.4,,,,,
France,2011,91.2,,,,,
France,2012,91,,,,,
Germany,2000,m ,,,,,
Germany,2005,m ,,,,,
Germany,2008,m ,,,,,
Germany,2010,87.1,,,,,
Germany,2011,87.2,,,,,
Germany,2012,86.5,,,,,
Greece,2000,91.7,,,,,
Greece,2005,92.5,,,,,
Greece,2008,m ,,,,,
Greece,2010,m ,,,,,
Greece,2011,m ,,,,,
Greece,2012,m,,,,,
Hungary,2000,92.7,,,,,
Hungary,2005,95.5,,,,,
Hungary,2008,100,,,,,
Hungary,2010,100,,,,,
Hungary,2011,100,,,,,
Hungary,2012,94.2,,,,,
Iceland,2000,96.4,,,,,
Iceland,2005,96.2,,,,,
Iceland,2008,96.4,,,,,
Iceland,2010,96.2,,,,,
Iceland,2011,96.3,,,,,
Iceland,2012,96,,,,,
Ireland,2000,96,,,,,
Ireland,2005,96.8,,,,,
Ireland,2008,97.7,,,,,
Ireland,2010,95.9,,,,,
Ireland,2011,95.8,,,,,
Ireland,2012,95.7,,,,,
Israel,2000,94.8,,,,,
Israel,2005,93,,,,,
Israel,2008,93,,,,,
Israel,2010,92.4,,,,,
Israel,2011,89.5,,,,,
Israel,2012,88.9,,,,,
Italy,2000,97.8,,,,,
Italy,2005,96.3,,,,,
Italy,2008,97.1,,,,,
Italy,2010,96.6,,,,,
Italy,2011,96.2,,,,,
Italy,2012,95.5,,,,,
Japan,2000,89.8,,,,,
Japan,2005,90.1,,,,,
Japan,2008,90,,,,,
Japan,2010,93,,,,,
Japan,2011,93,,,,,
Japan,2012,92.9,,,,,
Luxembourg,2000,m ,,,,,
Luxembourg,2005,m ,,,,,
Luxembourg,2008,m ,,,,,
Luxembourg,2010,m ,,,,,
Luxembourg,2011,m ,,,,,
Luxembourg,2012,97.8,,,,,
Mexico,2000,86.1,,,,,
Mexico,2005,82.9,,,,,
Mexico,2008,82.9,,,,,
Mexico,2010,82.7,,,,,
Mexico,2011,82.6,,,,,
Mexico,2012,82.8,,,,,
Netherlands,2000,86.1,,,,,
Netherlands,2005,87.1,,,,,
Netherlands,2008,86.6,,,,,
Netherlands,2010,86.9,,,,,
Netherlands,2011,86.6,,,,,
Netherlands,2012,86.7,,,,,
New Zealand,2000,m ,,,,,
New Zealand,2005,m ,,,,,
New Zealand,2008,m ,,,,,
