Entity,Year,"Poverty headcount ratio at $1.90 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty headcount ratio at $3.10 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty gap at $1.90 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty gap at $3.10 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))"
Albania,1996,1.1,12.36,0.19,2.38
Albania,2002,2.35,16.61,0.39,3.47
Albania,2005,1.12,9.79,0.18,1.98
Albania,2008,0.37,6.11,0.07,0.9
Albania,2012,1.06,6.79,0.22,1.43
Angola,2000,32.28,54.25,14.65,25.99
Angola,2008,30.13,54.52,9.64,22.54
Argentina,1986,0,0,0,0
Argentina,1987,0,2.22,0,0.22
Argentina,1991,1.1,3.91,0.67,1.23
Argentina,1992,2.05,4.48,1.18,1.96
Argentina,1993,2.42,5.16,1.25,2.21
Argentina,1994,2.28,5.39,1.45,2.22
Argentina,1995,4.11,8.23,2.36,3.78
Argentina,1996,4.63,8.98,2.88,4.33
Argentina,1997,4.14,8.48,2.35,3.84
Argentina,1998,4.59,9.77,2.28,4.02
Argentina,1999,4.78,10.15,2.55,4.27
Argentina,2000,5.7,12.12,2.93,5.13
Argentina,2001,9.42,17.05,4.9,7.92
Argentina,2002,13.99,25.4,5.59,11.21
Argentina,2003,9.79,19.14,4.85,8.55
Argentina,2004,7.09,14.59,3.16,6.04
Argentina,2005,5.37,11.36,2.27,4.57
Argentina,2006,4.12,8.7,1.91,3.59
Argentina,2007,3.49,7.13,1.77,3.17
Argentina,2008,2.97,6.79,1.43,2.73
Argentina,2009,3.05,6.41,1.49,2.67
Argentina,2010,2.05,4.99,0.97,1.87
Argentina,2011,1.53,3.6,0.83,1.45
Argentina,2012,1.63,3.69,0.77,1.48
Argentina,2013,1.75,3.63,0.95,1.6
Argentina,2014,1.71,4.28,0.97,1.73
Armenia,1996,17.9,40.42,4.82,14.37
Armenia,1999,16.88,50.02,4.07,15.83
Armenia,2001,19.33,53.09,4.45,16.84
Armenia,2002,15.06,49.45,3.23,14.55
Armenia,2003,11.36,45.48,2.03,12.1
Armenia,2004,7.93,33.93,1.81,8.82
Armenia,2005,4.45,24.7,0.91,5.51
Armenia,2006,3.3,20.04,0.57,4.42
Armenia,2007,3.57,21.92,0.67,4.88
Armenia,2008,1.49,12.92,0.32,2.48
Armenia,2009,1.59,16.35,0.27,3.18
Armenia,2010,2.54,21.65,0.41,4.31
Armenia,2011,2.7,19.03,0.42,3.97
Armenia,2012,1.74,17.4,0.33,3.52
Armenia,2013,2.44,16.97,0.56,3.67
Armenia,2014,2.31,14.62,0.41,3.06
Azerbaijan,1995,7.32,24.78,2.18,7.42
Azerbaijan,2001,2.71,16.32,0.47,3.68
Azerbaijan,2002,0,0.24,0,0.02
Azerbaijan,2003,0,0.35,0,0.03
Azerbaijan,2004,0,0,0,0
Azerbaijan,2005,0,0,0,0
Azerbaijan,2008,0.49,2.51,0.16,0.6
Bangladesh,1983,38.48,81.23,9.71,30.37
Bangladesh,1985,34.57,76.79,7.38,26.91
Bangladesh,1988,43.9,81.52,11.23,32.41
Bangladesh,1991,44.19,82.37,11.34,32.59
Bangladesh,1995,35.08,73.17,7.98,27.11
Bangladesh,2000,33.74,70.06,7.5,25.57
Bangladesh,2005,24.51,62.96,4.7,20.59
Bangladesh,2010,18.52,56.8,3.31,16.95
Belarus,1988,0.15,0.64,0.08,0.18
Belarus,1993,0.09,2.7,0.02,0.32
Belarus,1995,0.7,2.62,0.35,0.78
Belarus,1998,11.33,36.14,2.69,10.65
Belarus,1999,10.25,31.61,2.58,9.56
Belarus,2000,7.11,25.51,1.73,7.02
Belarus,2001,3.15,13.95,0.69,3.41
Belarus,2002,2.03,10.01,0.46,2.31
Belarus,2003,1.4,8.29,0.35,1.88
Belarus,2004,0.32,3.83,0.07,0.72
Belarus,2005,0.37,2.22,0.07,0.46
Belarus,2006,0.11,0.9,0.04,0.21
Belarus,2007,0.08,0.93,0,0.14
Belarus,2008,0,0.47,0,0.07
Belarus,2009,0.03,0.54,0.01,0.08
