Entity,Year,Mammals (total endemic),Mammals (threatened endemic),Birds (total endemic),Birds (threatened endemic),Crocodiles & Alligators (total endemic),Crocodiles & Alligators (threatened endemic),Chameleons (total endemic),Chameleons (threatened endemic),Amphibians (total endemic),Amphibians (threatened endemic),Groupers (total endemic),Groupers (threatened endemic),"Herrings, anchovies etc. (total endemic)","Herrings, anchovies etc. (threatened endemic)",Seahorses & Pipefishes (total endemic),Seahorses & Pipefishes (threatened endemic),Sturgeons (total endemic),Sturgeons (threatened endemic),Wrasses & Parrotfishes (total endemic),Wrasses & Parrotfishes (threatened endemic),Sharks & Rays (total endemic),Sharks & Rays (threatened endemic)
Afghanistan,2020,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Aland Islands,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2020,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,2020,10,0,17,9,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,2020,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,2020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2020,85,15,16,2,0,0,0,0,43,27,0,0,0,0,0,0,0,0,0,0,1,0
Armenia,2020,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,2020,255,54,359,27,1,0,0,0,209,47,4,0,16,0,50,1,0,0,46,2,146,15
Austria,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,2020,1,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
