Entity,Year,Civil Works,Development,Foundation,Grid Connection,Land,Other,Planning,Wind Turbine
China,2010,4.9628057,,,7.6615133,1.9905779,,0.9245129,84.4605902
China,2011,23.3310666,,,3.2648425,2.34,,4.5888071,66.4752838
China,2012,14.61,,,5,2.11,,3.28,75
China,2013,13.4,,,4.5,1.5,,5.6,75
China,2014,13,,,3.5,2,,9.5,72
Germany,1998,,1.7313019,4.7091413,10.1108033,,4.0858726,3.1855956,76.1772853
Germany,2001,,1.7416546,4.4992743,7.329463,,5.2975327,2.7576197,78.3744557
Germany,2008,,3.1936128,3.5928144,3.1936128,,8.7159015,3.4597472,77.8443114
Germany,2010,,2.1820449,4.6758105,5.1745636,,6.4214464,6.7331671,74.8129676
Germany,2012,,2.7461487,4.4876088,4.8894843,,6.4969859,6.3630275,75.0167448
India,2009,7.7,,,6.1,3.13,,6.21,76.86
India,2010,11.87,,,6.36,2.18,,4.65,74.94
India,2011,9.15,,,5.84,2.23,,4.62,78.16
India,2012,9.55,,,5.95,1.96,,5.1,77.44
India,2013,8.71,,,6.7,2.97,,4.71,76.91
India,2014,8.98,,,3.84,2.15,,5.58,79.45
India,2015,9.48,,,4.96,2.68,,5.5,77.38
India,2016,10.53,,,4.32,3.66,,4.85,76.64
Rest of World,2010,10.28,,,9.53,1.24,,5.83,73.12
Rest of World,2011,7.59,,,9.21,1.56,,5.5,76.14
Rest of World,2012,10.67,,,8.77,1.27,,6.05,73.24
Rest of World,2013,10.778,,,11.19,0.922,,4.37,72.74
Rest of World,2014,14.54,,,8.94,0.8,,2,73.72
Rest of World,2015,15.26,,,9.43,0.85,,1.48,72.98
