Entity,Year,Children (1-14) who experienced any violent discipline,Children (13-15) who reported being bullied,Children (13-15) who reported being in a physical fight during past year,Girls (15-19) who experienced any physical violence since age 15,Girls (15-19) who ever experienced forced sexual intercourse or any other forced sexual acts,"Number of homicide victims among children (0-19) per 100,000 population",Women (15 and above) who experienced any intimate partner physical and/or sexual violence last year
Afghanistan,2015,74.4,48.1,35.4,24,7,8,30.9
Albania,2015,76.9,43.3,47.9,22.5,7.9,2,22.7
Algeria,2015,86.3,52,48,20.6,6.7,2,9.2
Antigua and Barbuda,2015,67.1,25,48,14.5,6.3,2.9,17.9
Argentina,2015,72.4,25,34,16.8,4.2,3,1.9
Armenia,2015,69.9,10,51,19,5.1,1,12.9
Australia,2015,62.8,39.6,48.8,12.3,3.3,1,2
Austria,2015,55.7,41,37,4.1,1,,3
Azerbaijan,2015,76.8,36,37.7,9,0.4,3,10.2
Bahamas,2015,60.7,44.3,39.2,8.9,3.5,5,16.3
Bangladesh,2015,82.3,64.5,53.6,28.6,12.7,1,50.7
Barbados,2015,75.1,13,38,18.4,8.1,3,11
Belarus,2015,64.5,25.8,38.8,13.8,7.7,1,13.9
Belgium,2015,59.1,37,37,10.8,3.2,1,6
Belize,2015,65.1,31,36,17.6,9.5,6,12.9
Benin,2015,91.1,42,32,31.1,9.8,5,25
Bhutan,2015,82.4,29.6,25.5,17.7,5.2,1,14.2
Bolivia,2015,70,30,33,37,5,7,24
Botswana,2015,86.5,52,48,27.4,12.1,7,18.1
Brazil,2015,68.3,31.6,28,14,5.5,17,8.1
Brunei,2015,54,31.1,37.1,6.2,4.6,,9.7
Bulgaria,2015,54.8,23.7,30.3,6.2,3.4,1,6
Burkina Faso,2015,82.7,40.6,47.5,21,9.3,5,9.6
Burundi,2015,96.8,70.3,48.3,35.2,12.4,5,31.4
Cambodia,2015,71.8,22,14,21,0.3,4,8
Cameroon,2015,85,53.3,36.4,45,22,5,32.6
Canada,2015,60,32,34,4.5,1.6,2,1.3
Cape Verde,2015,74.2,22.4,24.1,16,5.4,1,7.8
Central African Republic,2015,92,50.8,46.6,42.5,16.4,5,26.3
Chad,2015,71.1,56.6,39.8,39.6,16.9,4,30.9
Chile,2015,69,15,29,12.1,3.9,2,5.9
China,2015,70.2,29,19,12.8,4.9,1,13.9
Colombia,2015,66.9,32,33,13,3,13,8.6
Comoros,2015,77.1,29.2,29.4,11,5,5,4.8
Congo,2015,82.5,48.5,45.7,32.3,11.8,5,22.1
Costa Rica,2015,45.6,19,22,1.2,5.4,5,9.3
Cote d'Ivoire,2015,90.9,53.3,48,33,5,9,22.9
Croatia,2015,65.1,16,39,10.1,2.6,,3
Cuba,2015,36,27.8,34.5,2.3,3,2,13.8
Cyprus,2015,59.7,33,46.8,2.8,3.7,,3
Czech Republic,2015,46.2,16,43,2.5,0.8,,4
Democratic Republic of Congo,2015,81.6,54.8,45.9,56,21,14,20.7
Denmark,2015,58.9,17,27,4.6,1.6,,4
Dominican Republic,2015,62.9,26.6,30.4,13,8,4,10.4
Ecuador,2015,66.6,29,34,5.7,6,6,10.1
Egypt,2015,93,70,45,40,14.1,1,14
El Salvador,2015,52,30.8,29.2,4.8,7,27,7.7
Estonia,2015,66.4,37,28,18,4.4,1,2
Ethiopia,2015,87.5,50.2,50.6,33.7,12.9,6,26.3
Fiji,2015,72,42,47,15.7,9.6,2,24
Finland,2015,70.7,28,28,11.3,1.7,1,5
France,2015,59.4,32,33,2.4,0.2,,5
Gambia,2015,90.3,44.6,44.2,34.3,12.2,6,20.7
Georgia,2015,66.9,38.9,48.1,6.1,6.3,1,12
Germany,2015,57.9,30,20,8.1,,,3
Ghana,2015,93.6,62,53,32,17,5,20
Greece,2015,73.1,29,51,15.7,2.2,,6
Guatemala,2015,64.8,36.2,36.3,6.4,3,22,9.9
Guinea,2015,83.6,45.6,42.8,31,10.6,5,26.5
Guinea-Bissau,2015,82.4,46.5,38.3,34.9,11.9,6,28.1
Guyana,2015,69.7,38,38,19.2,7.7,6,21.2
Honduras,2015,76.5,32,28,15,6,13,10.9
Hungary,2015,70.2,24,41,11.5,2,1,6
Iceland,2015,61.6,16,28,5.1,0.6,,1.8
India,2015,84.1,40.3,33.8,21,5,2,23.9
Indonesia,2015,73.7,50,34,22,4.7,1,17.4
Iran,2015,66.5,27.5,34.9,7.1,6,2,7.3
Iraq,2015,79,28,37,23.8,9,4,11.9
Ireland,2015,70.2,26,35,8.7,3.6,,3
Israel,2015,61,37.7,45.1,4.7,2.5,1,3.1
Italy,2015,58.1,9,35,4.9,3,,6
Jamaica,2015,84.5,40,50,23.1,11,13,17
Japan,2015,60.1,36.8,38.3,5.6,5.5,,5.5
Jordan,2015,90.2,41,47,31,8.1,3,14.1
Kazakhstan,2015,52.7,41,35.3,4,1,1,14.8
Kenya,2015,83.8,57,48,27,11,3,34
Kiribati,2015,81,37,35,30,15.1,3.1,36.1
Korea,2015,67.3,36,44.9,11.4,3.1,1,4.8
Kuwait,2015,76.8,28,45,26.1,2.9,,6
Kyrgyzstan,2015,57.1,33.3,31.9,6,0.1,,17.1
Laos,2015,75.7,27.5,28.7,13.9,4.8,3,6
Latvia,2015,54.1,43,39,5.5,2.7,1,5
Lebanon,2015,81.9,25,49,17.5,2.9,1,4
Lesotho,2015,82.5,51.1,39.7,34.2,15.8,18,27.3
Liberia,2015,90,50.2,47,39,13,4,36.3
Libya,2015,75.2,35,40,20.3,5,1,11.3
Lithuania,2015,64.9,52,38,8.7,2.1,1,4
Luxembourg,2015,56,28,32,4.9,1.8,,3
