Entity,Year,Land Use
Afghanistan,2017,Shrub
Albania,2017,Crops for human food
Algeria,2017,Barren land
American Samoa,2017,Forests
Andorra,2017,Crops for human food
Angola,2017,Barren land
Antarctica,2017,Glaciers
Antigua and Barbuda,2017,Livestock
Argentina,2017,Livestock
Armenia,2017,Crops for human food
Aruba,2017,Livestock
Australia,2017,Forests
Austria,2017,Crops for human food
Azerbaijan,2017,Crops for human food
Bahamas,2017,Livestock
Bahrain,2017,Shrub
Bangladesh,2017,Shrub
Barbados,2017,Livestock
Belarus,2017,Crops for human food
Belgium,2017,Crops for human food
Belize,2017,Livestock
Benin,2017,Barren land
Bermuda,2017,Livestock
Bhutan,2017,Shrub
Bolivia,2017,Livestock
Bosnia and Herzegovina,2017,Crops for human food
Botswana,2017,Barren land
Brazil,2017,Livestock
British Virgin Islands,2017,Livestock
Brunei,2017,Forests
Bulgaria,2017,Crops for human food
Burkina Faso,2017,Barren land
Burundi,2017,Barren land
Cambodia,2017,Forests
Cameroon,2017,Barren land
Canada,2017,Livestock
Cape Verde,2017,Barren land
Cayman Islands,2017,Livestock
Central African Republic,2017,Barren land
Chad,2017,Barren land
Channel Islands,2017,Crops for human food
Chile,2017,Livestock
China,2017,Forests
Colombia,2017,Livestock
Comoros,2017,Barren land
Congo,2017,Barren land
Costa Rica,2017,Livestock
Croatia,2017,Crops for human food
Cuba,2017,Livestock
Cyprus,2017,Crops for human food
Czech Republic,2017,Crops for human food
Democratic Republic of Congo,2017,Barren land
Denmark,2017,Crops for human food
Djibouti,2017,Shrub
Dominica,2017,Livestock
Dominican Republic,2017,Livestock
Ecuador,2017,Livestock
Egypt,2017,Shrub
El Salvador,2017,Livestock
Equatorial Guinea,2017,Barren land
Eritrea,2017,Barren land
Estonia,2017,Crops for human food
Ethiopia,2017,Barren land
Faeroe Islands,2017,Crops for human food
Fiji,2017,Forests
Finland,2017,Crops for human food
France,2017,Crops for human food
French Polynesia,2017,Forests
Gabon,2017,Barren land
Gambia,2017,Barren land
Georgia,2017,Crops for human food
Germany,2017,Crops for human food
Ghana,2017,Barren land
Gibraltar,2017,Crops for human food
Greece,2017,Crops for human food
Greenland,2017,Glaciers
Grenada,2017,Livestock
Guam,2017,Forests
Guatemala,2017,Livestock
Guinea,2017,Barren land
Guinea-Bissau,2017,Barren land
Guyana,2017,Livestock
Haiti,2017,Livestock
Honduras,2017,Livestock
Hong Kong,2017,Forests
Hungary,2017,Crops for human food
Iceland,2017,Crops for human food
India,2017,Shrub
Indonesia,2017,Forests
Iran,2017,Shrub
Iraq,2017,Shrub
Ireland,2017,Crops for human food
Isle of Man,2017,Crops for human food
Israel,2017,Shrub
Italy,2017,Crops for human food
Jamaica,2017,Livestock
Japan,2017,Forests
Jordan,2017,Shrub
Kazakhstan,2017,Crops for human food
Kenya,2017,Barren land
Kiribati,2017,Forests
Kosovo,2017,Crops for human food
Kuwait,2017,Shrub
Kyrgyzstan,2017,Crops for human food
Laos,2017,Forests
Latvia,2017,Crops for human food
Lebanon,2017,Shrub
Lesotho,2017,Barren land
Liberia,2017,Barren land
Libya,2017,Urban
Liechtenstein,2017,Crops for human food
Lithuania,2017,Crops for human food
Luxembourg,2017,Crops for human food
Macao,2017,Forests
Macedonia,2017,Crops for human food
Madagascar,2017,Barren land
Malawi,2017,Barren land
Malaysia,2017,Forests
Maldives,2017,Shrub
Mali,2017,Barren land
Malta,2017,Shrub
Marshall Islands,2017,Forests
Mauritania,2017,Barren land
Mauritius,2017,Barren land
Mexico,2017,Livestock
Micronesia,2017,Forests
Moldova,2017,Crops for human food
Monaco,2017,Crops for human food
Mongolia,2017,Freshwater
Montenegro,2017,Crops for human food
Morocco,2017,Barren land
Mozambique,2017,Barren land
Myanmar,2017,Forests
Namibia,2017,Barren land
Nauru,2017,Forests
Nepal,2017,Shrub
Netherlands,2017,Crops for human food
New Caledonia,2017,Forests
New Zealand,2017,Forests
Nicaragua,2017,Livestock
Niger,2017,Barren land
Nigeria,2017,Barren land
Northern Mariana Islands,2017,Forests
Norway,2017,Crops for human food
Oman,2017,Shrub
Pakistan,2017,Shrub
Palau,2017,Forests
Palestine,2017,Shrub
Panama,2017,Livestock
Papua New Guinea,2017,Forests
Paraguay,2017,Livestock
Peru,2017,Livestock
Philippines,2017,Forests
Poland,2017,Crops for human food
Portugal,2017,Crops for human food
Puerto Rico,2017,Livestock
Qatar,2017,Shrub
Romania,2017,Crops for human food
Russia,2017,Forests
Rwanda,2017,Barren land
Saint Kitts and Nevis,2017,Livestock
Saint Lucia,2017,Livestock
Saint Martin (French part),2017,Livestock
Saint Vincent and the Grenadines,2017,Livestock
Samoa,2017,Forests
San Marino,2017,Crops for human food
Saudi Arabia,2017,Shrub
Senegal,2017,Barren land
Serbia,2017,Crops for human food
Seychelles,2017,Barren land
Sierra Leone,2017,Barren land
Singapore,2017,Forests
Sint Maarten (Dutch part),2017,Livestock
Slovakia,2017,Crops for human food
Slovenia,2017,Crops for human food
Solomon Islands,2017,Forests
Somalia,2017,Barren land
South Africa,2017,Barren land
South Korea,2017,Forests
South Sudan,2017,Barren land
Spain,2017,Crops for human food
Sri Lanka,2017,Shrub
Sudan,2017,Barren land
Suriname,2017,Livestock
Swaziland,2017,Barren land
Sweden,2017,Crops for human food
Switzerland,2017,Crops for human food
Syria,2017,Shrub
Tajikistan,2017,Crops for human food
Tanzania,2017,Barren land
Thailand,2017,Forests
Timor,2017,Forests
Togo,2017,Barren land
Tonga,2017,Forests
Trinidad and Tobago,2017,Livestock
Tunisia,2017,Barren land
Turkey,2017,Crops for human food
Turkmenistan,2017,Crops for human food
Turks and Caicos Islands,2017,Livestock
Tuvalu,2017,Forests
Uganda,2017,Barren land
Ukraine,2017,Crops for human food
United Arab Emirates,2017,Shrub
United Kingdom,2017,Crops for human food
United States,2017,Livestock
United States Virgin Islands,2017,Livestock
Uruguay,2017,Livestock
Uzbekistan,2017,Crops for human food
Vanuatu,2017,Forests
Venezuela,2017,Livestock
Vietnam,2017,Forests
Yemen,2017,Shrub
Zambia,2017,Barren land
Zimbabwe,2017,Barren land
