Entity,Year,CO2 from solid fuel (CDIAC (2017))
Africa,1884,0.02202
Africa,1885,0.0367
Africa,1886,0.04771
Africa,1887,0.04771
Africa,1888,0.08074
Africa,1889,0.13212
Africa,1890,0.29727
Africa,1891,0.29727
Africa,1892,0.48077
Africa,1893,1.80197
Africa,1894,2.43688
Africa,1895,3.34337
Africa,1896,4.26454
Africa,1897,4.78568
Africa,1898,6.05917
Africa,1899,5.52702
Africa,1900,2.33412
Africa,1901,3.91589
Africa,1902,5.8353
Africa,1903,7.90885
Africa,1904,8.92544
Africa,1905,10.27967
Africa,1906,11.73666
Africa,1907,12.95143
Africa,1908,13.42486
Africa,1909,15.41033
Africa,1910,17.43984
Africa,1911,16.882
Africa,1912,17.89859
Africa,1913,19.5978
Africa,1914,19.27484
Africa,1915,19.54642
Africa,1916,23.10999
Africa,1917,24.95967
Africa,1918,23.89537
Africa,1919,24.79452
Africa,1920,27.63877
Africa,1921,27.46995
Africa,1922,23.47699
Africa,1923,28.61866
Africa,1924,30.17841
Africa,1925,31.67577
Africa,1926,33.95851
Africa,1927,33.3236
Africa,1928,33.87043
Africa,1929,34.64847
Africa,1930,32.60795
Africa,1931,28.35075
Africa,1932,25.3964
Africa,1933,27.33783
Africa,1934,31.37116
Africa,1935,34.80261
Africa,1936,37.82669
Africa,1937,40.64525
Africa,1938,42.62338
Africa,1939,44.03266
Africa,1940,46.10988
Africa,1941,49.52298
Africa,1942,54.3894
Africa,1943,55.32525
Africa,1944,61.47617
Africa,1945,62.40468
Africa,1946,63.04693
Africa,1947,62.52579
Africa,1948,64.46722
Africa,1949,68.68405
Africa,1950,69.11711
Africa,1951,72.8862
Africa,1952,79.53991
Africa,1953,79.20961
Africa,1954,81.93642
Africa,1955,91.84909
Africa,1956,95.77966
Africa,1957,99.49737
Africa,1958,103.33252
Africa,1959,101.87186
Africa,1960,103.72154
Africa,1961,105.19321
Africa,1962,106.84471
Africa,1963,109.366
Africa,1964,115.7885
Africa,1965,125.09929
Africa,1966,124.04233
Africa,1967,127.3123
Africa,1968,132.72188
Africa,1969,135.41199
Africa,1970,140.32612
Africa,1971,150.15805
Africa,1972,154.1767
Africa,1973,154.5437
Africa,1974,157.49805
Africa,1975,162.45622
Africa,1976,172.18539
Africa,1977,176.98208
Africa,1978,178.97122
Africa,1979,197.68455
Africa,1980,212.74623
Africa,1981,237.72792
Africa,1982,250.63898
Africa,1983,261.37006
Africa,1984,286.52791
Africa,1985,295.1781
Africa,1986,306.28719
Africa,1987,313.03265
Africa,1988,323.24626
Africa,1989,313.99419
Africa,1990,295.51574
Africa,1991,306.52941
Africa,1992,288.08766
Africa,1993,318.42021
Africa,1994,330.46515
Africa,1995,346.70857
Africa,1996,352.75306
Africa,1997,359.79212
Africa,1998,354.40823
Africa,1999,365.46961
Africa,2000,369.28641
Africa,2001,371.02599
Africa,2002,360.11875
Africa,2003,389.96319
Africa,2004,416.52665
Africa,2005,413.18695
Africa,2006,419.54706
Africa,2007,430.79928
Africa,2008,455.09835
Africa,2009,446.40779
Africa,2010,443.45711
Africa,2011,436.4364
Africa,2012,435.97398
Africa,2013,426.75494
Asia,1858,0.43673
Asia,1859,0.70464
Asia,1860,0.71198
Asia,1861,0.5505
Asia,1862,0.60922
Asia,1863,0.67528
Asia,1864,0.63858
Asia,1865,0.62757
Asia,1866,0.70831
Asia,1867,1.95611
Asia,1868,1.78362
Asia,1869,1.96712
Asia,1870,1.92308
Asia,1871,2.17998
Asia,1872,2.53597
Asia,1873,2.69378
Asia,1874,2.4956
Asia,1875,2.67543
Asia,1876,3.01674
Asia,1877,3.29566
Asia,1878,3.75441
Asia,1879,4.20215
Asia,1880,4.52878
Asia,1881,5.33985
Asia,1882,5.79493
Asia,1883,6.04449
Asia,1884,7.4501
Asia,1885,8.28686
Asia,1886,8.94012
Asia,1887,10.22095
Asia,1888,11.34764
Asia,1889,13.01749
Asia,1890,14.05977
Asia,1891,15.62686
Asia,1892,17.69307
Asia,1893,19.60147
Asia,1894,20.42722
Asia,1895,38.13497
Asia,1896,40.73333
Asia,1897,49.96705
Asia,1898,46.79984
Asia,1899,45.67315
Asia,1900,55.88676
Asia,1901,41.65817
Asia,1902,45.74655
Asia,1903,51.10475
Asia,1904,53.55998
Asia,1905,56.77857
Asia,1906,61.14587
Asia,1907,67.55736
Asia,1908,75.69375
Asia,1909,70.02727
Asia,1910,71.84025
Asia,1911,73.13209
Asia,1912,80.74
Asia,1913,88.18276
Asia,1914,86.54227
Asia,1915,83.46681
Asia,1916,90.58661
Asia,1917,93.09322
Asia,1918,96.91736
Asia,1919,99.61481
Asia,1920,95.10438
Asia,1921,88.9241
Asia,1922,91.70596
Asia,1923,103.40592
Asia,1924,114.44161
Asia,1925,122.62204
Asia,1926,124.53411
Asia,1927,126.50123
Asia,1928,139.26916
Asia,1929,162.53329
Asia,1930,182.96051
Asia,1931,177.60598
Asia,1932,155.13457
Asia,1933,154.11064
Asia,1934,110.26148
Asia,1935,92.54639
Asia,1936,97.48621
Asia,1937,92.23444
Asia,1938,131.85943
Asia,1939,151.77285
Asia,1940,178.54917
Asia,1941,211.08739
Asia,1942,217.19427
Asia,1943,247.31396
Asia,1944,283.12949
Asia,1945,309.34063
Asia,1946,359.30034
Asia,1947,634.53199
Asia,1948,834.13595
Asia,1949,904.79446
Asia,1950,690.13983
Asia,1951,598.27973
Asia,1952,605.34081
Asia,1953,601.83229
Asia,1954,653.9206
Asia,1955,696.59536
Asia,1956,617.56558
Asia,1957,655.08766
Asia,1958,747.06153
Asia,1959,923.24722
Asia,1960,1030.06991
Asia,1961,1051.79264
Asia,1962,1081.55267
Asia,1963,1088.26877
Asia,1964,1246.77974
