Entity,Year,"Death rate per 100,000"
All natural disasters,1900,76.8097
All natural disasters,1901,12.0497
All natural disasters,1902,2.7567
All natural disasters,1903,0.3872
All natural disasters,1905,1.3384
All natural disasters,1906,2.5121
All natural disasters,1907,77.0450
All natural disasters,1908,4.3358
All natural disasters,1909,86.8508
All natural disasters,1910,8.4705
All natural disasters,1911,5.8205
All natural disasters,1912,2.9451
All natural disasters,1913,0.0496
All natural disasters,1914,0.0162
All natural disasters,1915,1.7890
All natural disasters,1916,0.0166
All natural disasters,1917,138.6561
All natural disasters,1918,25.1672
All natural disasters,1919,0.2980
All natural disasters,1920,172.2701
All natural disasters,1921,63.9690
All natural disasters,1922,5.3478
All natural disasters,1923,13.3755
All natural disasters,1924,15.6882
All natural disasters,1925,0.2987
All natural disasters,1926,21.6727
All natural disasters,1927,10.7744
All natural disasters,1928,148.7135
All natural disasters,1929,0.4096
All natural disasters,1930,0.5107
All natural disasters,1931,176.8639
All natural disasters,1932,3.4552
All natural disasters,1933,1.5973
All natural disasters,1934,0.9706
All natural disasters,1935,12.4160
All natural disasters,1936,0.2387
All natural disasters,1937,0.5360
All natural disasters,1938,0.0983
All natural disasters,1939,24.6633
All natural disasters,1940,1.0010
All natural disasters,1941,0.4406
All natural disasters,1942,69.1256
All natural disasters,1943,81.6850
All natural disasters,1944,0.6764
All natural disasters,1945,0.4384
All natural disasters,1946,1.4881
All natural disasters,1947,0.7328
All natural disasters,1948,4.9291
All natural disasters,1949,4.8655
All natural disasters,1950,0.2664
All natural disasters,1951,0.5849
All natural disasters,1952,0.3424
All natural disasters,1953,0.4863
All natural disasters,1954,1.5447
All natural disasters,1955,0.2185
All natural disasters,1956,0.2756
All natural disasters,1957,0.3710
All natural disasters,1958,0.1358
All natural disasters,1959,67.9411
All natural disasters,1960,1.2983
All natural disasters,1961,0.5639
All natural disasters,1962,0.5543
All natural disasters,1963,1.1818
All natural disasters,1964,0.3958
All natural disasters,1965,47.1187
All natural disasters,1966,0.5067
All natural disasters,1967,0.2919
All natural disasters,1968,0.6073
All natural disasters,1969,0.3239
All natural disasters,1970,10.5230
All natural disasters,1971,0.4813
All natural disasters,1972,0.5229
All natural disasters,1973,2.8277
All natural disasters,1974,2.1954
All natural disasters,1975,0.3658
All natural disasters,1976,6.7803
All natural disasters,1977,0.5320
All natural disasters,1978,0.8888
All natural disasters,1979,0.1683
All natural disasters,1980,0.5201
All natural disasters,1981,2.6490
All natural disasters,1982,0.3038
All natural disasters,1983,9.8599
All natural disasters,1984,0.3415
All natural disasters,1985,1.2412
All natural disasters,1986,0.2094
All natural disasters,1987,0.4278
All natural disasters,1988,1.1209
All natural disasters,1989,0.2416
All natural disasters,1990,1.0008
All natural disasters,1991,3.5142
All natural disasters,1992,0.3448
All natural disasters,1993,0.3918
All natural disasters,1994,0.2758
All natural disasters,1995,0.4737
All natural disasters,1996,0.5433
All natural disasters,1997,0.5111
All natural disasters,1998,1.0495
All natural disasters,1999,1.2710
All natural disasters,2000,0.2720
All natural disasters,2001,0.6365
All natural disasters,2002,0.3397
All natural disasters,2003,1.7853
All natural disasters,2004,3.8009
All natural disasters,2005,1.4351
All natural disasters,2006,0.4529
All natural disasters,2007,0.3356
All natural disasters,2008,3.5814
All natural disasters,2009,0.2342
All natural disasters,2010,4.7607
All natural disasters,2011,0.4868
All natural disasters,2012,0.1637
All natural disasters,2013,0.3095
All natural disasters,2014,0.2874
All natural disasters,2015,0.3251
All natural disasters,2016,0.1372
Drought,1900,76.4242
