Entity,Year,Population of the Island of Ireland
Ireland,1500,800000
Ireland,1600,1000000
Ireland,1650,1750000
Ireland,1700,1925000
Ireland,1750,3000000
Ireland,1800,5250000
Ireland,1820,7101000
Ireland,1830,7827000
Ireland,1840,8349000
Ireland,1850,6878000
Ireland,1860,5821000
Ireland,1870,5419000
Ireland,1880,5203000
Ireland,1890,4718000
Ireland,1900,4469000
Ireland,1910,4385000
Ireland,1920,4361000
Ireland,1930,4183561
Ireland,1940,4237753
Ireland,1950,4333939
Ireland,1960,4257042
Ireland,1970,4486165
Ireland,1980,4933629
Ireland,1990,5081482
Ireland,2000,5476957
