Entity,Year,Standard deviation of life satisfaction
Austria,1990,1.837633729
Austria,1999,1.920911789
Belgium,1981,1.805026889
Belgium,1990,1.893914938
Belgium,1999,2.134913683
Canada,2000,1.882863998
Canada,2006,1.710261106
Denmark,1999,1.815271616
Finland,1996,1.54618454
Finland,2000,1.654675245
Finland,2005,1.746749282
France,1981,2.07516551
France,1990,1.976283073
France,1999,1.993746042
France,2006,1.926970959
Great Britain,1981,1.893801689
Great Britain,1990,1.93458271
Great Britain,1998,1.948876023
Great Britain,2006,1.643955588
Ireland,1990,1.924858451
Ireland,1999,1.82536912
Italy,1981,2.475100279
Italy,1990,2.064720869
Italy,1999,2.111763477
Italy,2005,1.741591692
Malta,1983,1.91274333
Malta,1991,1.990968943
Malta,1999,1.619936347
Netherlands,1990,1.575912118
Netherlands,1999,1.335178614
Northern Ireland,1981,1.902770996
Northern Ireland,1990,1.799312711
Northern Ireland,1999,1.754067063
Norway,1982,1.858561873
Norway,1990,1.768822551
Norway,1996,1.868804097
Portugal,1990,2.152057886
Portugal,1999,1.956165552
Spain,1981,2.007721186
Spain,1990,1.897121549
Spain,1995,1.968541145
Spain,1999,2.010217905
Spain,2000,1.826200366
Spain,2007,1.502460957
Sweden,1996,1.806472659
Sweden,1999,1.858323932
Sweden,2006,1.607709408
United States,1990,1.831183434
United States,1995,2.006042957
United States,1999,1.82467258
United States,2006,1.76660037
