Entity,Year,Natural gas reserves (BP Statistical Review (2016))
Africa,1995,9.9
Africa,2005,14.1
Africa,2014,14.1
Africa,2015,14.1
Algeria,1995,3.7
Algeria,2005,4.5
Algeria,2014,4.5
Algeria,2015,4.5
Argentina,1995,0.6
Argentina,2005,0.4
Argentina,2014,0.3
Argentina,2015,0.3
Asia & Pacific,1995,10.1
Asia & Pacific,2005,13
Asia & Pacific,2014,15.4
Asia & Pacific,2015,15.6
Australia,1995,1.2
Australia,2005,2.2
Australia,2014,3.5
Australia,2015,3.5
Azerbaijan,2005,0.9
Azerbaijan,2014,1.2
Azerbaijan,2015,1.1
Bahrain,1995,0.1
Bahrain,2005,0.1
Bahrain,2014,0.2
Bahrain,2015,0.2
Bangladesh,1995,0.3
Bangladesh,2005,0.4
Bangladesh,2014,0.2
Bangladesh,2015,0.2
Brazil,1995,0.1
Brazil,2005,0.8
Brazil,2014,0.3
Brazil,2015,0.3
Brunei,1995,0.4
Brunei,2005,0.3
Brunei,2014,0.3
Brunei,2015,0.3
Canada,1995,1.9
Canada,2005,1.6
Canada,2014,2
Canada,2015,2
China,1995,1.7
China,2005,1.6
China,2014,3.7
China,2015,3.8
Colombia,1995,0.2
Colombia,2005,0.3
Colombia,2014,0.5
Colombia,2015,0.4
Denmark,1995,0.1
Denmark,2005,0.1
Ecuador,1995,0.2
Ecuador,2005,0.1
Ecuador,2014,0.1
Ecuador,2015,0.1
Egypt,1995,0.6
Egypt,2005,1.9
Egypt,2014,1.8
Egypt,2015,1.8
Europe & Central Asia,1995,40.2
Europe & Central Asia,2005,43
Europe & Central Asia,2014,57
Europe & Central Asia,2015,56.8
Germany,1995,0.2
Germany,2005,0.2
India,1995,0.7
India,2005,1.1
India,2014,1.4
India,2015,1.5
Indonesia,1995,2
Indonesia,2005,2.5
Indonesia,2014,2.8
Indonesia,2015,2.8
Iran,1995,19.4
Iran,2005,27.6
Iran,2014,34
Iran,2015,34
Iraq,1995,3.4
Iraq,2005,3.2
Iraq,2014,3.7
Iraq,2015,3.7
Israel,2014,0.2
Israel,2015,0.2
Italy,1995,0.3
Italy,2005,0.1
Kazakhstan,2005,1.3
Kazakhstan,2014,0.9
Kazakhstan,2015,0.9
Kuwait,1995,1.5
Kuwait,2005,1.6
Kuwait,2014,1.8
Kuwait,2015,1.8
Latin America & the Caribbean,1995,5.9
Latin America & the Caribbean,2005,6.9
Latin America & the Caribbean,2014,7.6
Latin America & the Caribbean,2015,7.6
Libya,1995,1.3
Libya,2005,1.3
Libya,2014,1.5
Libya,2015,1.5
Malaysia,1995,2.3
Malaysia,2005,2.5
Malaysia,2014,1.2
Malaysia,2015,1.2
Mexico,1995,1.9
Mexico,2005,0.4
Mexico,2014,0.3
Mexico,2015,0.3
Middle East,1995,45.3
Middle East,2005,72.6
Middle East,2014,80.1
Middle East,2015,80
Myanmar,1995,0.2
Myanmar,2005,0.5
Myanmar,2014,0.5
Myanmar,2015,0.5
Netherlands,1995,1.6
Netherlands,2005,1.3
Netherlands,2014,0.7
Netherlands,2015,0.7
Nigeria,1995,3.5
Nigeria,2005,5.2
Nigeria,2014,5.1
Nigeria,2015,5.1
North America,1995,8.5
