Entity,Year,Share of consumer expenditure on food (USDA (2017)),Share of consumer expenditure on alcoholic beverages and tobacco (USDA (2017)),Consumer expenditure (USDA (2017)),Food expenditure (USDA (2017))
Algeria,2015,43,2,1703,724
Algeria,2016,37,1,1709,639
Argentina,2015,20,5,8556,1737
Argentina,2016,28,2,8165,2306
Australia,2015,10,3,29709,2915
Australia,2016,10,3,30079,2927
Austria,2015,10,3,23443,2322
Austria,2016,10,3,23636,2273
Azerbaijan,2015,40,2,3016,1210
Azerbaijan,2016,39,2,2279,896
Bahrain,2015,13,0,11409,1477
Bahrain,2016,13,0,10440,1347
Belarus,2015,36,8,2883,1050
Belarus,2016,36,9,2654,962
Belgium,2015,13,4,19675,2532
Belgium,2016,13,4,20176,2706
Bolivia,2015,29,2,2131,606
Bolivia,2016,29,2,2245,656
Bosnia and Herzegovina,2015,31,6,3416,1063
Bosnia and Herzegovina,2016,31,6,3931,1221
Brazil,2015,16,2,5257,815
Brazil,2016,16,2,5295,833
Bulgaria,2015,18,7,4425,813
Bulgaria,2016,19,7,4691,876
Cameroon,2015,46,2,934,426
Cameroon,2016,45,2,988,449
Canada,2015,9,3,23764,2168
Canada,2016,9,3,23700,2168
Chile,2015,15,3,8478,1293
Chile,2016,16,3,8601,1402
China,2015,25,4,3005,750
China,2016,22,2,3141,706
Colombia,2015,17,3,3731,650
Colombia,2016,17,3,3729,646
Costa Rica,2015,20,1,7543,1504
Costa Rica,2016,26,1,8051,2098
Croatia,2015,31,4,7927,2421
Croatia,2016,24,3,9071,2164
Czech Republic,2015,16,8,8433,1340
Czech Republic,2016,17,8,8776,1510
Denmark,2015,11,4,24423,2719
Denmark,2016,11,4,24938,2821
Dominican Republic,2015,23,4,5063,1173
Dominican Republic,2016,27,4,5183,1389
Ecuador,2015,23,1,3831,869
Ecuador,2016,22,1,3752,843
Egypt,2015,35,4,3050,1075
Egypt,2016,37,4,2510,921
Estonia,2015,20,9,9404,1917
Estonia,2016,21,9,9524,1952
Finland,2015,13,5,22211,2848
Finland,2016,12,4,22533,2757
France,2015,13,4,20023,2647
France,2016,13,4,20368,2727
Georgia,2015,32,5,2660,841
Georgia,2016,31,5,2638,817
Germany,2015,10,3,21061,2179
Germany,2016,11,3,21207,2246
Greece,2015,17,5,13257,2244
Greece,2016,17,5,13570,2245
Guatemala,2015,41,2,3373,1370
Guatemala,2016,41,2,3550,1450
Hong Kong,2015,14,1,30251,4263
Hong Kong,2016,14,1,31267,4423
Hungary,2015,19,9,6200,1152
Hungary,2016,18,8,6537,1196
India,2015,31,2,1033,315
India,2016,30,2,1029,311
Indonesia,2015,33,5,1913,629
Indonesia,2016,31,7,2027,638
Iran,2015,24,0,2233,541
Iran,2016,24,0,2505,598
Ireland,2015,10,6,20232,1945
Ireland,2016,9,6,20851,1973
Israel,2015,15,3,19436,2882
Israel,2016,16,3,20205,3320
Italy,2015,14,4,18384,2646
Italy,2016,14,4,18655,2664
Japan,2015,14,3,18589,2631
Japan,2016,14,3,21274,3020
Jordan,2015,38,7,5008,1899
Jordan,2016,30,5,3630,1080
Kazakhstan,2015,43,1,5413,2329
Kazakhstan,2016,43,1,4079,1744
Kenya,2015,47,3,1162,543
Kenya,2016,52,4,1214,634
Kuwait,2015,18,1,8469,1538
Kuwait,2016,18,1,8948,1604
Latvia,2015,20,8,8303,1663
Latvia,2016,19,8,8731,1617
Lithuania,2015,23,7,9024,2090
Lithuania,2016,23,7,9614,2215
Macedonia,2015,32,6,3359,1064
Macedonia,2016,32,6,3489,1108
Malaysia,2015,21,2,5437,1122
Malaysia,2016,21,2,5439,1118
Mexico,2015,23,3,6144,1421
Mexico,2016,23,3,5757,1331
Montenegro,2015,19,4,6146,1171
Montenegro,2016,18,3,6349,1173
Morocco,2015,35,4,2045,719
Morocco,2016,35,4,2033,709
Netherlands,2015,12,3,19329,2255
Netherlands,2016,12,3,19811,2341
New Zealand,2015,15,5,21373,3188
New Zealand,2016,14,5,22426,3149
Nigeria,2015,56,1,2006,1132
Nigeria,2016,59,1,1745,1028
Norway,2015,12,4,28836,3538
Norway,2016,12,4,28865,3524
Pakistan,2015,41,1,1119,458
Pakistan,2016,42,1,1169,490
Peru,2015,36,6,3939,1432
Peru,2016,26,2,4055,1068
Philippines,2015,42,1,2134,894
Philippines,2016,42,1,2209,925
Poland,2015,17,7,7196,1188
Poland,2016,17,6,7146,1181
Portugal,2015,17,3,13041,2251
Portugal,2016,17,3,13500,2311
Qatar,2015,12,0,12918,1516
Qatar,2016,12,0,13525,1570
Romania,2015,28,4,5368,1486
Romania,2016,30,6,5785,1712
