Entity,Year,Incapacity related
Australia,1980,0.9
Australia,1985,1
Australia,1990,1.7
Australia,1995,2.4
Australia,2000,2.6
Australia,2005,2.3
Australia,2010,2.4
Australia,2013,2.6
Australia,2014,2.6
Australia,2015,..
Austria,1980,2.7
Austria,1985,2.8
Austria,1990,2.6
Austria,1995,2.8
Austria,2000,2.7
Austria,2005,2.4
Austria,2010,2.3
Austria,2013,2.3
Austria,2014,..
Austria,2015,..
Belgium,1980,3.6
Belgium,1985,3.6
Belgium,1990,2.6
Belgium,1995,2.9
Belgium,2000,2.1
Belgium,2005,2.2
Belgium,2010,2.6
Belgium,2013,2.9
Belgium,2014,..
Belgium,2015,..
Canada,1980,0.7
Canada,1985,0.9
Canada,1990,1.1
Canada,1995,1.1
Canada,2000,0.9
Canada,2005,0.9
Canada,2010,0.9
Canada,2013,0.8
Canada,2014,0.8
Canada,2015,..
Chile,1980,..
Chile,1985,..
Chile,1990,0.9
Chile,1995,0.9
Chile,2000,0.9
Chile,2005,0.7
Chile,2010,0.8
Chile,2013,0.7
Chile,2014,0.7
Chile,2015,0.7
Czech Republic,1980,..
Czech Republic,1985,..
Czech Republic,1990,2.2
Czech Republic,1995,2.2
Czech Republic,2000,2.4
Czech Republic,2005,2.2
Czech Republic,2010,2
Czech Republic,2013,1.8
Czech Republic,2014,..
Czech Republic,2015,..
Denmark,1980,4.1
Denmark,1985,3.2
Denmark,1990,3.7
Denmark,1995,4.1
Denmark,2000,3.8
Denmark,2005,4.4
Denmark,2010,5
Denmark,2013,4.7
Denmark,2014,..
Denmark,2015,..
Estonia,1980,..
Estonia,1985,..
Estonia,1990,..
Estonia,1995,..
Estonia,2000,1.5
Estonia,2005,1.8
Estonia,2010,2.3
Estonia,2013,2.2
Estonia,2014,..
Estonia,2015,..
Finland,1980,3.5
Finland,1985,3.8
Finland,1990,4.1
Finland,1995,4.9
Finland,2000,3.7
Finland,2005,3.7
Finland,2010,3.9
Finland,2013,3.8
Finland,2014,..
Finland,2015,..
France,1980,2.7
France,1985,2.7
France,1990,2
France,1995,2
France,2000,1.7
France,2005,1.8
France,2010,1.7
France,2013,1.7
France,2014,..
France,2015,..
Germany,1980,2
Germany,1985,1.8
Germany,1990,1.9
Germany,1995,2.3
Germany,2000,2.1
Germany,2005,2
Germany,2010,2
Germany,2013,2.1
Germany,2014,..
Germany,2015,..
Greece,1980,1
Greece,1985,1.7
Greece,1990,1.2
Greece,1995,0.8
Greece,2000,0.8
Greece,2005,0.9
Greece,2010,0.9
Greece,2013,..
Greece,2014,..
Greece,2015,..
Hungary,1980,..
Hungary,1985,..
Hungary,1990,..
Hungary,1995,..
Hungary,2000,2.6
Hungary,2005,2.8
Hungary,2010,2.4
Hungary,2013,1.9
Hungary,2014,..
Hungary,2015,..
Iceland,1980,..
Iceland,1985,..
Iceland,1990,1.3
Iceland,1995,1.8
Iceland,2000,2.2
Iceland,2005,2.6
Iceland,2010,2.5
Iceland,2013,2.8
Iceland,2014,..
Iceland,2015,..
Ireland,1980,2.3
Ireland,1985,2.5
Ireland,1990,1.7
Ireland,1995,1.9
Ireland,2000,1.3
Ireland,2005,1.6
Ireland,2010,2.4
Ireland,2013,2.1
Ireland,2014,..
Ireland,2015,..
Israel,1980,..
Israel,1985,..
Israel,1990,..
Israel,1995,1.8
Israel,2000,2.1
Israel,2005,2.4
Israel,2010,2.5
Israel,2013,2.5
Israel,2014,2.5
Israel,2015,2.5
Italy,1980,1.9
Italy,1985,2.1
Italy,1990,1.9
Italy,1995,1.5
Italy,2000,1.4
Italy,2005,1.5
Italy,2010,1.7
Italy,2013,1.7
Italy,2014,..
Italy,2015,..
Japan,1980,0.6
Japan,1985,0.6
Japan,1990,0.6
Japan,1995,0.7
Japan,2000,0.7
Japan,2005,0.7
Japan,2010,0.9
Japan,2013,1
Japan,2014,..
Japan,2015,..
Korea,1980,..
Korea,1985,..
Korea,1990,0.3
Korea,1995,0.3
Korea,2000,0.4
Korea,2005,0.6
Korea,2010,0.6
Korea,2013,0.6
Korea,2014,0.6
Korea,2015,..
Latvia,1980,..
Latvia,1985,..
Latvia,1990,..
Latvia,1995,0
Latvia,2000,1.5
Latvia,2005,1.4
Latvia,2010,2.1
Latvia,2013,1.8
Latvia,2014,..
Latvia,2015,..
Luxembourg,1980,3.8
Luxembourg,1985,3.7
Luxembourg,1990,2.8
Luxembourg,1995,2.9
Luxembourg,2000,3
Luxembourg,2005,3.3
Luxembourg,2010,2.7
Luxembourg,2013,2.7
Luxembourg,2014,..
Luxembourg,2015,..
Mexico,1980,..
Mexico,1985,0
Mexico,1990,0
Mexico,1995,0.1
Mexico,2000,0.1
Mexico,2005,0.1
Mexico,2010,0.1
Mexico,2013,0
Mexico,2014,..
Mexico,2015,..
Netherlands,1980,6.1
Netherlands,1985,5.2
Netherlands,1990,5.9
Netherlands,1995,4.7
Netherlands,2000,3.6
Netherlands,2005,3.3
Netherlands,2010,3.1
Netherlands,2013,3.1
Netherlands,2014,..
Netherlands,2015,..
New Zealand,1980,1.3
New Zealand,1985,1.5
New Zealand,1990,2.8
New Zealand,1995,2.6
New Zealand,2000,2.6
New Zealand,2005,2.8
New Zealand,2010,2.6
New Zealand,2013,2.5
New Zealand,2014,2.5
New Zealand,2015,..
Norway,1980,3.4
Norway,1985,3.4
Norway,1990,4.6
Norway,1995,4.6
Norway,2000,4.6
Norway,2005,4.3
Norway,2010,4.2
Norway,2013,3.7
Norway,2014,..
Norway,2015,..
OECD - Total,1980,2.2
OECD - Total,1985,2.2
OECD - Total,1990,2.3
OECD - Total,1995,2.3
OECD - Total,2000,2.1
OECD - Total,2005,2.2
OECD - Total,2010,2.2
OECD - Total,2013,2.1
OECD - Total,2014,..
OECD - Total,2015,..
Poland,1980,..
Poland,1985,..
Poland,1990,3.3
Poland,1995,5.5
Poland,2000,3.5
Poland,2005,2.8
Poland,2010,2.3
Poland,2013,..
Poland,2014,..
Poland,2015,..
