Entity,Year,Plastic mass input from rivers,Share of total mass input from rivers
Africa,2015,109200,7.8
"Amazon (Brazil, Peru, Colombia, Ecuador)",2015,38900,2.77
Asia,2015,1210000,86
Australia-Pacific,2015,300,0.02
Brantas (Indonesia),2015,38900,2.77
Central & North America,2015,13400,0.95
"Cross (Nigeria, Cameroon)",2015,40300,2.87
Dong (China),2015,19100,1.36
Europe,2015,3900,0.28
"Ganges (India, Bangladesh)",2015,115000,8.19
Hanjiang (China),2015,12900,0.92
Huangpu (China),2015,40800,2.91
Imo (Nigeria),2015,21500,1.53
Irrawaddy (Myanmar),2015,35300,2.51
Kwa Ibo (Nigeria),2015,11900,0.85
Magdalena (Colombia),2015,16700,1.19
"Mekong (Thailand, Cambodia, Laos, China, Myanmar, Vietnam)",2015,22800,1.62
Pasig (Philippines),2015,38800,2.76
Progo (Indonesia),2015,12800,0.91
Serayu (Indonesia),2015,17100,1.22
Solo (Indonesia),2015,32500,2.31
South America,2015,67400,4.8
Tamsui (Taiwan),2015,14700,1.05
World,2015,1404200,
Xi (China),2015,73900,5.26
Yangtze (China),2015,333000,23.71
Zhujiang (China),2015,13600,0.97
