Entity,Year,xHuman Rights Protection Scores – by Christopher Farris and Keith Schnakenberg
Afghanistan,1949,0.736976
Afghanistan,1950,0.777456
Afghanistan,1951,0.805876
Afghanistan,1952,0.831858
Afghanistan,1953,0.85293
Afghanistan,1954,0.865547
Afghanistan,1955,0.876754
Afghanistan,1956,0.87709
Afghanistan,1957,0.874152
Afghanistan,1958,0.864012
Afghanistan,1959,0.856441
Afghanistan,1960,0.842395
Afghanistan,1961,0.819864
Afghanistan,1962,0.794677
Afghanistan,1963,0.768973
Afghanistan,1964,0.72652
Afghanistan,1965,0.677346
Afghanistan,1966,0.628624
Afghanistan,1967,0.571219
Afghanistan,1968,0.514186
Afghanistan,1969,0.438686
Afghanistan,1970,0.353717
Afghanistan,1971,0.260665
Afghanistan,1972,0.145754
Afghanistan,1973,0.021878
Afghanistan,1974,-0.07585
Afghanistan,1975,-0.198067
Afghanistan,1976,-0.344511
Afghanistan,1977,-0.859887
Afghanistan,1978,-1.64873
Afghanistan,1979,-2.24627
Afghanistan,1980,-2.54967
Afghanistan,1981,-2.7157
Afghanistan,1982,-2.7681
Afghanistan,1983,-2.78442
Afghanistan,1984,-2.71976
Afghanistan,1985,-2.77425
Afghanistan,1986,-2.72699
Afghanistan,1987,-2.5653
Afghanistan,1988,-2.42747
Afghanistan,1989,-2.26006
Afghanistan,1990,-2.09622
Afghanistan,1991,-2.05884
Afghanistan,1992,-2.06982
Afghanistan,1993,-2.07233
Afghanistan,1994,-2.0706
Afghanistan,1995,-2.04816
Afghanistan,1996,-2.06581
Afghanistan,1997,-2.22695
Afghanistan,1998,-2.25584
Afghanistan,1999,-2.23072
Afghanistan,2000,-2.17674
Afghanistan,2001,-1.97961
Afghanistan,2002,-1.55729
Afghanistan,2003,-1.42817
Afghanistan,2004,-1.44304
Afghanistan,2005,-1.4052
Afghanistan,2006,-1.39661
Afghanistan,2007,-1.40636
Afghanistan,2008,-1.44974
Afghanistan,2009,-1.39551
Afghanistan,2010,-1.37769
Afghanistan,2011,-1.41791
Afghanistan,2012,-1.36378
Afghanistan,2013,-1.3978
Afghanistan,2014,-1.2816
Albania,1949,-1.57506
Albania,1950,-1.61607
Albania,1951,-1.65837
Albania,1952,-1.67299
Albania,1953,-1.68003
Albania,1954,-1.66164
Albania,1955,-1.62212
Albania,1956,-1.59941
Albania,1957,-1.5664
Albania,1958,-1.55493
Albania,1959,-1.54943
Albania,1960,-1.55734
Albania,1961,-1.57158
Albania,1962,-1.55004
Albania,1963,-1.53744
Albania,1964,-1.53198
Albania,1965,-1.53696
Albania,1966,-1.53917
Albania,1967,-1.53668
Albania,1968,-1.53727
Albania,1969,-1.53047
Albania,1970,-1.53468
Albania,1971,-1.52831
Albania,1972,-1.52683
Albania,1973,-1.53278
Albania,1974,-1.48341
Albania,1975,-1.39873
Albania,1976,-1.24198
Albania,1977,-1.16538
Albania,1978,-1.04174
Albania,1979,-0.976265
Albania,1980,-0.940997
Albania,1981,-0.990657
Albania,1982,-0.962959
Albania,1983,-0.957143
Albania,1984,-0.948328
Albania,1985,-0.809108
Albania,1986,-0.64551
Albania,1987,-0.535241
Albania,1988,-0.512926
Albania,1989,-0.472683
Albania,1990,-0.381224
Albania,1991,-0.083837
Albania,1992,0.215198
Albania,1993,0.269304
Albania,1994,0.169029
Albania,1995,-0.041253
Albania,1996,-0.202995
Albania,1997,-0.41915
Albania,1998,-0.276984
Albania,1999,-0.299841
Albania,2000,-0.251809
Albania,2001,-0.125617
Albania,2002,-0.139249
Albania,2003,-0.015201
Albania,2004,0.039511
Albania,2005,0.097863
Albania,2006,0.16243
Albania,2007,0.266975
Albania,2008,0.427807
Albania,2009,0.488301
Albania,2010,0.48256
Albania,2011,0.407234
Albania,2012,0.360908
Albania,2013,0.366143
Albania,2014,0.365031
Algeria,1962,-1.62201
Algeria,1963,-1.19903
Algeria,1964,-0.838193
Algeria,1965,-0.550013
Algeria,1966,-0.331252
Algeria,1967,-0.161614
Algeria,1968,-0.027735
Algeria,1969,0.080872
Algeria,1970,0.178342
Algeria,1971,0.262304
Algeria,1972,0.330006
Algeria,1973,0.381964
Algeria,1974,0.425175
Algeria,1975,0.463086
Algeria,1976,0.491909
Algeria,1977,0.509398
Algeria,1978,0.528555
Algeria,1979,0.532748
Algeria,1980,0.774785
Algeria,1981,0.891639
Algeria,1982,0.948967
Algeria,1983,0.825237
Algeria,1984,0.560601
Algeria,1985,0.510579
Algeria,1986,0.313493
Algeria,1987,0.074203
Algeria,1988,-0.21598
Algeria,1989,-0.088955
Algeria,1990,-0.265189
Algeria,1991,-0.766625
Algeria,1992,-1.28272
Algeria,1993,-1.65477
Algeria,1994,-1.87732
Algeria,1995,-1.99197
Algeria,1996,-1.90718
Algeria,1997,-1.95886
Algeria,1998,-1.82048
Algeria,1999,-1.8447
Algeria,2000,-1.55358
Algeria,2001,-1.46512
Algeria,2002,-1.45929
Algeria,2003,-1.4929
Algeria,2004,-1.26545
Algeria,2005,-1.17509
Algeria,2006,-1.1233
Algeria,2007,-0.79541
Algeria,2008,-0.489939
Algeria,2009,-0.253408
Algeria,2010,-0.306423
Algeria,2011,-0.280822
Algeria,2012,-0.037473
Algeria,2013,0.013769
Algeria,2014,0.01559
Andorra,1993,1.85044
Andorra,1994,1.95762
Andorra,1995,2.06665
Andorra,1996,2.17069
Andorra,1997,2.28121
Andorra,1998,2.38922
Andorra,1999,2.5028
Andorra,2000,2.61972
Andorra,2001,2.73369
Andorra,2002,2.8222
Andorra,2003,2.91428
Andorra,2004,2.98803
Andorra,2005,3.05454
Andorra,2006,3.11384
Andorra,2007,3.16495
Andorra,2008,3.20059
Andorra,2009,3.22632
Andorra,2010,3.2501
Andorra,2011,3.26556
Andorra,2012,3.26369
Andorra,2013,3.26408
Andorra,2014,3.26585
Angola,1975,-1.55812
Angola,1976,-1.54501
Angola,1977,-1.58061
Angola,1978,-1.5269
Angola,1979,-1.39465
Angola,1980,-1.36583
Angola,1981,-1.28124
Angola,1982,-1.39254
Angola,1983,-1.55074
Angola,1984,-1.43489
Angola,1985,-1.49543
Angola,1986,-1.58732
Angola,1987,-1.63532
Angola,1988,-1.5431
Angola,1989,-1.62043
Angola,1990,-1.58604
Angola,1991,-1.61313
Angola,1992,-1.86395
Angola,1993,-1.93286
Angola,1994,-1.92167
Angola,1995,-1.81252
Angola,1996,-1.85456
Angola,1997,-1.93977
Angola,1998,-2.16249
Angola,1999,-2.1587
Angola,2000,-2.03664
Angola,2001,-1.88232
Angola,2002,-1.66824
Angola,2003,-1.42337
Angola,2004,-1.23285
Angola,2005,-1.02371
Angola,2006,-0.850405
Angola,2007,-0.937911
Angola,2008,-0.840238
Angola,2009,-0.868147
Angola,2010,-0.685063
Angola,2011,-0.624702
Angola,2012,-0.615146
Angola,2013,-0.629161
Angola,2014,-0.603419
Antigua and Barbuda,1981,0.736449
Antigua and Barbuda,1982,0.773969
Antigua and Barbuda,1983,0.808822
Antigua and Barbuda,1984,0.836658
Antigua and Barbuda,1985,0.862291
Antigua and Barbuda,1986,0.886019
Antigua and Barbuda,1987,0.908871
Antigua and Barbuda,1988,0.924135
Antigua and Barbuda,1989,0.942092
Antigua and Barbuda,1990,0.954814
Antigua and Barbuda,1991,0.96987
Antigua and Barbuda,1992,0.980333
Antigua and Barbuda,1993,0.999327
Antigua and Barbuda,1994,1.01196
Antigua and Barbuda,1995,1.02131
Antigua and Barbuda,1996,1.03749
Antigua and Barbuda,1997,1.04551
Antigua and Barbuda,1998,1.05522
Antigua and Barbuda,1999,1.06707
Antigua and Barbuda,2000,1.0717
Antigua and Barbuda,2001,1.0842
Antigua and Barbuda,2002,1.08865
Antigua and Barbuda,2003,1.09836
Antigua and Barbuda,2004,1.09436
Antigua and Barbuda,2005,1.09433
Antigua and Barbuda,2006,1.09744
Antigua and Barbuda,2007,1.10468
Antigua and Barbuda,2008,1.11087
Antigua and Barbuda,2009,1.12249
Antigua and Barbuda,2010,1.12621
Antigua and Barbuda,2011,1.12311
Antigua and Barbuda,2012,1.12792
Antigua and Barbuda,2013,1.12403
Antigua and Barbuda,2014,1.12972
Argentina,1949,0.518095
Argentina,1950,0.536477
Argentina,1951,0.547917
Argentina,1952,0.557422
Argentina,1953,0.564251
Argentina,1954,0.55904
Argentina,1955,0.548462
Argentina,1956,0.518118
Argentina,1957,0.555784
Argentina,1958,0.565458
Argentina,1959,0.568949
Argentina,1960,0.566021
Argentina,1961,0.553402
Argentina,1962,0.532073
Argentina,1963,0.503121
Argentina,1964,0.46584
Argentina,1965,0.418824
Argentina,1966,0.368991
Argentina,1967,0.299
Argentina,1968,0.214265
Argentina,1969,0.122708
Argentina,1970,0.007973
Argentina,1971,-0.129409
Argentina,1972,-0.298677
Argentina,1973,-0.509182
Argentina,1974,-0.790026
Argentina,1975,-1.1978
Argentina,1976,-1.85272
Argentina,1977,-2.16389
Argentina,1978,-2.23491
Argentina,1979,-2.11209
Argentina,1980,-1.90947
Argentina,1981,-1.44359
Argentina,1982,-0.891032
Argentina,1983,-0.434227
Argentina,1984,0.106857
Argentina,1985,0.489667
Argentina,1986,0.538821
Argentina,1987,0.419609
Argentina,1988,0.308086
Argentina,1989,0.156253
Argentina,1990,-0.013847
Argentina,1991,0.040205
Argentina,1992,0.120184
Argentina,1993,0.171862
Argentina,1994,0.215478
Argentina,1995,0.239278
Argentina,1996,0.059683
Argentina,1997,-0.018683
Argentina,1998,-0.226365
Argentina,1999,-0.273487
Argentina,2000,-0.294987
Argentina,2001,-0.410067
Argentina,2002,-0.27038
Argentina,2003,-0.125367
Argentina,2004,-0.149797
Argentina,2005,0.023718
Argentina,2006,0.03334
Argentina,2007,0.128632
Argentina,2008,0.094478
Argentina,2009,-0.005807
Argentina,2010,0.034984
Argentina,2011,0.079828
Argentina,2012,0.313848
Argentina,2013,0.357199
Argentina,2014,0.355356
Armenia,1985,0.682449
Armenia,1986,0.702976
Armenia,1987,0.713467
Armenia,1988,0.624078
Armenia,1989,0.516298
Armenia,1990,0.390214
Armenia,1991,0.361085
Armenia,1992,0.438806
Armenia,1993,0.448617
Armenia,1994,0.428884
Armenia,1995,0.301917
Armenia,1996,0.199055
Armenia,1997,-0.001577
Armenia,1998,-0.114589
Armenia,1999,-0.037263
Armenia,2000,0.0218
Armenia,2001,0.099138
Armenia,2002,0.024238
Armenia,2003,0.162291
Armenia,2004,0.087575
Armenia,2005,0.117874
Armenia,2006,0.003289
Armenia,2007,-0.263245
Armenia,2008,-0.432037
Armenia,2009,-0.428894
Armenia,2010,-0.429687
Armenia,2011,-0.433565
Armenia,2012,-0.340991
Armenia,2013,-0.317407
Armenia,2014,-0.30939
Australia,1949,1.1504
Australia,1950,1.21988
Australia,1951,1.27777
Australia,1952,1.3315
Australia,1953,1.38687
Australia,1954,1.43559
Australia,1955,1.48656
Australia,1956,1.53874
Australia,1957,1.58704
Australia,1958,1.62926
Australia,1959,1.67944
Australia,1960,1.72367
Australia,1961,1.75327
Australia,1962,1.78836
Australia,1963,1.82146
Australia,1964,1.85446
Australia,1965,1.88643
Australia,1966,1.91105
Australia,1967,1.93821
Australia,1968,1.96488
Australia,1969,1.98174
Australia,1970,2.00256
Australia,1971,2.03501
Australia,1972,2.05925
Australia,1973,2.0773
Australia,1974,2.09703
Australia,1975,2.12149
Australia,1976,2.14911
Australia,1977,2.16728
Australia,1978,2.17464
Australia,1979,2.17279
Australia,1980,2.17614
Australia,1981,2.17926
Australia,1982,2.14265
Australia,1983,2.07476
Australia,1984,2.0875
Australia,1985,2.05579
Australia,1986,1.95372
Australia,1987,1.90013
Australia,1988,1.73767
Australia,1989,1.64607
Australia,1990,1.50513
Australia,1991,1.44262
Australia,1992,1.44092
Australia,1993,1.48353
Australia,1994,1.42442
Australia,1995,1.52372
Australia,1996,1.42966
Australia,1997,1.36294
Australia,1998,1.3637
Australia,1999,1.33107
Australia,2000,1.29403
Australia,2001,1.20181
Australia,2002,1.02101
Australia,2003,0.913978
Australia,2004,1.03138
Australia,2005,1.09437
Australia,2006,1.25747
Australia,2007,1.31051
Australia,2008,1.33726
Australia,2009,1.28306
Australia,2010,1.28733
Australia,2011,1.46431
Australia,2012,1.59116
Australia,2013,1.6538
Australia,2014,1.65166
Austria,1949,1.14523
Austria,1950,1.20868
Austria,1951,1.27423
Austria,1952,1.33911
Austria,1953,1.39225
Austria,1954,1.45093
Austria,1955,1.51549
Austria,1956,1.57634
Austria,1957,1.63187
Austria,1958,1.67896
Austria,1959,1.72903
Austria,1960,1.78228
Austria,1961,1.82703
Austria,1962,1.87002
Austria,1963,1.91602
Austria,1964,1.95309
Austria,1965,1.99432
Austria,1966,2.03283
Austria,1967,2.06832
Austria,1968,2.10519
Austria,1969,2.1322
Austria,1970,2.16633
Austria,1971,2.19466
Austria,1972,2.21725
Austria,1973,2.2439
Austria,1974,2.26299
Austria,1975,2.28431
Austria,1976,2.30639
Austria,1977,2.32316
Austria,1978,2.33809
Austria,1979,2.34711
Austria,1980,2.36116
Austria,1981,2.36514
Austria,1982,2.35055
Austria,1983,2.30874
Austria,1984,2.2377
Austria,1985,2.14235
Austria,1986,1.97477
Austria,1987,1.72599
Austria,1988,1.64709
Austria,1989,1.62267
Austria,1990,1.55023
Austria,1991,1.51924
Austria,1992,1.50096
Austria,1993,1.48829
Austria,1994,1.4869
Austria,1995,1.50905
Austria,1996,1.52486
Austria,1997,1.50432
Austria,1998,1.36766
Austria,1999,1.29048
Austria,2000,1.1311
Austria,2001,1.07255
Austria,2002,0.827458
Austria,2003,0.696345
Austria,2004,0.73849
Austria,2005,0.825773
Austria,2006,0.75031
Austria,2007,0.743714
Austria,2008,0.831476
Austria,2009,0.859299
Austria,2010,1.07382
Austria,2011,1.30068
Austria,2012,1.42439
Austria,2013,1.45911
Austria,2014,1.46076
Azerbaijan,1985,-0.190035
Azerbaijan,1986,-0.213967
Azerbaijan,1987,-0.339799
Azerbaijan,1988,-0.594476
Azerbaijan,1989,-0.787091
Azerbaijan,1990,-0.968089
Azerbaijan,1991,-1.16
Azerbaijan,1992,-1.20873
Azerbaijan,1993,-1.18863
Azerbaijan,1994,-1.02892
Azerbaijan,1995,-0.71997
Azerbaijan,1996,-0.48331
Azerbaijan,1997,-0.323012
Azerbaijan,1998,-0.111368
Azerbaijan,1999,-0.052545
Azerbaijan,2000,-0.141667
Azerbaijan,2001,-0.075352
Azerbaijan,2002,-0.232456
Azerbaijan,2003,-0.342579
Azerbaijan,2004,-0.433064
Azerbaijan,2005,-0.589602
Azerbaijan,2006,-0.509621
Azerbaijan,2007,-0.602175
Azerbaijan,2008,-0.521822
Azerbaijan,2009,-0.518173
Azerbaijan,2010,-0.579988
Azerbaijan,2011,-0.59067
Azerbaijan,2012,-0.564059
Azerbaijan,2013,-0.535123
Azerbaijan,2014,-0.516617
Bahamas,1973,1.43312
Bahamas,1974,1.5164
Bahamas,1975,1.59531
Bahamas,1976,1.66714
Bahamas,1977,1.72315
Bahamas,1978,1.75985
Bahamas,1979,1.78415
Bahamas,1980,1.78272
Bahamas,1981,1.76932
Bahamas,1982,1.74817
Bahamas,1983,1.71915
Bahamas,1984,1.67158
Bahamas,1985,1.60035
Bahamas,1986,1.5209
Bahamas,1987,1.63128
Bahamas,1988,1.71351
Bahamas,1989,1.78753
Bahamas,1990,1.82155
Bahamas,1991,1.82324
Bahamas,1992,1.78485
Bahamas,1993,1.71466
Bahamas,1994,1.59
Bahamas,1995,1.68144
Bahamas,1996,1.7213
Bahamas,1997,1.72637
Bahamas,1998,1.68184
Bahamas,1999,1.59203
Bahamas,2000,1.45239
Bahamas,2001,1.22762
Bahamas,2002,0.868829
Bahamas,2003,0.683243
Bahamas,2004,0.712487
Bahamas,2005,0.756077
Bahamas,2006,0.629531
Bahamas,2007,0.405299
Bahamas,2008,0.392436
Bahamas,2009,0.41253
Bahamas,2010,0.465337
Bahamas,2011,0.419304
Bahamas,2012,0.41419
Bahamas,2013,0.398581
Bahamas,2014,0.403067
Bahrain,1971,0.227293
Bahrain,1972,0.213066
Bahrain,1973,0.190567
Bahrain,1974,0.156165
Bahrain,1975,0.116868
Bahrain,1976,0.059204
Bahrain,1977,0.024035
Bahrain,1978,-0.001968
Bahrain,1979,-0.028332
Bahrain,1980,-0.06254
Bahrain,1981,-0.125313
Bahrain,1982,-0.258249
Bahrain,1983,-0.286808
Bahrain,1984,-0.266451
Bahrain,1985,-0.086852
Bahrain,1986,-0.073845
Bahrain,1987,-0.20247
Bahrain,1988,-0.236147
Bahrain,1989,-0.259589
Bahrain,1990,-0.193105
Bahrain,1991,-0.001508
Bahrain,1992,0.104895
Bahrain,1993,0.023169
Bahrain,1994,-0.144091
Bahrain,1995,-0.41588
Bahrain,1996,-0.435223
Bahrain,1997,-0.303805
Bahrain,1998,-0.24824
Bahrain,1999,-0.07718
Bahrain,2000,0.084945
Bahrain,2001,0.598543
Bahrain,2002,0.756217
Bahrain,2003,1.00051
Bahrain,2004,1.01128
Bahrain,2005,0.893853
Bahrain,2006,0.771115
Bahrain,2007,0.578464
Bahrain,2008,0.460754
Bahrain,2009,0.357099
Bahrain,2010,-0.120491
Bahrain,2011,-0.600038
Bahrain,2012,-0.567252
Bahrain,2013,-0.548448
Bahrain,2014,-0.529647
Bangladesh,1971,-0.370441
Bangladesh,1972,-0.447231
Bangladesh,1973,-0.386644
Bangladesh,1974,-0.399794
Bangladesh,1975,-0.45967
Bangladesh,1976,-0.578781
Bangladesh,1977,-0.545865
Bangladesh,1978,-0.482706
Bangladesh,1979,-0.428134
Bangladesh,1980,-0.579218
Bangladesh,1981,-0.5342
Bangladesh,1982,-0.648868
Bangladesh,1983,-0.672569
Bangladesh,1984,-0.60388
Bangladesh,1985,-0.603227
Bangladesh,1986,-0.763677
Bangladesh,1987,-0.872409
Bangladesh,1988,-0.854795
Bangladesh,1989,-0.88549
Bangladesh,1990,-1.14263
Bangladesh,1991,-1.19334
Bangladesh,1992,-1.32908
Bangladesh,1993,-1.01907
Bangladesh,1994,-0.978871
Bangladesh,1995,-1.0409
Bangladesh,1996,-1.13358
Bangladesh,1997,-1.08955
Bangladesh,1998,-0.954659
Bangladesh,1999,-0.819751
Bangladesh,2000,-0.870174
Bangladesh,2001,-0.929311
Bangladesh,2002,-1.12002
Bangladesh,2003,-1.25277
Bangladesh,2004,-1.32316
Bangladesh,2005,-1.39494
Bangladesh,2006,-1.39346
Bangladesh,2007,-1.40627
Bangladesh,2008,-1.37039
Bangladesh,2009,-1.34198
Bangladesh,2010,-1.2648
Bangladesh,2011,-1.16189
Bangladesh,2012,-1.10214
Bangladesh,2013,-1.10896
Bangladesh,2014,-1.04113
Barbados,1966,1.34537
Barbados,1967,1.40972
Barbados,1968,1.48037
Barbados,1969,1.54694
Barbados,1970,1.6122
Barbados,1971,1.67554
Barbados,1972,1.74067
Barbados,1973,1.79893
Barbados,1974,1.8638
Barbados,1975,1.91948
Barbados,1976,1.98497
Barbados,1977,2.04289
Barbados,1978,2.09691
Barbados,1979,2.13886
Barbados,1980,2.17903
Barbados,1981,2.21989
