Entity,Year,Access to financial account or services (%) - World Bank (2014)
Afghanistan,2011,9.005013
Afghanistan,2014,9.961
Albania,2005,34
Albania,2011,28.26813
Albania,2014,37.98635
Algeria,2005,31
Algeria,2011,33.28611
Algeria,2014,50.47579
Angola,2005,25
Angola,2011,39.20354
Angola,2014,29.31812
Argentina,2005,28
Argentina,2011,33.13022
Argentina,2014,50.1973
Armenia,2005,9
Armenia,2011,17.48687
Armenia,2014,17.23996
Australia,2011,99.06484
Australia,2014,98.85957
Austria,2005,96
Austria,2011,97.08174
Austria,2014,96.73406
Azerbaijan,2005,17
Azerbaijan,2011,14.90085
Azerbaijan,2014,29.15149
Bahrain,2011,64.51457
Bahrain,2014,81.93935
Bangladesh,2005,32
Bangladesh,2011,31.74365
Bangladesh,2014,29.1421
Belarus,2005,16
Belarus,2011,58.60198
Belarus,2014,71.98499
Belgium,2005,97
Belgium,2011,96.30613
Belgium,2014,98.12576
Belize,2005,46
Belize,2014,48.20925
Benin,2005,32
Benin,2011,10.46394
Benin,2014,15.97993
Bhutan,2005,16
Bhutan,2014,33.66591
Bolivia,2005,30
Bolivia,2011,28.02913
Bolivia,2014,40.71082
Bosnia and Herzegovina,2005,17
Bosnia and Herzegovina,2011,56.21161
Bosnia and Herzegovina,2014,52.68503
Botswana,2005,47
Botswana,2011,30.26001
Botswana,2014,49.24358
Brazil,2005,43
Brazil,2011,55.86038
Brazil,2014,68.12315
Bulgaria,2005,56
Bulgaria,2011,52.8249
Bulgaria,2014,62.98683
Burkina Faso,2005,26
Burkina Faso,2011,13.35309
Burkina Faso,2014,13.42449
Burundi,2005,17
Burundi,2011,7.237984
Burundi,2014,6.94346
Cambodia,2005,20
Cambodia,2011,3.659712
Cambodia,2014,12.55649
Cameroon,2005,24
Cameroon,2011,14.80961
Cameroon,2014,11.35104
Canada,2005,96
Canada,2011,95.80464
Canada,2014,99.10332
Central African Republic,2005,19
Central African Republic,2011,3.300809
Chad,2011,8.959745
Chad,2014,7.699498
Chile,2005,60
Chile,2011,42.17929
Chile,2014,63.21075
China,2005,42
China,2011,63.81731
China,2014,78.92678
Colombia,2005,41
Colombia,2011,30.4278
Colombia,2014,38.35334
Comoros,2005,20
Comoros,2011,21.69467
Congo,2011,10.04806
Congo,2014,16.68366
Costa Rica,2005,29
Costa Rica,2011,50.35873
Costa Rica,2014,64.55306
Cote d'Ivoire,2005,25
Cote d'Ivoire,2014,15.13626
Croatia,2005,42
Croatia,2011,88.39102
Croatia,2014,86.02509
Cyprus,2005,85
Cyprus,2011,85.23765
Cyprus,2014,90.1502
Czech Republic,2005,85
Czech Republic,2011,80.65119
Czech Republic,2014,82.17821
Democratic Republic of Congo,2005,27
Democratic Republic of Congo,2011,3.696726
Democratic Republic of Congo,2014,10.90759
Denmark,2005,99
Denmark,2011,99.73679
Denmark,2014,100
Djibouti,2011,12.27388
Dominican Republic,2005,29
Dominican Republic,2011,38.20467
Dominican Republic,2014,53.98639
Ecuador,2005,35
Ecuador,2011,36.7355
Ecuador,2014,46.21243
Egypt,2005,41
Egypt,2011,9.71998
Egypt,2014,13.65175
El Salvador,2005,26
El Salvador,2011,13.76462
El Salvador,2014,34.63472
Estonia,2005,86
Estonia,2011,96.82428
Estonia,2014,97.67167
Ethiopia,2005,14
Ethiopia,2014,21.79158
Finland,2005,99
Finland,2011,99.65125
Finland,2014,100
France,2005,96
France,2011,96.98389
France,2014,96.58276
Gabon,2005,39
Gabon,2011,18.94652
Gabon,2014,30.15455
Georgia,2005,15
Georgia,2011,32.98097
Georgia,2014,39.66507
Germany,2005,97
Germany,2011,98.13362
Germany,2014,98.76041
Ghana,2005,16
Ghana,2011,29.42535
Ghana,2014,34.61837
Greece,2005,83
Greece,2011,77.93986
Greece,2014,87.51865
Guatemala,2005,32
Guatemala,2011,22.31888
Guatemala,2014,40.78673
Guinea,2005,20
Guinea,2011,3.68785
Guinea,2014,6.170127
Haiti,2005,15
Haiti,2011,22.00727
Haiti,2014,17.4961
High income,2011,84.7627
High income,2014,90.63345
Honduras,2005,25
Honduras,2011,20.51226
Honduras,2014,30.04366
Hong Kong,2011,88.68604
Hong Kong,2014,96.14764
Hungary,2005,66
Hungary,2011,72.67432
Hungary,2014,72.25683
India,2005,48
India,2011,35.23184
India,2014,52.75381
Indonesia,2005,40
Indonesia,2011,19.58199
Indonesia,2014,35.94736
Iran,2005,31
Iran,2011,73.68385
Iran,2014,92.17522
Iraq,2005,17
Iraq,2011,10.55375
Iraq,2014,10.97235
Ireland,2005,88
Ireland,2011,93.88835
Ireland,2014,94.71014
Israel,2011,90.46864
Israel,2014,89.95277
Italy,2005,75
Italy,2011,71.00853
Italy,2014,87.33458
Jamaica,2005,59
Jamaica,2011,70.9915
Jamaica,2014,78.34596
Japan,2011,96.42204
Japan,2014,96.64558
Jordan,2005,37
Jordan,2011,25.4711
Jordan,2014,24.61591
Kazakhstan,2005,48
Kazakhstan,2011,42.10509
Kazakhstan,2014,53.90742
Kenya,2005,10
Kenya,2011,42.34346
Kenya,2014,55.20554
Kosovo,2011,44.30996
Kosovo,2014,47.80315
Kuwait,2011,86.77325
Kuwait,2014,72.90818
Kyrgyzstan,2005,14
Kyrgyzstan,2011,3.757264
Kyrgyzstan,2014,18.4706
Laos,2011,26.77346
Latvia,2005,64
Latvia,2011,89.65883
Latvia,2014,90.21825
Lebanon,2011,37.02732
Lebanon,2014,46.92714
Lesotho,2005,17
Lesotho,2011,18.49702
Liberia,2005,11
Liberia,2011,18.80147
Lithuania,2005,70
Lithuania,2011,73.7552
Lithuania,2014,77.90629
Low income,2011,21.13378
Low income,2014,22.29922
Lower middle income,2011,28.65396
Lower middle income,2014,41.78963
Luxembourg,2005,99
Luxembourg,2011,94.58679
Luxembourg,2014,96.16869
Macedonia,2005,20
Macedonia,2011,73.69894
Macedonia,2014,71.7985
Madagascar,2005,21
Madagascar,2011,5.523223
Madagascar,2014,5.727489
Malawi,2005,21
Malawi,2011,16.54061
Malawi,2014,16.13567
Malaysia,2005,60
Malaysia,2011,66.17381
Malaysia,2014,80.67462
Mali,2005,22
Mali,2011,8.213853
Mali,2014,13.25341
Malta,2005,90
Malta,2011,95.27007
Malta,2014,96.328
Mauritania,2011,17.46181
Mauritania,2014,20.44538
Mauritius,2005,54
Mauritius,2011,80.12321
Mauritius,2014,82.20827
Mexico,2005,25
Mexico,2011,27.42938
Mexico,2014,38.69535
Middle income,2011,43.32369
Middle income,2014,57.09655
Moldova,2005,13
Moldova,2011,18.06632
Moldova,2014,17.75575
Mongolia,2005,25
Mongolia,2011,77.71709
Mongolia,2014,91.82178
Montenegro,2011,50.43801
Montenegro,2014,59.82601
Morocco,2005,28
Morocco,2011,39.07011
Myanmar,2005,19
Myanmar,2014,22.6204
Namibia,2005,28
Namibia,2014,58.06324
Nepal,2005,20
Nepal,2011,25.30856
Nepal,2014,33.80135
Netherlands,2005,100
Netherlands,2011,98.65853
Netherlands,2014,99.2956
New Zealand,2011,99.43673
New Zealand,2014,99.52554
Nicaragua,2005,5
Nicaragua,2011,14.21833
Nicaragua,2014,18.8548
Niger,2005,31
Niger,2011,1.521699
Niger,2014,3.490045
Nigeria,2005,15
Nigeria,2011,29.66754
Nigeria,2014,44.1732
Norway,2005,84
Norway,2014,100
Oman,2005,33
Oman,2011,73.60242
Pakistan,2005,12
Pakistan,2011,10.3063
Pakistan,2014,8.706139
Palestine,2005,14
Palestine,2011,19.42803
Palestine,2014,24.24381
Panama,2005,46
Panama,2011,24.92649
Panama,2014,43.40355
Paraguay,2005,30
Paraguay,2011,21.72015
Peru,2005,26
Peru,2011,20.45868
Peru,2014,28.97523
Philippines,2005,26
Philippines,2011,26.55593
Philippines,2014,28.06573
Poland,2005,66
Poland,2011,70.19429
Poland,2014,77.86217
Portugal,2005,84
Portugal,2011,81.22942
Portugal,2014,87.38635
Puerto Rico,2014,69.73527
Qatar,2011,65.87539
Romania,2005,23
Romania,2011,44.59163
Romania,2014,60.79454
Russia,2005,69
Russia,2011,48.17849
Russia,2014,67.38309
Rwanda,2005,23
Rwanda,2011,32.76382
Rwanda,2014,38.14489
Saudi Arabia,2005,62
Saudi Arabia,2011,46.42066
Saudi Arabia,2014,69.40958
Senegal,2005,27
Senegal,2011,5.821141
Senegal,2014,11.92181
Serbia,2011,62.21622
Serbia,2014,83.09234
Sierra Leone,2005,13
Sierra Leone,2011,15.34176
Sierra Leone,2014,14.14885
Singapore,2005,98
Singapore,2011,98.22189
Singapore,2014,96.3526
Slovak Republic,2005,83
Slovak Republic,2011,79.58302
Slovak Republic,2014,77.24139
Slovenia,2005,97
Slovenia,2011,97.14371
Slovenia,2014,97.24451
Somalia,2014,7.855717
South Africa,2005,46
South Africa,2011,53.64507
South Africa,2014,68.76723
South Asia,2011,32.32233
South Asia,2014,45.4865
South Korea,2005,63
South Korea,2011,93.04687
South Korea,2014,94.36082
Spain,2005,95
Spain,2011,93.2776
Spain,2014,97.57531
Sri Lanka,2005,59
Sri Lanka,2011,68.52617
Sri Lanka,2014,82.69138
Sudan,2005,15
Sudan,2011,6.899798
Sudan,2014,15.26843
Swaziland,2005,35
Swaziland,2011,28.56944
Sweden,2005,99
Sweden,2011,98.99195
Sweden,2014,99.71992
Switzerland,2005,88
Switzerland,2014,97.98564
Syria,2005,17
Syria,2011,23.25309
Taiwan,2011,87.3149
Taiwan,2014,91.37632
Tajikistan,2005,16
Tajikistan,2011,2.534857
Tajikistan,2014,11.45923
Tanzania,2005,5
Tanzania,2011,17.25777
Tanzania,2014,19.04123
Thailand,2005,59
Thailand,2011,72.66644
Thailand,2014,78.13655
Togo,2005,28
Togo,2011,10.18524
Togo,2014,17.61492
Trinidad and Tobago,2005,53
Trinidad and Tobago,2011,75.92206
Tunisia,2005,42
Tunisia,2014,27.26323
Turkey,2005,49
Turkey,2011,57.60143
Turkey,2014,56.51257
Turkmenistan,2011,0.4049115
Turkmenistan,2014,1.790751
Uganda,2005,20
Uganda,2011,20.46142
Uganda,2014,27.78342
Ukraine,2005,24
Ukraine,2011,41.26857
Ukraine,2014,52.71481
United Arab Emirates,2011,59.73237
United Arab Emirates,2014,83.20432
United Kingdom,2005,91
United Kingdom,2011,97.20129
United Kingdom,2014,98.93105
United States,2005,91
United States,2011,87.95786
United States,2014,93.5838
Upper middle income,2011,57.35698
Upper middle income,2014,70.39571
Uruguay,2005,42
Uruguay,2011,23.5426
Uruguay,2014,45.35541
Uzbekistan,2005,16
Uzbekistan,2011,22.50392
Uzbekistan,2014,40.71001
Venezuela,2005,28
Venezuela,2011,44.11666
Venezuela,2014,56.85735
Vietnam,2005,29
Vietnam,2011,21.36949
Vietnam,2014,30.86436
World,2011,50.59584
World,2014,60.69839
Yemen,2005,14
Yemen,2011,3.659954
Yemen,2014,6.448482
Zambia,2005,15
Zambia,2011,21.36491
Zambia,2014,31.29242
Zimbabwe,2005,34
Zimbabwe,2011,39.65121
Zimbabwe,2014,17.18949
