Entity,Year,Human Capital Index (HCI),Human Capital Index (Males),Human Capital Index (Females)
Afghanistan,2016,0.39,0.39,0.36
Albania,2016,0.62,0.61,0.64
Algeria,2016,0.52,0.50,0.54
Angola,2016,0.36,0.37,0.36
Argentina,2016,0.61,0.59,0.63
Armenia,2016,0.57,0.55,0.59
Australia,2016,0.80,0.78,0.81
Austria,2016,0.79,0.79,0.80
Azerbaijan,2016,0.60,,
Bahrain,2016,0.67,0.64,0.70
Bangladesh,2016,0.48,0.46,0.49
Belgium,2016,0.76,0.75,0.77
Benin,2016,0.41,0.41,0.40
Bosnia and Herzegovina,2016,0.62,0.61,0.63
Botswana,2016,0.42,0.39,0.45
Brazil,2016,0.56,,
Bulgaria,2016,0.68,0.65,0.71
Burkina Faso,2016,0.37,0.35,0.36
Burundi,2016,0.38,0.37,0.39
Cambodia,2016,0.49,,
Cameroon,2016,0.39,0.40,0.39
Canada,2016,0.80,0.79,0.81
Chad,2016,0.29,0.30,0.29
Chile,2016,0.67,0.67,0.68
China,2016,0.67,0.66,0.67
Colombia,2016,0.59,0.58,0.61
Comoros,2016,0.41,0.41,0.41
Congo,2016,0.42,0.39,0.41
Costa Rica,2016,0.62,0.60,0.62
Cote d'Ivoire,2016,0.35,0.32,0.32
Croatia,2016,0.72,0.70,0.75
Cyprus,2016,0.75,0.74,0.76
Czech Republic,2016,0.78,0.76,0.80
Democratic Republic of Congo,2016,0.37,0.37,0.37
Denmark,2016,0.77,0.76,0.79
Dominican Republic,2016,0.49,0.48,0.51
Ecuador,2016,0.60,0.59,0.62
Egypt,2016,0.49,0.47,0.51
El Salvador,2016,0.50,0.49,0.51
Estonia,2016,0.75,0.71,0.78
Ethiopia,2016,0.38,0.38,0.39
Finland,2016,0.81,0.78,0.85
France,2016,0.76,,
Gabon,2016,0.45,0.44,0.47
Gambia,2016,0.40,,0.41
Georgia,2016,0.61,0.55,0.64
Germany,2016,0.79,0.78,0.80
Ghana,2016,0.44,0.43,0.45
Greece,2016,0.68,0.66,0.69
Guatemala,2016,0.46,0.45,0.47
Guinea,2016,0.37,0.38,0.35
Guyana,2016,0.49,0.47,0.52
Haiti,2016,0.45,0.43,0.46
Honduras,2016,0.49,0.48,0.50
Hong Kong,2016,0.82,0.81,0.83
Hungary,2016,0.70,0.68,0.73
Iceland,2016,0.74,0.72,0.76
India,2016,0.44,0.43,0.45
Indonesia,2016,0.53,0.52,0.55
Iran,2016,0.59,0.56,0.60
Iraq,2016,0.40,0.39,0.41
Ireland,2016,0.81,,
Israel,2016,0.76,,
Italy,2016,0.77,0.76,0.77
Jamaica,2016,0.54,0.50,0.56
Japan,2016,0.84,,
Jordan,2016,0.56,0.54,0.59
Kazakhstan,2016,0.75,0.71,0.78
Kenya,2016,0.52,,
Kiribati,2016,0.48,,
Kosovo,2016,0.56,0.55,0.57
Kuwait,2016,0.58,0.54,0.60
Kyrgyzstan,2016,0.58,0.56,0.60
Laos,2016,0.45,0.44,0.46
Latvia,2016,0.72,0.68,0.77
Lebanon,2016,0.54,0.54,0.54
Lesotho,2016,0.37,,
Liberia,2016,0.32,0.31,0.32
Lithuania,2016,0.71,0.67,0.76
Luxembourg,2016,0.69,0.68,0.71
Macao,2016,0.76,0.73,0.79
Macedonia,2016,0.53,0.52,0.55
Madagascar,2016,0.37,0.37,0.39
Malawi,2016,0.41,,
Malaysia,2016,0.62,0.60,0.65
Mali,2016,0.32,0.32,0.32
Malta,2016,0.70,0.67,0.73
Mauritania,2016,0.35,0.34,0.36
Mauritius,2016,0.63,,
Mexico,2016,0.61,0.59,0.62
Moldova,2016,0.58,0.56,0.60
Mongolia,2016,0.63,,
Montenegro,2016,0.62,,
Morocco,2016,0.50,0.49,0.51
Mozambique,2016,0.36,,
Myanmar,2016,0.47,0.46,0.49
Namibia,2016,0.43,,
Nepal,2016,0.49,,
Netherlands,2016,0.80,0.79,0.81
New Zealand,2016,0.77,0.75,0.78
Nicaragua,2016,0.53,0.51,0.55
Niger,2016,0.32,0.32,0.31
Nigeria,2016,0.34,0.34,0.34
Norway,2016,0.77,0.76,0.79
Oman,2016,0.62,0.59,0.66
Pakistan,2016,0.39,0.39,0.38
Palestine,2016,0.55,0.53,0.58
Panama,2016,0.53,0.52,0.54
Papua New Guinea,2016,0.38,0.39,0.39
Paraguay,2016,0.53,0.53,0.54
Peru,2016,0.59,0.56,0.59
Philippines,2016,0.55,0.52,0.58
Poland,2016,0.75,0.72,0.78
Portugal,2016,0.78,0.77,0.79
Qatar,2016,0.61,0.59,0.65
Romania,2016,0.60,0.58,0.63
Russia,2016,0.73,0.68,0.78
Rwanda,2016,0.37,0.36,0.39
Saudi Arabia,2016,0.58,0.56,0.61
Senegal,2016,0.42,0.41,0.43
Serbia,2016,0.76,0.74,0.77
Seychelles,2016,0.68,,
Sierra Leone,2016,0.35,0.35,0.35
Singapore,2016,0.88,0.87,0.90
Slovak Republic,2016,0.69,0.67,0.72
Slovenia,2016,0.79,0.77,0.81
Solomon Islands,2016,0.44,0.43,0.45
South Africa,2016,0.41,0.36,0.41
South Korea,2016,0.84,0.81,0.85
South Sudan,2016,0.30,,
Spain,2016,0.74,0.73,0.76
Sri Lanka,2016,0.58,,
Sudan,2016,0.38,,
Swaziland,2016,0.41,,
Sweden,2016,0.80,0.79,0.81
Switzerland,2016,0.77,0.76,0.77
Tajikistan,2016,0.53,0.54,0.53
Tanzania,2016,0.40,0.39,0.41
Thailand,2016,0.60,0.59,0.61
Timor,2016,0.43,0.43,0.47
Togo,2016,0.41,0.42,0.41
Tonga,2016,0.51,0.48,0.52
Trinidad and Tobago,2016,0.61,,
Tunisia,2016,0.51,0.49,0.53
Turkey,2016,0.63,0.60,0.63
Tuvalu,2016,0.55,,
Uganda,2016,0.38,,
Ukraine,2016,0.65,0.61,0.69
United Arab Emirates,2016,0.66,,
United Kingdom,2016,0.78,0.77,0.79
United States,2016,0.76,0.73,0.76
Uruguay,2016,0.60,,
Vanuatu,2016,0.47,0.46,0.49
Vietnam,2016,0.67,,
Yemen,2016,0.37,0.37,0.36
Zambia,2016,0.40,,
Zimbabwe,2016,0.44,,
