Entity,Year,Social Expenditure %GDP - (OWID extrapolated series)
Australia,1880,0
Australia,1890,0
Australia,1900,0
Australia,1910,1.12
Australia,1920,1.66
Australia,1930,2.11
Australia,1960,5.93012553
Australia,1961,6.333481916
Australia,1962,6.285261018
Australia,1963,6.199258799
Australia,1964,5.976754619
Australia,1965,6.059972782
Australia,1966,5.921643458
Australia,1967,5.652750976
Australia,1968,5.676263156
Australia,1969,5.849024071
Australia,1970,5.914159614
Australia,1971,6.211192705
Australia,1972,6.638595805
Australia,1973,7.012542058
Australia,1974,8.39848658
Australia,1975,10.15894538
Australia,1976,10.59740856
Australia,1977,10.9222346
Australia,1978,10.6378896
Australia,1979,10.29641421
Australia,1980,10.268
Australia,1985,12.088
Australia,1990,13.131
Australia,1995,16.871
Australia,2000,18.242
Australia,2005,16.681
Australia,2010,16.706
Australia,2013,18.109
Australia,2014,18.697
Australia,2015,18.794
Australia,2016,19.146
Austria,1880,0
Austria,1890,0
Austria,1900,0
Austria,1910,0
Austria,1920,0
Austria,1930,1.2
Austria,1960,14.99186298
Austria,1961,14.99976284
Austria,1962,15.90124034
Austria,1963,16.29504608
Austria,1964,16.2562269
Austria,1965,16.46515979
Austria,1966,16.70533011
Austria,1967,17.5085993
Austria,1968,17.04526279
Austria,1969,17.88484547
Austria,1970,17.84083333
Austria,1971,17.98526652
Austria,1972,17.83411503
Austria,1973,17.67992692
Austria,1974,18.13958036
Austria,1975,19.78976937
Austria,1976,20.49304033
Austria,1977,20.49407434
Austria,1978,22.12682645
Austria,1979,22.07379021
Austria,1980,21.959
Austria,1985,23.261
Austria,1990,23.205
Austria,1995,25.998
Austria,2000,25.487
Austria,2005,25.936
Austria,2010,27.577
Austria,2013,27.559
Austria,2014,27.854
Austria,2015,28.03
Austria,2016,27.786
Belgium,1880,0.17
Belgium,1890,0.22
Belgium,1900,0.26
Belgium,1910,0.43
Belgium,1920,0.52
Belgium,1930,0.56
Belgium,1960,10.02010637
Belgium,1961,10.48927026
Belgium,1962,10.99132453
Belgium,1963,11.41547067
Belgium,1964,11.42834488
Belgium,1965,12.24171024
Belgium,1966,12.98460026
Belgium,1967,13.38371551
Belgium,1968,14.40560157
Belgium,1969,14.41783948
Belgium,1970,14.68352941
Belgium,1971,14.96647344
Belgium,1972,15.86459354
Belgium,1973,16.28269833
Belgium,1974,16.89191045
Belgium,1975,20.39080258
Belgium,1976,21.38051374
Belgium,1977,22.55010485
Belgium,1978,22.81756082
Belgium,1979,23.00717358
Belgium,1980,23.079
Belgium,1985,25.552
Belgium,1990,24.417
Belgium,1995,25.169
Belgium,2000,23.5
Belgium,2005,25.27
Belgium,2010,28.302
Belgium,2013,29.324
Belgium,2014,29.174
Belgium,2015,29.17
Belgium,2016,29.005
Canada,1880,0
Canada,1890,0
Canada,1900,0
