Entity,Year,HAQ Index (IHME (2017))
Afghanistan,1990,24.7
Afghanistan,1995,24.5
Afghanistan,2000,24.8
Afghanistan,2005,27.1
Afghanistan,2010,29.4
Afghanistan,2015,32.5
Albania,1990,62.4
Albania,1995,65.1
Albania,2000,68.5
Albania,2005,71.6
Albania,2010,75.3
Albania,2015,78.2
Algeria,1990,48.2
Algeria,1995,52.6
Algeria,2000,56.2
Algeria,2005,59.6
Algeria,2010,62.2
Algeria,2015,63.7
American Samoa,1990,54.6
American Samoa,1995,55.6
American Samoa,2000,60.2
American Samoa,2005,61.7
American Samoa,2010,63.1
American Samoa,2015,63.3
Andean Latin America,1990,43.2
Andean Latin America,1995,47
Andean Latin America,2000,53.5
Andean Latin America,2005,58.1
Andean Latin America,2010,60.9
Andean Latin America,2015,64.1
Andorra,1990,84.7
Andorra,1995,88
Andorra,2000,91.1
Andorra,2005,92.6
Andorra,2010,94
Andorra,2015,94.6
Angola,1990,25.8
Angola,1995,28.1
Angola,2000,31.2
Angola,2005,35.6
Angola,2010,37.7
Angola,2015,40.7
Antigua and Barbuda,1990,56.6
Antigua and Barbuda,1995,57.8
Antigua and Barbuda,2000,60.3
Antigua and Barbuda,2005,62.5
Antigua and Barbuda,2010,64.9
Antigua and Barbuda,2015,66.7
Argentina,1990,57.4
Argentina,1995,60.3
Argentina,2000,63.5
Argentina,2005,65.3
Argentina,2010,66.6
Argentina,2015,68.4
Armenia,1990,56.8
Armenia,1995,55.6
Armenia,2000,59
Armenia,2005,60
Armenia,2010,63.7
Armenia,2015,67.5
Australasia,1990,77.2
Australasia,1995,80.1
Australasia,2000,82.9
Australasia,2005,85.3
Australasia,2010,87.4
Australasia,2015,89.1
Australia,1990,78
Australia,1995,80.8
Australia,2000,83.7
Australia,2005,86.2
Australia,2010,88.2
Australia,2015,89.8
Austria,1990,74.4
Austria,1995,78.2
Austria,2000,81.6
Austria,2005,84.2
Austria,2010,86.1
Austria,2015,88.2
Azerbaijan,1990,52.9
Azerbaijan,1995,51.8
Azerbaijan,2000,53.6
Azerbaijan,2005,55.4
Azerbaijan,2010,59.9
Azerbaijan,2015,64.5
Bahrain,1990,59.7
Bahrain,1995,63.2
Bahrain,2000,67.3
Bahrain,2005,71.3
Bahrain,2010,77.2
Bahrain,2015,79
Bangladesh,1990,32.6
Bangladesh,1995,35.8
Bangladesh,2000,39.6
Bangladesh,2005,44.3
Bangladesh,2010,48.7
Bangladesh,2015,51.7
Barbados,1990,55.9
Barbados,1995,59.5
Barbados,2000,62.6
Barbados,2005,64.3
Barbados,2010,65.5
Barbados,2015,66.8
Belarus,1990,63.9
Belarus,1995,63.2
Belarus,2000,65.6
Belarus,2005,68
Belarus,2010,71.7
Belarus,2015,74.4
Belgium,1990,75.4
Belgium,1995,78.8
Belgium,2000,81.6
Belgium,2005,84.6
Belgium,2010,86.3
Belgium,2015,87.9
Belize,1990,49.7
Belize,1995,50.5
Belize,2000,50.6
Belize,2005,53.7
Belize,2010,56.3
Belize,2015,58.3
Benin,1990,36.9
Benin,1995,37
Benin,2000,37.3
Benin,2005,40.4
Benin,2010,41.5
Benin,2015,43
Bermuda,1990,60.8
Bermuda,1995,64.8
Bermuda,2000,71.6
Bermuda,2005,74.1
Bermuda,2010,77
Bermuda,2015,79
Bhutan,1990,34.6
Bhutan,1995,37.6
Bhutan,2000,42.3
Bhutan,2005,46.2
Bhutan,2010,50.1
Bhutan,2015,52.7
Bolivia,1990,40.5
Bolivia,1995,43.8
Bolivia,2000,48.5
Bolivia,2005,53.3
Bolivia,2010,56.4
Bolivia,2015,59.2
Bosnia and Herzegovina,1990,60.9
Bosnia and Herzegovina,1995,62.1
Bosnia and Herzegovina,2000,68.8
Bosnia and Herzegovina,2005,72.1
Bosnia and Herzegovina,2010,75.3
Bosnia and Herzegovina,2015,78.2
Botswana,1990,44.9
Botswana,1995,45.4
Botswana,2000,43.7
Botswana,2005,43.9
Botswana,2010,48.6
Botswana,2015,51.1
Brazil,1990,50.1
Brazil,1995,53.8
Brazil,2000,57
Brazil,2005,59.9
Brazil,2010,62.6
Brazil,2015,64.9
Brunei,1990,62
Brunei,1995,64.3
Brunei,2000,66.7
Brunei,2005,68.6
Brunei,2010,69.5
Brunei,2015,70
Bulgaria,1990,63
Bulgaria,1995,63.2
Bulgaria,2000,64.8
Bulgaria,2005,66.7
Bulgaria,2010,67.9
Bulgaria,2015,71.4
Burkina Faso,1990,32.9
Burkina Faso,1995,34.1
Burkina Faso,2000,36
Burkina Faso,2005,40.3
Burkina Faso,2010,42.7
Burkina Faso,2015,42.9
Burundi,1990,23.5
Burundi,1995,23.4
Burundi,2000,27
Burundi,2005,35.5
Burundi,2010,40.5
Burundi,2015,40.4
Cambodia,1990,30
Cambodia,1995,31.3
Cambodia,2000,34.1
Cambodia,2005,40.7
Cambodia,2010,45.5
Cambodia,2015,50.7
Cameroon,1990,38.3
Cameroon,1995,37.7
Cameroon,2000,37.2
Cameroon,2005,41
Cameroon,2010,42.5
Cameroon,2015,44.4
Canada,1990,78.9
Canada,1995,80.7
Canada,2000,83.2
Canada,2005,84.7
Canada,2010,86.3
Canada,2015,87.6
