Entity,Year,Support for nuclear energy (Ipsos MORI (2011)),Opposed to nuclear energy (Ipsos MORI (2011))
Argentina,2011,28,72
Australia,2011,34,66
Belgium,2011,39,60
Brazil,2011,32,69
Canada,2011,36,63
China,2011,42,58
France,2011,34,67
Germany,2011,21,79
Hungary,2011,41,59
India,2011,61,39
Indonesia,2011,33,67
Italy,2011,19,81
Japan,2011,41,58
Mexico,2011,18,81
Poland,2011,57,43
Russia,2011,39,62
Saudi Arabia,2011,42,58
South Africa,2011,40,60
South Korea,2011,40,61
Spain,2011,40,60
Sweden,2011,50,51
Turkey,2011,29,71
United Kingdom,2011,48,51
United States,2011,52,48
World,2011,38,62
