Entity,Year,World Region according to the World Bank
Afghanistan,2017,South Asia
Albania,2017,Europe and Central Asia
Algeria,2017,Middle East and North Africa
American Samoa,2017,East Asia and Pacific
Andorra,2017,Europe and Central Asia
Angola,2017,Sub-Saharan Africa
Antigua and Barbuda,2017,Latin America and Caribbean
Argentina,2017,Latin America and Caribbean
Armenia,2017,Europe and Central Asia
Aruba,2017,Latin America and Caribbean
Australia,2017,East Asia and Pacific
Austria,2017,Europe and Central Asia
Azerbaijan,2017,Europe and Central Asia
Bahamas,2017,Latin America and Caribbean
Bahrain,2017,Middle East and North Africa
Bangladesh,2017,South Asia
Barbados,2017,Latin America and Caribbean
Belarus,2017,Europe and Central Asia
Belgium,2017,Europe and Central Asia
Belize,2017,Latin America and Caribbean
Benin,2017,Sub-Saharan Africa
Bermuda,2017,North America
Bhutan,2017,South Asia
Bolivia,2017,Latin America and Caribbean
Bosnia and Herzegovina,2017,Europe and Central Asia
Botswana,2017,Sub-Saharan Africa
Brazil,2017,Latin America and Caribbean
British Virgin Islands,2017,Latin America and Caribbean
Brunei,2017,East Asia and Pacific
Bulgaria,2017,Europe and Central Asia
Burkina Faso,2017,Sub-Saharan Africa
Burundi,2017,Sub-Saharan Africa
Cambodia,2017,East Asia and Pacific
Cameroon,2017,Sub-Saharan Africa
Canada,2017,North America
Cape Verde,2017,Sub-Saharan Africa
Cayman Islands,2017,Latin America and Caribbean
Central African Republic,2017,Sub-Saharan Africa
Chad,2017,Sub-Saharan Africa
Channel Islands,2017,Europe and Central Asia
Chile,2017,Latin America and Caribbean
China,2017,East Asia and Pacific
Colombia,2017,Latin America and Caribbean
Comoros,2017,Sub-Saharan Africa
Congo,2017,Sub-Saharan Africa
Costa Rica,2017,Latin America and Caribbean
Cote d'Ivoire,2017,Sub-Saharan Africa
Croatia,2017,Europe and Central Asia
Cuba,2017,Latin America and Caribbean
Curacao,2017,Latin America and Caribbean
Cyprus,2017,Europe and Central Asia
Czech Republic,2017,Europe and Central Asia
Democratic Republic of Congo,2017,Sub-Saharan Africa
Denmark,2017,Europe and Central Asia
Djibouti,2017,Middle East and North Africa
Dominica,2017,Latin America and Caribbean
