Entity,Year,"City population (UN Urbanization Prospects, 2018)","Projected city population (UN Urbanization Prospects, 2018)"
Bangalore,1950,0.745999,
Bangalore,1955,0.939396,
Bangalore,1960,1.165978,
Bangalore,1965,1.377314,
Bangalore,1970,1.614756,
Bangalore,1975,2.110599,
Bangalore,1980,2.812428,
Bangalore,1985,3.397214,
Bangalore,1990,4.042598,
Bangalore,1995,4.754228,
Bangalore,2000,5.581263,
Bangalore,2005,6.785901,
Bangalore,2010,8.295564,
Bangalore,2015,10.14108,
Bangalore,2020,,12.326532
Bangalore,2025,,14.395443
Bangalore,2030,,16.226826
Bangalore,2035,,18.065541
Beijing,1950,1.671365,
Beijing,1955,2.364625,
Beijing,1960,3.900441,
Beijing,1965,4.582017,
Beijing,1970,4.426045,
Beijing,1975,4.827973,
Beijing,1980,5.366372,
Beijing,1985,6.017488,
Beijing,1990,6.787737,
Beijing,1995,8.355148,
Beijing,2000,10.285091,
Beijing,2005,12.991292,
Beijing,2010,16.441252,
Beijing,2015,18.421198,
Beijing,2020,,20.46261
Beijing,2025,,22.596455
Beijing,2030,,24.281913
Beijing,2035,,25.36592
Bogota,1950,0.630315,
Bogota,1955,0.894187,
Bogota,1960,1.268645,
Bogota,1965,1.779758,
Bogota,1970,2.383425,
Bogota,1975,3.040465,
Bogota,1980,3.525154,
Bogota,1985,4.086775,
Bogota,1990,4.740448,
Bogota,1995,5.488071,
Bogota,2000,6.329384,
Bogota,2005,7.299095,
Bogota,2010,8.417705,
Bogota,2015,9.707746,
Bogota,2020,,10.97836
Bogota,2025,,11.795829
Bogota,2030,,12.343364
Bogota,2035,,12.753324
Buenos Aires,1950,5.16614,
Buenos Aires,1955,5.910271,
Buenos Aires,1960,6.761837,
Buenos Aires,1965,7.548511,
Buenos Aires,1970,8.41617,
Buenos Aires,1975,9.143219,
Buenos Aires,1980,9.919781,
Buenos Aires,1985,10.523442,
Buenos Aires,1990,11.147566,
Buenos Aires,1995,11.806407,
Buenos Aires,2000,12.503871,
Buenos Aires,2005,13.32954,
Buenos Aires,2010,14.245871,
Buenos Aires,2015,14.705533,
Buenos Aires,2020,,15.153729
Buenos Aires,2025,,15.752275
Buenos Aires,2030,,16.456115
Buenos Aires,2035,,17.127741
Cairo,1950,2.493514,
Cairo,1955,3.029198,
Cairo,1960,3.68016,
Cairo,1965,4.737968,
Cairo,1970,5.584507,
Cairo,1975,6.449922,
Cairo,1980,7.348778,
Cairo,1985,8.328255,
Cairo,1990,9.892143,
Cairo,1995,11.961986,
Cairo,2000,13.625565,
Cairo,2005,15.17405,
Cairo,2010,16.899015,
Cairo,2015,18.820072,
Cairo,2020,,20.900604
Cairo,2025,,23.074225
Cairo,2030,,25.516696
Cairo,2035,,28.504351
Chongqing,1950,1.566966,
Chongqing,1955,1.913248,
Chongqing,1960,2.275158,
Chongqing,1965,2.188064,
Chongqing,1970,2.237344,
Chongqing,1975,2.544566,
Chongqing,1980,2.9614,
Chongqing,1985,3.44623,
Chongqing,1990,4.010602,
Chongqing,1995,5.615367,
Chongqing,2000,7.862976,
Chongqing,2005,9.454076,
Chongqing,2010,11.243667,
Chongqing,2015,13.372015,
Chongqing,2020,,15.872179
Chongqing,2025,,18.171198
Chongqing,2030,,19.649097
Chongqing,2035,,20.531266
Delhi,1950,1.369369,
Delhi,1955,1.781624,
Delhi,1960,2.282962,
Delhi,1965,2.845042,
Delhi,1970,3.530693,
Delhi,1975,4.436385,
Delhi,1980,5.587014,
Delhi,1985,7.225758,
Delhi,1990,9.384209,
Delhi,1995,12.138233,
Delhi,2000,15.691899,
Delhi,2005,18.69133,
Delhi,2010,21.987895,
Delhi,2015,25.865875,
Delhi,2020,,30.290936
Delhi,2025,,34.665569
Delhi,2030,,38.938697
Delhi,2035,,43.345059
Dhaka,1950,0.33576,
Dhaka,1955,0.408866,
Dhaka,1960,0.507921,
Dhaka,1965,0.82074,
Dhaka,1970,1.373718,
Dhaka,1975,2.221055,
Dhaka,1980,3.265663,
Dhaka,1985,4.660384,
Dhaka,1990,6.620697,
Dhaka,1995,8.332474,
Dhaka,2000,10.284947,
Dhaka,2005,12.330879,
Dhaka,2010,14.730537,
Dhaka,2015,17.597177,
Dhaka,2020,,21.00586
Dhaka,2025,,24.652864
Dhaka,2030,,28.07566
Dhaka,2035,,31.233651
Guangzhou,1950,1.048975,
Guangzhou,1955,1.155063,
Guangzhou,1960,1.271914,
Guangzhou,1965,1.400511,
Guangzhou,1970,1.542151,
Guangzhou,1975,1.698116,
Guangzhou,1980,1.869905,
Guangzhou,1985,2.355566,
Guangzhou,1990,3.245991,
Guangzhou,1995,5.035339,
Guangzhou,2000,7.812008,
Guangzhou,2005,9.055056,
Guangzhou,2010,10.278197,
Guangzhou,2015,11.694882,
Guangzhou,2020,,13.301532
Guangzhou,2025,,14.878691
Guangzhou,2030,,16.024165
Guangzhou,2035,,16.740973
Istanbul,1950,0.967497,
Istanbul,1955,1.248709,
Istanbul,1960,1.453353,
Istanbul,1965,2.001192,
Istanbul,1970,2.772095,
Istanbul,1975,3.600332,
Istanbul,1980,4.397037,
Istanbul,1985,5.407297,
Istanbul,1990,6.55216,
Istanbul,1995,7.665403,
Istanbul,2000,8.743868,
Istanbul,2005,10.465694,
Istanbul,2010,12.584885,
Istanbul,2015,14.126772,
Istanbul,2020,,15.190336
Istanbul,2025,,16.236703
Istanbul,2030,,17.12424
Istanbul,2035,,17.986297
Jakarta,1950,1.452,
Jakarta,1955,1.972106,
Jakarta,1960,2.67874,
Jakarta,1965,3.296964,
Jakarta,1970,3.915406,
Jakarta,1975,4.813132,
Jakarta,1980,5.984256,
Jakarta,1985,7.00903,
Jakarta,1990,8.174756,
Jakarta,1995,8.321858,
Jakarta,2000,8.389759,
Jakarta,2005,8.988406,
Jakarta,2010,9.625579,
Jakarta,2015,10.173388,
Jakarta,2020,,10.770487
Jakarta,2025,,11.634078
Jakarta,2030,,12.686756
Jakarta,2035,,13.688321
Karachi,1950,1.05538,
Karachi,1955,1.419491,
Karachi,1960,1.853325,
Karachi,1965,2.405037,
Karachi,1970,3.118723,
Karachi,1975,3.989191,
Karachi,1980,5.047815,
Karachi,1985,6.032582,
Karachi,1990,7.147064,
Karachi,1995,8.467439,
Karachi,2000,9.825295,
Karachi,2005,11.131559,
Karachi,2010,12.611924,
Karachi,2015,14.28916,
Karachi,2020,,16.093786
Karachi,2025,,18.076794
Karachi,2030,,20.431848
Karachi,2035,,23.128137
Kinshasa,1950,0.201905,
Kinshasa,1955,0.292398,
Kinshasa,1960,0.442853,
Kinshasa,1965,0.717018,
Kinshasa,1970,1.069714,
Kinshasa,1975,1.48182,
Kinshasa,1980,2.052874,
Kinshasa,1985,2.811896,
Kinshasa,1990,3.683274,
Kinshasa,1995,4.824684,
Kinshasa,2000,6.140419,
Kinshasa,2005,7.589069,
Kinshasa,2010,9.381673,
Kinshasa,2015,11.597706,
Kinshasa,2020,,14.342439
Kinshasa,2025,,17.778474
Kinshasa,2030,,21.914342
Kinshasa,2035,,26.681825
Kolkata,1950,4.604143,
Kolkata,1955,5.219086,
Kolkata,1960,5.91021,
Kolkata,1965,6.589384,
Kolkata,1970,7.329372,
Kolkata,1975,8.165629,
Kolkata,1980,9.100166,
Kolkata,1985,10.003665,
Kolkata,1990,10.974177,
Kolkata,1995,11.992194,
Kolkata,2000,13.097153,
Kolkata,2005,13.595152,
Kolkata,2010,14.002798,
Kolkata,2015,14.42267,
Kolkata,2020,,14.850066
Kolkata,2025,,15.845219
Kolkata,2030,,17.583604
Kolkata,2035,,19.56417
Lagos,1950,0.325218,
Lagos,1955,0.46846,
Lagos,1960,0.762418,
Lagos,1965,1.135439,
Lagos,1970,1.413528,
Lagos,1975,1.889802,
Lagos,1980,2.572218,
Lagos,1985,3.500464,
Lagos,1990,4.764093,
Lagos,1995,5.98268,
Lagos,2000,7.280706,
Lagos,2005,8.859399,
Lagos,2010,10.441182,
Lagos,2015,12.239206,
Lagos,2020,,14.368332
Lagos,2025,,17.156393
Lagos,2030,,20.600156
Lagos,2035,,24.418768
Lahore,1950,0.835769,
Lahore,1955,1.021679,
Lahore,1960,1.264277,
Lahore,1965,1.574981,
Lahore,1970,1.963951,
Lahore,1975,2.398576,
Lahore,1980,2.881596,
Lahore,1985,3.387873,
Lahore,1990,3.970161,
Lahore,1995,4.652529,
Lahore,2000,5.576372,
Lahore,2005,6.856969,
Lahore,2010,8.432132,
Lahore,2015,10.369137,
Lahore,2020,,12.642423
Lahore,2025,,14.825828
Lahore,2030,,16.883085
Lahore,2035,,19.116605
Los Angeles,1950,4.045514,
Los Angeles,1955,5.154301,
Los Angeles,1960,6.529638,
Los Angeles,1965,7.407634,
Los Angeles,1970,8.377685,
Los Angeles,1975,8.925518,
Los Angeles,1980,9.511568,
Los Angeles,1985,10.181172,
Los Angeles,1990,10.883429,
Los Angeles,1995,11.33889,
Los Angeles,2000,11.798345,
Los Angeles,2005,11.977857,
Los Angeles,2010,12.160151,
Los Angeles,2015,12.345219,
Los Angeles,2020,,12.446597
Los Angeles,2025,,12.677559
Los Angeles,2030,,13.209244
Los Angeles,2035,,13.778153
Manila,1950,1.543666,
Manila,1955,1.871605,
Manila,1960,2.273734,
Manila,1965,2.828883,
Manila,1970,3.534309,
Manila,1975,4.999303,
Manila,1980,5.954719,
Manila,1985,6.88792,
Manila,1990,7.972799,
Manila,1995,9.401255,
Manila,2000,9.957962,
Manila,2005,10.750752,
Manila,2010,11.887189,
Manila,2015,12.860058,
Manila,2020,,13.923452
Manila,2025,,15.230559
Manila,2030,,16.84134
Manila,2035,,18.649422
Mexico City,1950,3.365081,
Mexico City,1955,4.293878,
Mexico City,1960,5.479184,
Mexico City,1965,6.969157,
Mexico City,1970,8.830947,
Mexico City,1975,10.73386,
Mexico City,1980,13.02762,
Mexico City,1985,14.278216,
Mexico City,1990,15.642318,
Mexico City,1995,17.017469,
Mexico City,2000,18.457027,
Mexico City,2005,19.276065,
Mexico City,2010,20.136681,
Mexico City,2015,21.339781,
Mexico City,2020,,21.782378
Mexico City,2025,,22.752414
Mexico City,2030,,24.110599
Mexico City,2035,,25.414624
Moscow,1950,5.356392,
Moscow,1955,5.748746,
Moscow,1960,6.169961,
Moscow,1965,6.62178,
Moscow,1970,7.106457,
Moscow,1975,7.622703,
Moscow,1980,8.136141,
Moscow,1985,8.57992,
Moscow,1990,8.986631,
Moscow,1995,9.200994,
Moscow,2000,10.004523,
Moscow,2005,10.751428,
Moscow,2010,11.461264,
Moscow,2015,12.049135,
Moscow,2020,,12.537954
Moscow,2025,,12.737356
Moscow,2030,,12.795712
Moscow,2035,,12.822748
Mumbai,1950,3.088811,
Mumbai,1955,3.72621,
Mumbai,1960,4.414904,
Mumbai,1965,5.3143,
Mumbai,1970,6.412876,
Mumbai,1975,7.685346,
Mumbai,1980,9.199543,
Mumbai,1985,10.68553,
Mumbai,1990,12.35509,
Mumbai,1995,14.135363,
Mumbai,2000,16.146527,
Mumbai,2005,17.257072,
Mumbai,2010,18.257413,
Mumbai,2015,19.315737,
Mumbai,2020,,20.411274
Mumbai,2025,,22.088953
Mumbai,2030,,24.57245
Mumbai,2035,,27.342819
New York,1950,12.338471,
New York,1955,13.219362,
New York,1960,14.163521,
New York,1965,15.176758,
New York,1970,16.19118,
New York,1975,15.880271,
New York,1980,15.601401,
New York,1985,15.826788,
New York,1990,16.085599,
New York,1995,16.94277,
New York,2000,17.813371,
New York,2005,18.087174,
New York,2010,18.365262,
New York,2015,18.647626,
New York,2020,,18.803552
New York,2025,,19.154024
New York,2030,,19.957605
New York,2035,,20.81717
Osaka,1950,7.005284,
Osaka,1955,8.622976,
Osaka,1960,10.614841,
Osaka,1965,13.065322,
Osaka,1970,15.27151,
Osaka,1975,16.298124,
Osaka,1980,17.027547,
Osaka,1985,17.582632,
Osaka,1990,18.388783,
Osaka,1995,18.939588,
Osaka,2000,18.660022,
Osaka,2005,18.762099,
Osaka,2010,19.312646,
Osaka,2015,19.304722,
Osaka,2020,,19.16534
Osaka,2025,,18.921632
Osaka,2030,,18.658055
Osaka,2035,,18.345611
Paris,1950,6.283018,
Paris,1955,6.796437,
Paris,1960,7.410735,
Paris,1965,7.855185,
Paris,1970,8.208121,
Paris,1975,8.557844,
Paris,1980,8.669349,
Paris,1985,8.956222,
Paris,1990,9.330327,
Paris,1995,9.510103,
Paris,2000,9.736538,
Paris,2005,10.091795,
Paris,2010,10.460118,
Paris,2015,10.733502,
Paris,2020,,11.01723
Paris,2025,,11.346802
Paris,2030,,11.709788
Paris,2035,,12.064575
Rio de Janeiro,1950,3.026195,
Rio de Janeiro,1955,3.687344,
Rio de Janeiro,1960,4.493182,
Rio de Janeiro,1965,5.522674,
Rio de Janeiro,1970,6.790519,
Rio de Janeiro,1975,7.733429,
Rio de Janeiro,1980,8.78387,
Rio de Janeiro,1985,9.241709,
Rio de Janeiro,1990,9.697487,
Rio de Janeiro,1995,10.431518,
Rio de Janeiro,2000,11.306768,
Rio de Janeiro,2005,11.831807,
Rio de Janeiro,2010,12.373884,
Rio de Janeiro,2015,12.940796,
Rio de Janeiro,2020,,13.458075
Rio de Janeiro,2025,,13.923245
Rio de Janeiro,2030,,14.408259
Rio de Janeiro,2035,,14.81018
Sao Paulo,1950,2.334038,
Sao Paulo,1955,3.043828,
Sao Paulo,1960,3.969759,
Sao Paulo,1965,5.49415,
Sao Paulo,1970,7.62049,
Sao Paulo,1975,9.614016,
Sao Paulo,1980,12.089454,
Sao Paulo,1985,13.394815,
Sao Paulo,1990,14.77584,
Sao Paulo,1995,15.913473,
Sao Paulo,2000,17.014078,
Sao Paulo,2005,18.288134,
Sao Paulo,2010,19.659808,
Sao Paulo,2015,20.883046,
Sao Paulo,2020,,22.043028
Sao Paulo,2025,,22.990007
Sao Paulo,2030,,23.824223
Sao Paulo,2035,,24.490136
Shanghai,1950,4.288091,
Shanghai,1955,5.712858,
Shanghai,1960,6.865312,
Shanghai,1965,6.428131,
Shanghai,1970,6.052468,
Shanghai,1975,5.658129,
Shanghai,1980,5.927898,
Shanghai,1985,7.09628,
Shanghai,1990,8.605812,
Shanghai,1995,11.072063,
Shanghai,2000,14.246541,
Shanghai,2005,17.055788,
Shanghai,2010,20.314309,
Shanghai,2015,23.482181,
Shanghai,2020,,27.058479
Shanghai,2025,,30.48214
Shanghai,2030,,32.869265
Shanghai,2035,,34.341242
Shenzhen,1950,0.003148,
Shenzhen,1955,0.005112,
Shenzhen,1960,0.008302,
Shenzhen,1965,0.01348,
Shenzhen,1970,0.02189,
Shenzhen,1975,0.035547,
Shenzhen,1980,0.058983,
Shenzhen,1985,0.193113,
Shenzhen,1990,0.875,
Shenzhen,1995,2.393747,
Shenzhen,2000,6.550414,
Shenzhen,2005,8.409066,
Shenzhen,2010,10.222916,
Shenzhen,2015,11.275391,
Shenzhen,2020,,12.35682
Shenzhen,2025,,13.545445
Shenzhen,2030,,14.537252
Shenzhen,2035,,15.185481
Tianjin,1950,2.467096,
Tianjin,1955,2.760676,
Tianjin,1960,2.935185,
Tianjin,1965,3.12062,
Tianjin,1970,3.317826,
Tianjin,1975,3.527495,
Tianjin,1980,3.750476,
Tianjin,1985,4.097324,
Tianjin,1990,4.558206,
Tianjin,1995,5.643951,
Tianjin,2000,6.988727,
Tianjin,2005,8.430065,
Tianjin,2010,10.150076,
Tianjin,2015,12.516041,
Tianjin,2020,,13.589078
Tianjin,2025,,14.70408
Tianjin,2030,,15.74524
Tianjin,2035,,16.445898
Tokyo,1950,11.274641,
Tokyo,1955,13.712679,
Tokyo,1960,16.678821,
Tokyo,1965,20.284371,
Tokyo,1970,23.297503,
Tokyo,1975,26.614733,
Tokyo,1980,28.548512,
Tokyo,1985,30.303794,
Tokyo,1990,32.530003,
Tokyo,1995,33.586573,
Tokyo,2000,34.449908,
Tokyo,2005,35.621544,
Tokyo,2010,36.859626,
Tokyo,2015,37.256109,
Tokyo,2020,,37.393129
Tokyo,2025,,37.036204
Tokyo,2030,,36.573799
Tokyo,2035,,36.01403
