Entity,Year,age-standardized_death_rate_per_100k_both_sexes,age-standardized_death_rate_per_100k_female,age-standardized_death_rate_per_100k_male,crude_death_rate_per_100k_both_sexes,crude_death_rate_per_100k_female,crude_death_rate_per_100k_male
Albania,1987,21.17,5.95,38.99,14.34,4.49,23.61
Albania,1988,23.05,6.97,41.27,15.71,5.19,25.62
Albania,1989,19.31,4.42,36.56,13.13,3.3,22.4
Albania,1992,16.94,5.68,29.7,12.6,4.44,20.83
Albania,1993,15.85,5.41,27.44,12.12,4.37,20.05
Albania,1994,14.0,5.54,23.65,11.06,4.64,17.59
Albania,1995,20.26,6.23,36.64,16.13,5.24,27.24
Albania,1996,22.52,8.27,39.12,18.0,6.93,29.31
Albania,1997,22.97,8.13,40.96,18.68,6.96,30.88
Albania,1998,22.82,8.48,39.86,18.21,7.04,29.76
Albania,1999,23.07,8.4,40.81,18.14,7.01,29.6
Albania,2000,23.08,8.5,39.09,19.04,7.42,30.15
Albania,2001,18.06,6.68,30.61,16.62,6.43,26.85
Albania,2002,21.0,9.25,34.0,19.36,8.92,29.85
Albania,2003,22.27,9.51,36.8,20.98,9.25,32.78
Albania,2004,19.89,8.95,32.13,19.35,8.99,29.77
Albania,2005,17.12,6.38,28.65,18.03,6.89,29.21
Albania,2006,17.37,7.28,28.07,18.95,8.14,29.78
Albania,2007,15.27,5.45,25.83,17.34,6.39,28.31
Albania,2008,17.81,6.55,29.83,20.93,7.93,33.95
Albania,2009,16.92,6.85,27.84,20.77,8.74,32.8
Albania,2010,9.56,0.51,19.26,12.08,0.69,23.46
Antigua and Barbuda,1961,2.39,0.0,5.18,3.57,0.0,7.66
Antigua and Barbuda,1962,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1963,14.78,17.43,14.92,8.2,6.15,10.53
Antigua and Barbuda,1964,7.9,0.0,19.19,1.67,0.0,3.57
Antigua and Barbuda,1966,7.94,7.71,11.05,5.0,6.25,3.57
Antigua and Barbuda,1969,7.45,3.72,14.89,4.76,2.98,6.8
Antigua and Barbuda,1970,10.23,0.0,23.33,4.67,0.0,9.79
Antigua and Barbuda,1971,23.95,41.62,31.78,12.43,5.95,19.51
Antigua and Barbuda,1972,11.92,4.12,25.96,7.8,2.99,13.04
Antigua and Barbuda,1973,4.8,7.46,1.96,3.14,3.01,3.28
Antigua and Barbuda,1974,4.62,4.1,4.25,3.17,3.04,3.31
Antigua and Barbuda,1975,6.96,3.57,13.27,4.79,3.06,6.66
Antigua and Barbuda,1976,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1977,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1978,4.4,3.8,4.98,3.22,3.1,3.36
Antigua and Barbuda,1983,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1985,3.74,3.19,4.28,3.24,3.13,3.35
Antigua and Barbuda,1986,5.95,0.0,12.72,4.86,0.0,10.05
Antigua and Barbuda,1987,3.84,0.0,8.29,3.24,0.0,6.69
Antigua and Barbuda,1988,16.28,15.99,18.14,11.33,9.43,13.36
Antigua and Barbuda,1989,5.13,3.22,7.47,4.84,3.13,6.65
Antigua and Barbuda,1990,13.7,3.75,25.01,12.79,3.1,23.09
Antigua and Barbuda,1991,4.77,3.86,5.42,3.16,3.06,3.26
Antigua and Barbuda,1992,16.69,11.28,24.36,13.96,9.0,19.28
