Entity,Year,Child Labor (Long (1958))
"Both sexes, all",1890,11.65964912
"Both sexes, all",1900,12.02615385
"Both sexes, all",1910,6.555555556
"Both sexes, all",1920,4.365116279
"Both sexes, all",1930,2.462886598
"Both sexes, rural",1890,13.27948718
"Both sexes, rural",1900,13.44651163
"Both sexes, rural",1910,9.2
"Both sexes, rural",1920,6.95
"Both sexes, rural",1930,4.532653061
"Both sexes, urban",1890,8.15
"Both sexes, urban",1900,9.25
"Both sexes, urban",1910,2.4
"Both sexes, urban",1920,1.1
"Both sexes, urban",1930,0.35
"Boys, all",1890,17.71034483
"Boys, all",1900,17.76666667
"Boys, all",1910,9.172222222
"Boys, all",1920,5.874418605
"Boys, all",1930,3.357142857
"Boys, rural",1890,20.1
"Boys, rural",1900,19.6
"Boys, rural",1910,13.1
"Boys, rural",1920,9.1
"Boys, rural",1930,6.1
"Boys, urban",1890,12.4
"Boys, urban",1900,14.1
"Boys, urban",1910,3
"Boys, urban",1920,1.8
"Boys, urban",1930,0.5
"Girls, all",1890,5.392857143
"Girls, all",1900,6.10625
"Girls, all",1910,3.938888889
"Girls, all",1920,2.855813953
"Girls, all",1930,1.55
"Girls, rural",1890,6.1
"Girls, rural",1900,7
"Girls, rural",1910,5.3
"Girls, rural",1920,4.8
"Girls, rural",1930,2.9
"Girls, urban",1890,3.9
"Girls, urban",1900,4.4
"Girls, urban",1910,1.8
"Girls, urban",1920,0.4
"Girls, urban",1930,0.2
