Entity,Year,Oil production (The Shift Project Data Portal (2014)),Other Renewables (The Shift Project Data Portal (2014))
Africa,1900,-,-
Africa,1901,-,-
Africa,1902,-,-
Africa,1903,-,-
Africa,1904,-,-
Africa,1905,-,-
Africa,1906,-,-
Africa,1907,-,-
Africa,1908,-,-
Africa,1909,-,-
Africa,1910,-,-
Africa,1911,0.003,-
Africa,1912,0.028,-
Africa,1913,0.013,-
Africa,1914,0.1,-
Africa,1915,0.03,-
Africa,1916,0.059,-
Africa,1917,0.138,-
Africa,1918,0.283,-
Africa,1919,0.225,-
Africa,1920,0.149,-
Africa,1921,0.183,-
Africa,1922,0.174,-
Africa,1923,0.154,-
Africa,1924,0.165,-
Africa,1925,0.182,-
Africa,1926,0.174,-
Africa,1927,0.186,-
Africa,1928,0.269,-
Africa,1929,0.275,-
Africa,1930,0.287,-
Africa,1931,0.29,-
Africa,1932,0.272,-
Africa,1933,0.24,-
Africa,1934,0.222,-
Africa,1935,0.182,-
Africa,1936,0.183,-
Africa,1937,0.174,-
Africa,1938,0.229,-
Africa,1939,0.671,-
Africa,1940,0.934,-
Africa,1941,1.227,-
Africa,1942,1.187,-
Africa,1943,1.29,-
Africa,1944,1.358,-
Africa,1945,1.353,-
Africa,1946,1.285,-
Africa,1947,1.337,-
Africa,1948,1.894,-
Africa,1949,2.306,-
Africa,1950,2.649,-
Africa,1951,2.415,-
Africa,1952,2.499,-
Africa,1953,2.539,-
Africa,1954,2.161,-
Africa,1955,1.978,-
Africa,1956,1.868,-
Africa,1957,2.677,-
Africa,1958,4.499,-
Africa,1959,5.819,-
Africa,1960,13.799,-
Africa,1961,23.647,-
Africa,1962,38.845,-
Africa,1963,57.216,-
Africa,1964,82.352,-
Africa,1965,106.97,-
Africa,1966,136.376,-
Africa,1967,152.17,-
Africa,1968,194.779,-
Africa,1969,247.311,-
Africa,1970,297.828,-
Africa,1971,283.237,-
Africa,1972,283.838,-
Africa,1973,293.322,-
Africa,1974,269.55,-
Africa,1975,249.598,-
Africa,1976,289.741,-
Africa,1977,306.064,-
Africa,1978,298.5,-
Africa,1979,329.35,-
Africa,1980,315.7756944,0.029018048
Africa,1981,247.7944444,0.032689587
Africa,1982,247.4902778,0.040753214
Africa,1983,249.4805417,0.057595861
Africa,1984,271.1645833,0.055678406
Africa,1985,283.8316549,0.064595001
Africa,1986,280.210939,0.067836618
Africa,1987,278.9139886,0.068756652
Africa,1988,296.1038805,0.065119507
Africa,1989,317.0352187,0.065605319
Africa,1990,340.5834472,0.11665863
Africa,1991,352.681653,0.115110908
Africa,1992,358.5062642,0.113563187
Africa,1993,356.7570762,0.096840926
Africa,1994,356.8328938,0.088586411
Africa,1995,370.9525554,0.099858982
Africa,1996,381.2606324,0.11387446
Africa,1997,395.9206967,0.122049867
Africa,1998,394.3276922,0.142428198
Africa,1999,388.466978,0.160822009
Africa,2000,395.554296,0.21825967
Africa,2001,396.2901527,0.245869301
Africa,2002,400.2332797,0.23520722
Africa,2003,422.4779796,0.283616506
Africa,2004,455.0625627,0.329644021
Africa,2005,493.8287692,0.329987959
Africa,2006,497.7482507,0.399203779
Africa,2007,508.1476593,0.37726225
Africa,2008,513.2071935,0.416815517
Africa,2009,505.6954099,0.471711862
Africa,2010,516.4966825,0.576697738
Africa,2011,447.0781573,0.607103244
Africa,2012,497.3624376,0.579351739
Africa,2013,459.0319565,0.677167492
Africa,2014,428.55942,0.735461229
Asia and Oceania,1900,0.569,-
Asia and Oceania,1901,0.89,-
Asia and Oceania,1902,0.709,-
Asia and Oceania,1903,1.257,-
Asia and Oceania,1904,1.534,-
Asia and Oceania,1905,1.81,-
Asia and Oceania,1906,1.894,-
Asia and Oceania,1907,2.225,-
Asia and Oceania,1908,2.369,-
Asia and Oceania,1909,2.682,-
Asia and Oceania,1910,2.598,-
Asia and Oceania,1911,2.811,-
Asia and Oceania,1912,2.708,-
Asia and Oceania,1913,2.876,-
Asia and Oceania,1914,2.973,-
Asia and Oceania,1915,3.16,-
