Entity,Year,Prevalence of vitamin-A deficiency (WHO (2017)),Prevalence of night blindness (WHO (2017))
Afghanistan,2005,64.5,0.8
Africa,2005,41.6,2.1
Albania,2005,18.6,0.6
Algeria,2005,15.7,0.5
Angola,2005,64.3,1.4
Antigua and Barbuda,2005,7.4,0.4
Argentina,2005,14.3,0.7
Armenia,2005,0.6,2.9
Asia,2005,33.5,0.5
Azerbaijan,2005,32.1,1.3
Bangladesh,2005,21.7,0
Barbados,2005,6.5,0.7
Belarus,2005,17.4,0.6
Belize,2005,11.7,0.5
Benin,2005,70.7,0.9
Bhutan,2005,22,0.5
Bolivia,2005,21.8,1
Bosnia and Herzegovina,2005,13.2,0.5
Botswana,2005,26.1,1.3
Brazil,2005,13.3,0.7
Bulgaria,2005,18.3,0.6
Burkina Faso,2005,54.3,1.5
Burundi,2005,27.9,1.3
Cambodia,2005,22.3,0.7
Cameroon,2005,38.8,1.7
Cape Verde,2005,2,0
Central African Republic,2005,68.2,1.2
Chad,2005,50.1,1.2
Chile,2005,7.9,0.6
China,2005,9.3,0.1
Colombia,2005,5.9,0.6
Comoros,2005,21.5,0.5
Congo,2005,24.6,0.6
Cook Islands,2005,10.4,0.5
Costa Rica,2005,8.8,0.5
Cote d'Ivoire,2005,57.3,1.5
Croatia,2005,9.2,0.5
Cuba,2005,3.6,0.6
Czech Republic,2005,5.8,0.6
Democratic Republic of Congo,2005,61.1,1.9
Djibouti,2005,35.2,0.9
Dominica,2005,4.2,0.4
Dominican Republic,2005,13.7,0.6
Ecuador,2005,14.7,0.6
Egypt,2005,11.9,0.1
El Salvador,2005,14.6,0.5
Equatorial Guinea,2005,13.9,1.9
Eritrea,2005,21.4,0.5
Estonia,2005,8.7,0.7
Ethiopia,2005,46.1,4.9
Europe,2005,14.9,0.7
Fiji,2005,13.6,0.6
Gabon,2005,16.9,0.9
Gambia,2005,64,0
Georgia,2005,30.9,0.8
Ghana,2005,75.8,0.4
Grenada,2005,14.1,0.6
Guatemala,2005,15.8,0.5
Guinea,2005,45.8,0.8
Guinea-Bissau,2005,54.7,1.4
Guyana,2005,4.1,1.1
Haiti,2005,32,0.7
Honduras,2005,13.8,0.5
Hungary,2005,7,0.6
India,2005,62,0.6
Indonesia,2005,19.6,0.6
Iran,2005,0.5,0.5
Iraq,2005,29.8,0.7
Jamaica,2005,29.4,0.5
Jordan,2005,15.1,0.6
Kazakhstan,2005,27.1,1.2
Kenya,2005,84.4,1.4
Kiribati,2005,21.8,0.9
Kyrgyzstan,2005,26.3,1.1
Laos,2005,44.7,3.1
Latin America and the Caribbean,2005,15.6,0.6
Latvia,2005,13,0.7
Lebanon,2005,11,0.6
Lesotho,2005,32.7,0.9
Liberia,2005,52.9,2.6
Libya,2005,9,0.6
Lithuania,2005,11.1,0.6
Macedonia,2005,29.7,0.9
Madagascar,2005,42.1,1.7
Malawi,2005,59.2,2.1
Malaysia,2005,3.5,0.5
Maldives,2005,9.4,1.2
Mali,2005,58.6,1.7
Malta,2005,4,0.5
Marshall Islands,2005,60.7,8.5
Mauritania,2005,47.7,1.2
Mauritius,2005,9.2,0.5
Mexico,2005,26.8,0.6
Micronesia (country),2005,54.2,0.5
Moldova,2005,25.6,0.7
Mongolia,2005,19.8,0.5
Montenegro,2005,17.2,0.6
Morocco,2005,40.4,0.1
Mozambique,2005,68.8,1
Myanmar,2005,36.7,1.1
Namibia,2005,17.5,0.8
Nauru,2005,10,0.6
Nepal,2005,32.3,0.3
Nicaragua,2005,3.1,0.5
Niger,2005,67,2.1
Nigeria,2005,29.5,2.2
Niue,2005,15.5,0.6
North America,2005,0,0
North Korea,2005,27.5,0.3
Oceania,2005,12.6,0.5
Oman,2005,5.5,0.4
Pakistan,2005,12.5,0.5
Palau,2005,8.9,0.6
Panama,2005,9.4,0.6
Papua New Guinea,2005,11.1,0.5
Paraguay,2005,14.1,0.6
Peru,2005,14.9,0.7
Philippines,2005,40.1,0.7
Poland,2005,9.3,0.6
Romania,2005,16.2,0.6
Russia,2005,14.1,0.7
Rwanda,2005,6.4,2.6
Saint Kitts and Nevis,2005,7.1,0.8
Saint Lucia,2005,11.3,0.6
Saint Vincent and the Grenadines,2005,2.1,0.5
Samoa,2005,16.1,0.6
Sao Tome and Principe,2005,95.6,1.4
Saudi Arabia,2005,3.6,0.4
Senegal,2005,37,0.7
Serbia,2005,17.2,0.6
Seychelles,2005,8,0.6
Sierra Leone,2005,74.8,3.4
Slovakia,2005,8.3,0.6
Solomon Islands,2005,13.1,0.4
Somalia,2005,61.7,2.3
South Africa,2005,16.9,0.9
Sri Lanka,2005,35.3,0.8
Sudan,2005,27.8,8.5
Suriname,2005,18,0.7
Swaziland,2005,44.6,1.9
Syria,2005,12.1,0.4
Tajikistan,2005,26.8,1.9
Tanzania,2005,24.2,1.6
Thailand,2005,15.7,0.6
Timor,2005,45.8,1.1
Togo,2005,35,1.2
Tonga,2005,17,0.7
Trinidad and Tobago,2005,7.2,0.6
Tunisia,2005,14.6,0.4
Turkey,2005,12.4,0.6
Turkmenistan,2005,28,1.7
Tuvalu,2005,21.8,0.8
Uganda,2005,27.9,1.5
Ukraine,2005,23.8,0.7
Uruguay,2005,11.9,0.7
Uzbekistan,2005,53.1,1.1
Vanuatu,2005,16.1,0.2
Venezuela,2005,9.4,0.6
Vietnam,2005,12,0
World,2005,33.3,0.9
Yemen,2005,27,0.7
Zambia,2005,54.1,6.2
Zimbabwe,2005,35.8,0.3
