Entity,Year,Son preference in education (%) (WVS (2014))
Albania,1998,20.4617
Albania,2002,15.287958
Algeria,2002,28.456593
Algeria,2013,38.514679
Andorra,2005,1.6016016
Argentina,1995,19.219791
Argentina,1999,15.340909
Argentina,2006,14.196242
Argentina,2013,16.566265
Armenia,1997,42.340427
Armenia,2011,23.669725
Australia,1995,11.034142
Australia,2005,7.2805138
Australia,2012,4.5796309
Azerbaijan,1997,37.376881
Azerbaijan,2011,30.239521
Bahrain,2014,57.223797
Bangladesh,1996,40.565372
Bangladesh,2002,62.618084
Belarus,1996,41.32653
Belarus,2011,21.419186
Bosnia and Herzegovina,1998,23.65729
Bosnia and Herzegovina,2001,17.657045
Brazil,2006,11.445783
Brazil,2014,9.4005451
Bulgaria,1997,18.736616
Bulgaria,2005,11.285267
Burkina Faso,2007,34.749828
Canada,2000,5.4744525
Canada,2006,5.0162563
Chile,1996,23.67347
Chile,2000,30.52721
Chile,2006,28.556807
Chile,2011,20.872274
China,1995,23.756907
China,2001,9.4496365
China,2007,20.489471
China,2012,24.346172
Colombia,1998,11.304932
Colombia,2005,9.755291
Colombia,2012,10.830564
Croatia,1996,25.319693
Cyprus,2006,9.9236641
Cyprus,2011,14.473684
Czech Republic,1998,33.090908
Dominican Republic,1996,20.05571
Ecuador,2013,23.5196
Egypt,2001,31.008011
Egypt,2008,37.812088
Egypt,2013,38.21405
El Salvador,1999,14.019449
Estonia,1996,34.07708
Estonia,2011,16.768087
Ethiopia,2007,8.1190796
Finland,1996,14.255091
Finland,2005,6.87251
France,2006,6.927711
Georgia,1996,33.707291
Georgia,2009,24.088093
Georgia,2014,18.303946
Germany,1997,11.060375
Germany,2006,15.837104
Germany,2013,13.622902
Ghana,2007,21.914192
Ghana,2012,27.57732
Guatemala,2004,20.693171
Hong Kong,2005,22.312704
Hong Kong,2013,22.690763
Hungary,1998,20.125786
Hungary,2009,19.164118
India,1995,30.975348
India,2001,41.657009
India,2006,46.482262
India,2014,38.504823
Indonesia,2001,16.802444
Indonesia,2006,19.866871
Iran,2000,38.105175
Iran,2007,55.668549
Iraq,2004,46.098976
Iraq,2006,49.071209
Iraq,2012,31.570108
Italy,2005,8.0203047
Japan,1995,37.5
Japan,2000,22.989594
Japan,2005,23.843416
Japan,2010,22.39819
Jordan,2001,38.82935
Jordan,2007,37.130802
Jordan,2014,28.75
Kazakhstan,2011,21.200001
Kuwait,2014,37.608868
Kyrgyzstan,2003,27.509653
Kyrgyzstan,2011,41.082165
Latvia,1996,26.753246
Lebanon,2013,31.880342
Libya,2014,33.285645
Lithuania,1997,23.06011
Macedonia,1998,13.432836
Macedonia,2001,12.366115
Malaysia,2006,46.19883
Malaysia,2012,43
Mali,2007,49.590725
Mexico,1995,36.071888
Mexico,1996,29.333334
Mexico,2000,31.156462
Mexico,2005,24.966887
Mexico,2012,20.793571
Moldova,1996,31.914894
Moldova,2002,22.938688
Moldova,2006,16.908213
Montenegro,1996,25.345623
Montenegro,2001,23.888315
Morocco,2001,52.878654
Morocco,2007,29.668411
Morocco,2011,21.719038
Netherlands,2006,5.9165859
Netherlands,2012,4.8034935
New Zealand,1998,8.3259525
New Zealand,2004,5.1339288
New Zealand,2011,5.5970149
Nigeria,1995,35.894737
Nigeria,2000,43.708942
Nigeria,2011,42.296761
Norway,1996,10.991957
Norway,2007,3.7254901
Pakistan,1997,40.109142
Pakistan,2001,22.636555
Pakistan,2012,52.417961
Palestine,2013,26.969696
Peru,1996,28.48432
Peru,2001,20.491804
Peru,2006,12.61077
Peru,2012,14.592275
Philippines,1996,37.489468
Philippines,2001,37.080536
Philippines,2012,38.916668
Poland,1997,35.096642
Poland,2005,15.823466
Poland,2012,12.351029
Puerto Rico,1995,12.738301
Puerto Rico,2001,11.251758
Qatar,2010,27.452829
Romania,1998,32.290707
Romania,2005,19.277109
Romania,2012,21.257063
Russia,1995,34.412533
Russia,2006,28.797955
Russia,2011,23.423044
Rwanda,2007,29.407665
Rwanda,2012,36.149311
Saudi Arabia,2003,61.921215
Serbia,1996,27.257664
Serbia,2001,20.751341
Serbia and Montenegro,2005,13.655641
Singapore,2002,15.119364
Singapore,2012,25.30426
Slovakia,1998,37.451736
Slovenia,1995,23.243801
Slovenia,2005,11.122145
Slovenia,2011,8.3820667
South Africa,1996,17.353045
South Africa,2001,17.143831
South Africa,2006,19.965929
South Africa,2013,38.401615
South Korea,1996,37.188755
South Korea,2001,23.817863
South Korea,2005,25.25
South Korea,2010,22.436975
Spain,1995,16.5529
Spain,2000,11.820535
Spain,2007,13.292789
Spain,2011,11.709402
Sweden,1996,9.1003103
Sweden,2006,1.1055276
Sweden,2011,2.5963149
Switzerland,2007,8.8163261
Taiwan,1994,23.936171
Taiwan,2006,14.763458
Taiwan,2012,13.395114
Tanzania,2001,15.605928
Thailand,2007,27.606558
Thailand,2013,29.156223
