Entity,Year,"Child mortality 1950-2017 (IHME, 2018)"
Afghanistan,1950,278.38
Afghanistan,1955,265.58
Afghanistan,1960,254.43
Afghanistan,1965,243.63
Afghanistan,1970,232.78
Afghanistan,1975,223.17
Afghanistan,1980,216.38
Afghanistan,1985,199.12
Afghanistan,1990,147.62
Afghanistan,1995,134.7
Afghanistan,2000,119.8
Afghanistan,2005,97.28
Afghanistan,2010,74.67
Afghanistan,2017,55.77
Albania,1950,239.12
Albania,1955,208.04
Albania,1960,158.91
Albania,1965,128.68
Albania,1970,100.03
Albania,1975,76.54
Albania,1980,60.76
Albania,1985,53.94
Albania,1990,44.91
Albania,1995,38.69
Albania,2000,30.24
Albania,2005,23.55
Albania,2010,17.88
Albania,2017,13.99
Algeria,1950,156.83
Algeria,1955,146.32
Algeria,1960,167.96
Algeria,1965,159.99
Algeria,1970,159.98
Algeria,1975,147.85
Algeria,1980,125.76
Algeria,1985,77.25
Algeria,1990,51.4
Algeria,1995,41.18
Algeria,2000,36.04
Algeria,2005,30.36
Algeria,2010,27.99
Algeria,2017,24.11
American Samoa,1950,93.05
American Samoa,1955,72.6
American Samoa,1960,58.59
American Samoa,1965,50.66
American Samoa,1970,41.08
American Samoa,1975,33.35
American Samoa,1980,25.25
American Samoa,1985,19.57
American Samoa,1990,18.99
American Samoa,1995,17.44
American Samoa,2000,16.48
American Samoa,2005,15.76
American Samoa,2010,13.44
American Samoa,2017,11.5
Andean Latin America,1950,337.93
Andean Latin America,1955,290.6
Andean Latin America,1960,262.81
Andean Latin America,1965,219.56
Andean Latin America,1970,199.09
Andean Latin America,1975,158.02
Andean Latin America,1980,134.62
Andean Latin America,1985,107.67
Andean Latin America,1990,80.39
Andean Latin America,1995,62.1
Andean Latin America,2000,47.65
Andean Latin America,2005,37.2
Andean Latin America,2010,29.01
Andean Latin America,2017,20.91
Andorra,1950,25.4
Andorra,1955,21.52
Andorra,1960,18.08
Andorra,1965,15.04
Andorra,1970,12.46
Andorra,1975,10.42
Andorra,1980,9.04
Andorra,1985,7.9
Andorra,1990,6.58
Andorra,1995,4.96
Andorra,2000,3.75
Andorra,2005,3.75
Andorra,2010,3.09
Andorra,2017,2.11
Angola,1950,301.46
Angola,1955,300.39
Angola,1960,289.1
Angola,1965,274.43
Angola,1970,258.91
Angola,1975,251.19
Angola,1980,250.74
Angola,1985,247.62
Angola,1990,238.42
Angola,1995,219.85
Angola,2000,190.58
Angola,2005,151.05
Angola,2010,106.74
Angola,2017,71.04
Antigua and Barbuda,1950,122.55
Antigua and Barbuda,1955,101.24
Antigua and Barbuda,1960,81.98
Antigua and Barbuda,1965,60.19
Antigua and Barbuda,1970,41.67
Antigua and Barbuda,1975,33.06
Antigua and Barbuda,1980,24.57
Antigua and Barbuda,1985,16.64
Antigua and Barbuda,1990,15.4
Antigua and Barbuda,1995,17.27
Antigua and Barbuda,2000,17.2
Antigua and Barbuda,2005,16.17
Antigua and Barbuda,2010,14.32
Antigua and Barbuda,2017,12.81
Argentina,1950,89
Argentina,1955,80.2
Argentina,1960,83.13
Argentina,1965,72.13
Argentina,1970,73.84
Argentina,1975,58.31
Argentina,1980,42.63
Argentina,1985,33.86
Argentina,1990,32.3
Argentina,1995,27.32
Argentina,2000,21.34
Argentina,2005,16.95
Argentina,2010,15.52
Argentina,2017,12.06
Armenia,1950,263.45
Armenia,1955,216.24
Armenia,1960,168.1
Armenia,1965,129.33
Armenia,1970,99.05
Armenia,1975,86.85
Armenia,1980,70.1
Armenia,1985,56.98
Armenia,1990,45.74
Armenia,1995,40.71
Armenia,2000,30.76
Armenia,2005,19.19
Armenia,2010,14.49
Armenia,2017,10.55
Australasia,1950,34.39
Australasia,1955,31.38
Australasia,1960,28.08
Australasia,1965,24.73
Australasia,1970,24.06
Australasia,1975,19.54
Australasia,1980,15.18
Australasia,1985,13.74
Australasia,1990,11.15
Australasia,1995,8.11
Australasia,2000,7.3
Australasia,2005,6.62
Australasia,2010,5.81
Australasia,2017,4.3
Australia,1950,33.48
Australia,1955,30.65
Australia,1960,27.34
Australia,1965,24.46
Australia,1970,24.37
Australia,1975,19.16
Australia,1980,14.55
Australia,1985,13.2
Australia,1990,10.59
Australia,1995,7.75
Australia,2000,7
Australia,2005,6.51
Australia,2010,5.47
Australia,2017,4.17
Austria,1950,85.47
Austria,1955,60.25
Austria,1960,49.13
Austria,1965,36.95
Austria,1970,32.58
Austria,1975,26.97
Austria,1980,19.4
Austria,1985,14.73
Austria,1990,10.61
Austria,1995,7.32
Austria,2000,6.33
Austria,2005,5.5
Austria,2010,5.11
Austria,2017,3.81
Azerbaijan,1950,369.57
Azerbaijan,1955,317.13
Azerbaijan,1960,251.55
Azerbaijan,1965,192.12
Azerbaijan,1970,143.47
Azerbaijan,1975,108.56
Azerbaijan,1980,97.31
Azerbaijan,1985,92.86
Azerbaijan,1990,83.64
Azerbaijan,1995,78.69
Azerbaijan,2000,69.78
Azerbaijan,2005,57.18
Azerbaijan,2010,45.34
Azerbaijan,2017,38.24
Bahamas,1950,144.45
Bahamas,1955,120.99
Bahamas,1960,99.87
Bahamas,1965,79.6
Bahamas,1970,56.38
Bahamas,1975,45.8
Bahamas,1980,37.94
Bahamas,1985,30.77
Bahamas,1990,24.5
Bahamas,1995,19.66
Bahamas,2000,16.45
Bahamas,2005,15.42
Bahamas,2010,14.66
Bahamas,2017,13.61
Bahrain,1950,264.95
Bahrain,1955,228.21
Bahrain,1960,178.77
Bahrain,1965,132.37
Bahrain,1970,89.96
Bahrain,1975,55.17
Bahrain,1980,32.25
Bahrain,1985,24.85
Bahrain,1990,23.4
Bahrain,1995,16.94
Bahrain,2000,12.15
Bahrain,2005,10.46
Bahrain,2010,8.37
Bahrain,2017,7.52
Bangladesh,1950,354.49
Bangladesh,1955,325.51
Bangladesh,1960,294.63
Bangladesh,1965,261.9
Bangladesh,1970,252.24
Bangladesh,1975,216.07
Bangladesh,1980,191.62
Bangladesh,1985,168.87
Bangladesh,1990,138.02
Bangladesh,1995,110.81
Bangladesh,2000,87.63
Bangladesh,2005,69.23
Bangladesh,2010,52.95
Bangladesh,2017,34.26
Barbados,1950,164.21
Barbados,1955,132.25
Barbados,1960,93.04
Barbados,1965,67.14
Barbados,1970,49.91
Barbados,1975,37.26
Barbados,1980,28.63
Barbados,1985,24.1
Barbados,1990,19.72
Barbados,1995,16.83
Barbados,2000,15.44
Barbados,2005,15.43
Barbados,2010,14.65
Barbados,2017,13.59
Belarus,1950,82.52
Belarus,1955,75.29
Belarus,1960,65.25
Belarus,1965,50.14
Belarus,1970,40.85
Belarus,1975,35.4
Belarus,1980,31.3
Belarus,1985,27.79
Belarus,1990,24.42
Belarus,1995,23.38
Belarus,2000,20.32
Belarus,2005,14.95
Belarus,2010,10.45
Belarus,2017,7.34
Belgium,1950,67.35
Belgium,1955,52.03
Belgium,1960,39.03
Belgium,1965,30.6
Belgium,1970,27.57
Belgium,1975,21.11
Belgium,1980,16.51
Belgium,1985,13.06
Belgium,1990,11.13
Belgium,1995,8.53
Belgium,2000,6.76
Belgium,2005,5.52
Belgium,2010,4.99
Belgium,2017,4.12
Belize,1950,203
Belize,1955,180.7
Belize,1960,146.22
Belize,1965,121.31
Belize,1970,102.33
Belize,1975,82.11
Belize,1980,66.55
Belize,1985,52.82
Belize,1990,42.16
Belize,1995,32.66
Belize,2000,30.69
Belize,2005,25.74
Belize,2010,22.94
Belize,2017,19.67
Benin,1950,343.02
Benin,1955,333.05
Benin,1960,323.84
Benin,1965,302.75
Benin,1970,282.24
Benin,1975,255.68
Benin,1980,230.54
Benin,1985,216.22
Benin,1990,191.72
Benin,1995,166.84
Benin,2000,147.97
Benin,2005,128.33
Benin,2010,114.25
Benin,2017,89.8
Bermuda,1950,74.45
Bermuda,1955,57.19
Bermuda,1960,46.75
Bermuda,1965,39.12
Bermuda,1970,30.04
Bermuda,1975,23.56
Bermuda,1980,18.59
Bermuda,1985,14.15
Bermuda,1990,11.52
Bermuda,1995,8.68
Bermuda,2000,6.34
Bermuda,2005,6.49
Bermuda,2010,6.22
Bermuda,2017,5.82
Bhutan,1950,420.52
Bhutan,1955,387.72
Bhutan,1960,349.69
Bhutan,1965,306.59
Bhutan,1970,262.76
Bhutan,1975,230.98
Bhutan,1980,203.6
Bhutan,1985,167.75
Bhutan,1990,131.78
Bhutan,1995,104.51
Bhutan,2000,83.25
Bhutan,2005,63.15
Bhutan,2010,46.75
Bhutan,2017,30.07
Bolivia,1950,355.75
Bolivia,1955,322.45
Bolivia,1960,302.36
Bolivia,1965,273.52
Bolivia,1970,237.64
Bolivia,1975,198.68
Bolivia,1980,167.14
Bolivia,1985,141.65
Bolivia,1990,118.39
Bolivia,1995,96.21
Bolivia,2000,75.65
Bolivia,2005,59.68
Bolivia,2010,45.72
Bolivia,2017,32.44
Bosnia and Herzegovina,1950,218.68
Bosnia and Herzegovina,1955,202.15
Bosnia and Herzegovina,1960,137.94
Bosnia and Herzegovina,1965,108.97
Bosnia and Herzegovina,1970,80.02
Bosnia and Herzegovina,1975,57.05
Bosnia and Herzegovina,1980,41.27
Bosnia and Herzegovina,1985,28.93
Bosnia and Herzegovina,1990,18.3
Bosnia and Herzegovina,1995,27.72
Bosnia and Herzegovina,2000,12.32
Bosnia and Herzegovina,2005,8.76
Bosnia and Herzegovina,2010,7.81
Bosnia and Herzegovina,2017,7.04
Botswana,1950,138.61
Botswana,1955,133.07
Botswana,1960,127.5
Botswana,1965,119.11
Botswana,1970,106.71
Botswana,1975,86.5
Botswana,1980,72.99
Botswana,1985,63.84
Botswana,1990,59.49
Botswana,1995,61.87
Botswana,2000,68.48
Botswana,2005,56.31
Botswana,2010,34.6
Botswana,2017,25.14
Brazil,1950,284.88
Brazil,1955,256.92
Brazil,1960,229.21
Brazil,1965,205.14
Brazil,1970,183.11
Brazil,1975,153.56
Brazil,1980,125.31
Brazil,1985,99.54
Brazil,1990,76.9
Brazil,1995,59.3
Brazil,2000,45.66
Brazil,2005,35.59
Brazil,2010,27.23
Brazil,2017,20.19
Brunei,1950,176.57
Brunei,1955,170.78
Brunei,1960,128.2
Brunei,1965,73.65
Brunei,1970,57.99
Brunei,1975,40.09
Brunei,1980,23.9
Brunei,1985,16.02
Brunei,1990,12.67
Brunei,1995,11.51
Brunei,2000,10.68
Brunei,2005,10.51
Brunei,2010,10.25
Brunei,2017,9.97
Bulgaria,1950,130.57
Bulgaria,1955,109.68
Bulgaria,1960,59.37
Bulgaria,1965,39.74
Bulgaria,1970,34.31
Bulgaria,1975,30.74
Bulgaria,1980,26.98
Bulgaria,1985,21.01
Bulgaria,1990,20.82
Bulgaria,1995,20.08
Bulgaria,2000,18.74
Bulgaria,2005,14.23
Bulgaria,2010,12.37
Bulgaria,2017,8.56
Burkina Faso,1950,393.48
Burkina Faso,1955,375.54
Burkina Faso,1960,354.46
Burkina Faso,1965,333.06
Burkina Faso,1970,317.99
Burkina Faso,1975,298.32
Burkina Faso,1980,266.79
Burkina Faso,1985,238.77
Burkina Faso,1990,216.89
Burkina Faso,1995,207
Burkina Faso,2000,188.06
Burkina Faso,2005,164.48
Burkina Faso,2010,142.47
Burkina Faso,2017,115.59
Burundi,1950,322.08
Burundi,1955,306.99
Burundi,1960,285.31
Burundi,1965,268.59
Burundi,1970,253.37
Burundi,1975,239.93
Burundi,1980,220.87
Burundi,1985,197.32
Burundi,1990,187.26
Burundi,1995,191.43
Burundi,2000,176.09
Burundi,2005,138.44
Burundi,2010,103.8
Burundi,2017,86.61
Cambodia,1950,253.75
Cambodia,1955,240.57
Cambodia,1960,219.53
Cambodia,1965,199.96
Cambodia,1970,198.13
Cambodia,1975,259.09
Cambodia,1980,170.42
Cambodia,1985,148.36
Cambodia,1990,128.78
Cambodia,1995,119.22
Cambodia,2000,101.48
Cambodia,2005,72.92
Cambodia,2010,51.54
Cambodia,2017,34.9
Cameroon,1950,342.09
Cameroon,1955,303.72
Cameroon,1960,285.11
Cameroon,1965,247.14
Cameroon,1970,222.16
Cameroon,1975,197.36
Cameroon,1980,179.05
Cameroon,1985,156.85
Cameroon,1990,143.94
Cameroon,1995,147.2
Cameroon,2000,141.91
Cameroon,2005,129.93
Cameroon,2010,109.46
Cameroon,2017,78.71
Canada,1950,53.59
Canada,1955,41.25
Canada,1960,35.59
Canada,1965,29.48
Canada,1970,24.79
Canada,1975,18.83
Canada,1980,14.4
Canada,1985,10.8
Canada,1990,9.33
Canada,1995,7.81
Canada,2000,6.6
Canada,2005,6.74
Canada,2010,6.16
Canada,2017,5.81
Cape Verde,1950,167.65
Cape Verde,1955,156.61
Cape Verde,1960,169.73
Cape Verde,1965,143.1
Cape Verde,1970,179.32
Cape Verde,1975,135.62
Cape Verde,1980,96.31
Cape Verde,1985,91.26
Cape Verde,1990,68.64
Cape Verde,1995,79.07
Cape Verde,2000,55.34
Cape Verde,2005,43.49
Cape Verde,2010,31.89
Cape Verde,2017,23.31
Caribbean,1950,188.75
Caribbean,1955,177.59
Caribbean,1960,157.79
Caribbean,1965,135.33
Caribbean,1970,122.69
Caribbean,1975,107
Caribbean,1980,97.21
Caribbean,1985,83.99
Caribbean,1990,72.3
Caribbean,1995,64.27
Caribbean,2000,53.95
Caribbean,2005,50.5
Caribbean,2010,79.43
Caribbean,2017,38.69
Central African Republic,1950,240.15
Central African Republic,1955,234.24
Central African Republic,1960,217.71
Central African Republic,1965,198.67
Central African Republic,1970,188.42
Central African Republic,1975,186.69
Central African Republic,1980,182.88
Central African Republic,1985,181.1
Central African Republic,1990,185.11
Central African Republic,1995,187.16
Central African Republic,2000,190.19
Central African Republic,2005,178.89
Central African Republic,2010,160.73
Central African Republic,2017,131.1
Central Asia,1950,223.47
Central Asia,1955,189.43
Central Asia,1960,156.84
Central Asia,1965,127.84
Central Asia,1970,102.84
Central Asia,1975,90.18
Central Asia,1980,80.33
Central Asia,1985,72.41
Central Asia,1990,63.47
Central Asia,1995,61.02
Central Asia,2000,53.91
Central Asia,2005,44.4
Central Asia,2010,36.24
Central Asia,2017,28.73
Central Europe,1950,138.19
Central Europe,1955,108.44
Central Europe,1960,79.72
Central Europe,1965,60.82
Central Europe,1970,51.71
Central Europe,1975,39.65
Central Europe,1980,32.24
Central Europe,1985,28.47
Central Europe,1990,24.58
Central Europe,1995,19.98
Central Europe,2000,14.98
Central Europe,2005,11.72
Central Europe,2010,8.08
Central Europe,2017,6.28
Central Latin America,1950,212.96
Central Latin America,1955,182.51
Central Latin America,1960,151.59
Central Latin America,1965,128.87
Central Latin America,1970,111.85
Central Latin America,1975,93.24
Central Latin America,1980,73.73
Central Latin America,1985,58.64
Central Latin America,1990,46.17
Central Latin America,1995,37.33
Central Latin America,2000,30.04
Central Latin America,2005,24.94
Central Latin America,2010,21.6
Central Latin America,2017,17.57
Central Sub-Saharan Africa,1950,277.65
Central Sub-Saharan Africa,1955,266.39
Central Sub-Saharan Africa,1960,252.61
Central Sub-Saharan Africa,1965,239.22
Central Sub-Saharan Africa,1970,221.94
Central Sub-Saharan Africa,1975,209.24
Central Sub-Saharan Africa,1980,198.69
Central Sub-Saharan Africa,1985,184.87
Central Sub-Saharan Africa,1990,178.84
Central Sub-Saharan Africa,1995,175.77
Central Sub-Saharan Africa,2000,164.53
Central Sub-Saharan Africa,2005,140.94
Central Sub-Saharan Africa,2010,116.27
Central Sub-Saharan Africa,2017,83.1
Chad,1950,331.28
Chad,1955,314.27
Chad,1960,296.97
Chad,1965,281.62
Chad,1970,271.92
Chad,1975,253.54
Chad,1980,240.6
Chad,1985,223.95
Chad,1990,202.71
Chad,1995,193.17
Chad,2000,189.77
Chad,2005,172.7
Chad,2010,151.17
Chad,2017,122.75
Chile,1950,199.28
Chile,1955,168.33
Chile,1960,168.99
Chile,1965,132.34
Chile,1970,101.93
Chile,1975,70.1
Chile,1980,42.13
Chile,1985,25.39
Chile,1990,21.26
Chile,1995,15.26
Chile,2000,12.38
Chile,2005,10.96
Chile,2010,9.63
Chile,2017,7.88
China,1950,220.23
China,1955,191.91
China,1960,582.24
China,1965,141.1
China,1970,115.65
China,1975,92.27
China,1980,74.55
China,1985,61.6
China,1990,51.56
China,1995,44.48
China,2000,35.71
China,2005,26.09
China,2010,18.7
China,2017,13.16
Colombia,1950,178.3
Colombia,1955,154.19
Colombia,1960,134.43
Colombia,1965,110.79
Colombia,1970,94.01
Colombia,1975,77.77
Colombia,1980,58.14
Colombia,1985,48.58
Colombia,1990,36.93
Colombia,1995,32.91
Colombia,2000,28.19
Colombia,2005,24.48
Colombia,2010,20.23
Colombia,2017,15.61
Comoros,1950,304.8
Comoros,1955,289.94
Comoros,1960,273.15
Comoros,1965,246.68
Comoros,1970,220.06
Comoros,1975,198.16
Comoros,1980,177.06
Comoros,1985,149.67
Comoros,1990,128.67
Comoros,1995,112.55
Comoros,2000,102.08
Comoros,2005,82.71
Comoros,2010,69.45
Comoros,2017,50.19
Congo,1950,259.16
Congo,1955,254.44
Congo,1960,238.2
Congo,1965,217.47
Congo,1970,196.02
Congo,1975,166.9
Congo,1980,134.83
Congo,1985,106.05
Congo,1990,103.95
Congo,1995,110.01
Congo,2000,114.24
Congo,2005,96.57
Congo,2010,76.78
Congo,2017,59.9
Costa Rica,1950,146.44
Costa Rica,1955,128.25
Costa Rica,1960,99.47
Costa Rica,1965,98.67
Costa Rica,1970,86.19
Costa Rica,1975,50.2
Costa Rica,1980,26.54
Costa Rica,1985,24.52
Costa Rica,1990,18.95
Costa Rica,1995,16.8
Costa Rica,2000,13.8
Costa Rica,2005,11.95
Costa Rica,2010,11.67
Costa Rica,2017,8.8
Cote d'Ivoire,1950,344.78
Cote d'Ivoire,1955,328.85
Cote d'Ivoire,1960,301.99
Cote d'Ivoire,1965,273.24
Cote d'Ivoire,1970,242.39
Cote d'Ivoire,1975,209.3
Cote d'Ivoire,1980,179.24
Cote d'Ivoire,1985,167.73
Cote d'Ivoire,1990,162.77
Cote d'Ivoire,1995,164.2
Cote d'Ivoire,2000,150.98
Cote d'Ivoire,2005,138.92
Cote d'Ivoire,2010,121.35
Cote d'Ivoire,2017,94.67
Croatia,1950,165.12
Croatia,1955,129.98
Croatia,1960,81.28
Croatia,1965,60.65
Croatia,1970,45.48
Croatia,1975,32.33
Croatia,1980,23.63
Croatia,1985,19.67
Croatia,1990,13.61
Croatia,1995,12.06
Croatia,2000,9.02
Croatia,2005,7.17
Croatia,2010,5.73
Croatia,2017,4.59
Cuba,1950,70.84
Cuba,1955,62.01
Cuba,1960,50.66
Cuba,1965,48.21
Cuba,1970,47.34
Cuba,1975,33.27
Cuba,1980,25.7
Cuba,1985,23.3
Cuba,1990,15.02
Cuba,1995,13.45
Cuba,2000,9.62
Cuba,2005,8.26
Cuba,2010,6.67
Cuba,2017,5.71
Cyprus,1950,94.29
Cyprus,1955,84.17
Cyprus,1960,72.67
Cyprus,1965,61.63
Cyprus,1970,52.12
Cyprus,1975,45.01
Cyprus,1980,30.3
Cyprus,1985,20.75
Cyprus,1990,15.43
Cyprus,1995,11.93
Cyprus,2000,7.77
Cyprus,2005,5.41
Cyprus,2010,4.09
Cyprus,2017,3.2
Czech Republic,1950,81.27
Czech Republic,1955,36.88
Czech Republic,1960,27.22
Czech Republic,1965,30.49
Czech Republic,1970,27
Czech Republic,1975,24.59
Czech Republic,1980,21.06
Czech Republic,1985,16.44
Czech Republic,1990,13.73
Czech Republic,1995,9.76
Czech Republic,2000,5.87
Czech Republic,2005,4.8
Czech Republic,2010,3.86
Czech Republic,2017,3.26
Democratic Republic of Congo,1950,271.72
Democratic Republic of Congo,1955,258.69
Democratic Republic of Congo,1960,245.46
Democratic Republic of Congo,1965,234.5
Democratic Republic of Congo,1970,216.93
Democratic Republic of Congo,1975,203.32
Democratic Republic of Congo,1980,191.01
