Entity,Year,WorkHoursPerPerson
Argentina,1950,2034.00
Argentina,1951,2037.87
Argentina,1952,2041.74
Argentina,1953,2045.62
Argentina,1954,2049.51
Argentina,1955,2053.41
Argentina,1956,2057.31
Argentina,1957,2061.22
Argentina,1958,2065.14
Argentina,1959,2069.07
Argentina,1960,2073.00
Argentina,1961,2066.20
Argentina,1962,2059.42
Argentina,1963,2052.67
Argentina,1964,2045.94
Argentina,1965,2039.23
Argentina,1966,2032.54
Argentina,1967,2025.87
Argentina,1968,2019.22
Argentina,1969,2012.60
Argentina,1970,2006.00
Argentina,1971,2002.66
Argentina,1972,1999.33
Argentina,1973,1996.00
Argentina,1974,1992.84
Argentina,1975,1989.69
Argentina,1976,1986.54
Argentina,1977,1983.40
Argentina,1978,1980.26
Argentina,1979,1977.13
Argentina,1980,1974.00
Argentina,1981,1961.23
Argentina,1982,1948.54
Argentina,1983,1935.94
Argentina,1984,1923.41
Argentina,1985,1910.97
Argentina,1986,1898.61
Argentina,1987,1886.33
Argentina,1988,1874.12
Argentina,1989,1862.00
Argentina,1990,1850.00
Argentina,1991,1837.96
Argentina,1992,1826.00
Argentina,1993,1850.34
Argentina,1994,1875.00
Argentina,1995,1897.22
Argentina,1996,1846.07
Argentina,1997,1917.29
Argentina,1998,1903.00
Argentina,1999,1893.25
Argentina,2000,1861.00
Argentina,2001,1803.42
Argentina,2002,1610.57
Argentina,2003,1719.39
Argentina,2004,1739.68
Argentina,2005,1755.35
Argentina,2006,1809.43
Argentina,2007,1816.90
Argentina,2008,1835.88
Argentina,2009,1736.91
Argentina,2010,1728.73
Argentina,2011,1762.29
Argentina,2012,1788.99
Argentina,2013,1776.66
Argentina,2014,1776.66
Armenia,2009,1826.00
Armenia,2010,1873.00
Armenia,2011,1842.00
Armenia,2012,1842.00
Armenia,2013,1842.00
Armenia,2014,1842.00
Australia,1950,2309.28
Australia,1951,2287.92
Australia,1952,2266.76
Australia,1953,2245.80
Australia,1954,2225.03
Australia,1955,2204.46
Australia,1956,2184.07
Australia,1957,2163.87
Australia,1958,2143.86
Australia,1959,2124.03
Australia,1960,2104.39
Australia,1961,2098.29
Australia,1962,2092.22
Australia,1963,2086.16
Australia,1964,2080.11
Australia,1965,2074.09
Australia,1966,2068.08
Australia,1967,2062.09
Australia,1968,2056.12
Australia,1969,2050.16
Australia,1970,2044.22
Australia,1971,2039.89
Australia,1972,2035.90
Australia,1973,2031.80
Australia,1974,2027.69
Australia,1975,2023.70
Australia,1976,2019.70
Australia,1977,2015.38
Australia,1978,2011.38
Australia,1979,2034.13
Australia,1980,2021.02
Australia,1981,1997.25
Australia,1982,1958.76
Australia,1983,1981.13
Australia,1984,1986.28
Australia,1985,2002.14
Australia,1986,1977.43
Australia,1987,1990.39
Australia,1988,1999.48
Australia,1989,1987.89
Australia,1990,1967.76
Australia,1991,1962.17
Australia,1992,1971.27
Australia,1993,1981.62
Australia,1994,1995.46
Australia,1995,1994.18
Australia,1996,1982.11
Australia,1997,1980.66
Australia,1998,1978.11
Australia,1999,1983.27
Australia,2000,1968.58
Australia,2001,1925.45
Australia,2002,1904.04
Australia,2003,1904.36
Australia,2004,1905.53
Australia,2005,1890.87
Australia,2006,1872.08
Australia,2007,1863.41
Australia,2008,1842.34
Australia,2009,1822.59
Australia,2010,1816.45
Australia,2011,1814.06
Australia,2012,1808.09
Australia,2013,1801.66
Australia,2014,1803.06
Austria,1950,2096.25
Austria,1951,2093.58
