Entity,Year,18-29,30-49,50-64,65+
United States,2000,70,61,46,14
United States,2001,72,65,50,14
United States,2002,76,70,54,18
United States,2003,78,72,56,22
United States,2004,77,75,61,24
United States,2005,83,79,66,28
United States,2006,86,82,70,32
United States,2007,89,85,71,35
United States,2008,89,84,72,38
United States,2009,92,84,75,40
United States,2010,92,85,74,43
United States,2011,94,87,77,46
United States,2012,96,91,79,54
United States,2013,97,92,81,56
United States,2014,97,92,81,57
United States,2015,97,95,82,63
United States,2016,99,96,87,64
United States,2018,98,97,87,66
United States,2019,100,97,88,73
United States,2021,99,98,96,75
