Entity,Year,Number of people living in extreme poverty - by world region
China,1990,816905682.0
China,1991,801799933.0
China,1992,772504516.0
China,1993,738952525.0
China,1994,682334357.0
China,1995,642541897.0
China,1996,586134479.0
China,1997,585544946.0
China,1998,583112919.0
China,1999,575830190.0
China,2000,528901194.0
China,2001,502762184.0
China,2002,467384386.0
China,2003,419812468.0
China,2004,360723097.0
China,2005,288350575.0
China,2006,271968672.0
China,2007,250752594.0
China,2008,237894629.0
China,2009,213659179.0
China,2010,185971523.0
China,2011,137532709.0
China,2012,115009456.0
China,2013,39302677.0
China,2014,28523017.0
China,2015,16139948.0
China,2016,11564023.0
China,2017,9434420.0
China,2018,6001216.0
China,2019,2005031.0
East Asia and Pacific,1990,1055536103.0
East Asia and Pacific,1991,1040573331.0
East Asia and Pacific,1992,1011052199.0
East Asia and Pacific,1993,974904170.0
East Asia and Pacific,1994,910983635.0
East Asia and Pacific,1995,859153925.0
East Asia and Pacific,1996,790875756.0
East Asia and Pacific,1997,795810447.0
East Asia and Pacific,1998,822503631.0
East Asia and Pacific,1999,769745943.0
East Asia and Pacific,2000,717859327.0
East Asia and Pacific,2001,682537976.0
East Asia and Pacific,2002,614970645.0
East Asia and Pacific,2003,558440632.0
East Asia and Pacific,2004,493489345.0
East Asia and Pacific,2005,409468673.0
East Asia and Pacific,2006,401951267.0
East Asia and Pacific,2007,360805044.0
East Asia and Pacific,2008,341670254.0
East Asia and Pacific,2009,303471366.0
East Asia and Pacific,2010,261804771.0
East Asia and Pacific,2011,205333227.0
East Asia and Pacific,2012,176131012.0
East Asia and Pacific,2013,90483090.0
East Asia and Pacific,2014,72625708.0
East Asia and Pacific,2015,55250590.0
East Asia and Pacific,2016,46227607.0
East Asia and Pacific,2017,39652165.0
East Asia and Pacific,2018,31957065.0
East Asia and Pacific,2019,23641492.0
East Asia and Pacific excluding China,1990,238630421.0
East Asia and Pacific excluding China,1991,238773398.0
East Asia and Pacific excluding China,1992,238547683.0
East Asia and Pacific excluding China,1993,235951645.0
East Asia and Pacific excluding China,1994,228649278.0
East Asia and Pacific excluding China,1995,216612028.0
East Asia and Pacific excluding China,1996,204741277.0
East Asia and Pacific excluding China,1997,210265501.0
East Asia and Pacific excluding China,1998,239390712.0
East Asia and Pacific excluding China,1999,193915753.0
East Asia and Pacific excluding China,2000,188958133.0
East Asia and Pacific excluding China,2001,179775792.0
East Asia and Pacific excluding China,2002,147586259.0
East Asia and Pacific excluding China,2003,138628164.0
East Asia and Pacific excluding China,2004,132766248.0
East Asia and Pacific excluding China,2005,121118098.0
East Asia and Pacific excluding China,2006,129982595.0
East Asia and Pacific excluding China,2007,110052450.0
East Asia and Pacific excluding China,2008,103775625.0
East Asia and Pacific excluding China,2009,89812187.0
East Asia and Pacific excluding China,2010,75833248.0
East Asia and Pacific excluding China,2011,67800518.0
East Asia and Pacific excluding China,2012,61121556.0
East Asia and Pacific excluding China,2013,51180413.0
East Asia and Pacific excluding China,2014,44102691.0
East Asia and Pacific excluding China,2015,39110642.0
East Asia and Pacific excluding China,2016,34663584.0
East Asia and Pacific excluding China,2017,30217745.0
East Asia and Pacific excluding China,2018,25955849.0
East Asia and Pacific excluding China,2019,21636461.0
Europe and Central Asia,1990,14964693.0
Europe and Central Asia,1991,17593850.0
Europe and Central Asia,1992,24950602.0
Europe and Central Asia,1993,29889086.0
Europe and Central Asia,1994,38630008.0
Europe and Central Asia,1995,38761495.0
Europe and Central Asia,1996,38915802.0
Europe and Central Asia,1997,36512324.0
Europe and Central Asia,1998,36014732.0
Europe and Central Asia,1999,46242157.0
Europe and Central Asia,2000,42995172.0
Europe and Central Asia,2001,39172148.0
Europe and Central Asia,2002,34758446.0
Europe and Central Asia,2003,33952185.0
Europe and Central Asia,2004,29484423.0
Europe and Central Asia,2005,29333894.0
Europe and Central Asia,2006,26070454.0
Europe and Central Asia,2007,23387057.0
Europe and Central Asia,2008,20715958.0
Europe and Central Asia,2009,20163002.0
Europe and Central Asia,2010,19949392.0
Europe and Central Asia,2011,18557102.0
Europe and Central Asia,2012,17925609.0
Europe and Central Asia,2013,16382583.0
Europe and Central Asia,2014,17170333.0
Europe and Central Asia,2015,15572137.0
Europe and Central Asia,2016,14054284.0
Europe and Central Asia,2017,13960518.0
Europe and Central Asia,2018,11976724.0
