Entity,Year,Under 5 mortality rate (IHME (2017))
Afghanistan,1980,214.89
Afghanistan,1985,198.76
Afghanistan,1990,160.55
Afghanistan,1995,147.78
Afghanistan,2000,133.27
Afghanistan,2005,113.14
Afghanistan,2010,94.75
Afghanistan,2015,82.53
Albania,1980,60.66
Albania,1985,54.48
Albania,1990,41.3
Albania,1995,37.9
Albania,2000,26.74
Albania,2005,21.13
Albania,2010,16.13
Albania,2015,12.15
Algeria,1980,105.97
Algeria,1985,71.58
Algeria,1990,54.44
Algeria,1995,44.79
Algeria,2000,36.65
Algeria,2005,30.93
Algeria,2010,26.64
Algeria,2015,22.74
American Samoa,1980,23.08
American Samoa,1985,19.31
American Samoa,1990,18.27
American Samoa,1995,16.21
American Samoa,2000,13.82
American Samoa,2005,11.3
American Samoa,2010,8.69
American Samoa,2015,7.09
Andorra,1980,10.44
Andorra,1985,8.47
Andorra,1990,6.11
Andorra,1995,4.1
Andorra,2000,2.93
Andorra,2005,2.78
Andorra,2010,2.25
Andorra,2015,1.91
Angola,1980,192.03
Angola,1985,184.64
Angola,1990,190.45
Angola,1995,166.87
Angola,2000,155.76
Angola,2005,123.26
Angola,2010,100.82
Angola,2015,78.7
Antigua and Barbuda,1980,27.23
Antigua and Barbuda,1985,19.68
Antigua and Barbuda,1990,18.85
Antigua and Barbuda,1995,19.58
Antigua and Barbuda,2000,18.84
Antigua and Barbuda,2005,15.73
Antigua and Barbuda,2010,13.85
Antigua and Barbuda,2015,12.87
Argentina,1980,40.52
Argentina,1985,31.56
Argentina,1990,28.27
Argentina,1995,23.44
Argentina,2000,19.81
Argentina,2005,16.86
Argentina,2010,14.76
Argentina,2015,12.57
Armenia,1980,70.51
Armenia,1985,57.89
Armenia,1990,47.26
Armenia,1995,44.11
Armenia,2000,31.14
Armenia,2005,24.89
Armenia,2010,19.18
Armenia,2015,14.95
Australia,1980,12.86
Australia,1985,11.89
Australia,1990,9.6
Australia,1995,6.98
Australia,2000,6.26
Australia,2005,5.77
Australia,2010,4.93
Australia,2015,3.94
Austria,1980,17.25
Austria,1985,13.09
Austria,1990,9.65
Austria,1995,6.8
Austria,2000,5.66
Austria,2005,5.07
Austria,2010,4.64
Austria,2015,3.53
Azerbaijan,1980,97
Azerbaijan,1985,90.13
Azerbaijan,1990,80.97
Azerbaijan,1995,80.03
Azerbaijan,2000,64.64
Azerbaijan,2005,51.83
Azerbaijan,2010,38.98
Azerbaijan,2015,29.71
Bahamas,1980,46.76
Bahamas,1985,40.59
Bahamas,1990,32.56
Bahamas,1995,22.88
Bahamas,2000,18.36
Bahamas,2005,20.54
Bahamas,2010,18.38
Bahamas,2015,16.21
Bahrain,1980,26.94
Bahrain,1985,20.95
Bahrain,1990,21.21
Bahrain,1995,16.75
Bahrain,2000,12.69
Bahrain,2005,9.78
Bahrain,2010,7.56
Bahrain,2015,6.62
Bangladesh,1980,194.73
Bangladesh,1985,168.15
Bangladesh,1990,137.08
Bangladesh,1995,107.89
Bangladesh,2000,83.82
Bangladesh,2005,65.37
Bangladesh,2010,50.51
Bangladesh,2015,39.03
Barbados,1980,36.54
Barbados,1985,31.73
Barbados,1990,26.4
Barbados,1995,22.16
Barbados,2000,20.97
Barbados,2005,19.86
Barbados,2010,18.09
Barbados,2015,16.22
Belarus,1980,26.66
Belarus,1985,23.51
Belarus,1990,20.68
Belarus,1995,18.81
Belarus,2000,15.46
Belarus,2005,11.17
Belarus,2010,7.63
Belarus,2015,5.7
Belgium,1980,15.1
Belgium,1985,11.25
Belgium,1990,10.02
Belgium,1995,7.46
Belgium,2000,6.05
Belgium,2005,4.93
Belgium,2010,4.5
Belgium,2015,3.81
Belize,1980,66.34
Belize,1985,47.83
Belize,1990,38.97
Belize,1995,28.1
Belize,2000,25.85
Belize,2005,21.82
Belize,2010,18.47
Belize,2015,16.67
Benin,1980,223.93
Benin,1985,200.55
Benin,1990,180.24
Benin,1995,160.98
Benin,2000,140.01
Benin,2005,116.84
Benin,2010,95.78
Benin,2015,77.88
Bermuda,1980,16.66
Bermuda,1985,12.22
Bermuda,1990,11.17
Bermuda,1995,9.3
Bermuda,2000,4.51
Bermuda,2005,6.45
Bermuda,2010,5.28
Bermuda,2015,4.32
Bhutan,1980,176.01
Bhutan,1985,149.31
Bhutan,1990,122.22
Bhutan,1995,99.55
Bhutan,2000,82.24
Bhutan,2005,66.67
Bhutan,2010,54.54
Bhutan,2015,44.07
Bolivia,1980,159.66
Bolivia,1985,134.21
Bolivia,1990,111.16
Bolivia,1995,89.03
Bolivia,2000,68.26
Bolivia,2005,51.33
Bolivia,2010,38.84
Bolivia,2015,29.37
Bosnia and Herzegovina,1980,33.57
Bosnia and Herzegovina,1985,25.77
Bosnia and Herzegovina,1990,18.28
Bosnia and Herzegovina,1995,22.9
Bosnia and Herzegovina,2000,10.86
Bosnia and Herzegovina,2005,8.76
Bosnia and Herzegovina,2010,7.18
Bosnia and Herzegovina,2015,5.39
Botswana,1980,66.6
Botswana,1985,57.59
Botswana,1990,53.77
Botswana,1995,56.83
Botswana,2000,63.68
Botswana,2005,53.82
Botswana,2010,39.62
Botswana,2015,28.18
Brazil,1980,77.84
Brazil,1985,65.02
Brazil,1990,52.12
Brazil,1995,40.67
Brazil,2000,31.22
Brazil,2005,25.06
Brazil,2010,20.73
Brazil,2015,16.94
Brunei,1980,19.72
Brunei,1985,13.56
Brunei,1990,10.18
Brunei,1995,9.16
Brunei,2000,8.86
Brunei,2005,8.76
Brunei,2010,8.64
Brunei,2015,8.9
Bulgaria,1980,23.61
Bulgaria,1985,18.68
Bulgaria,1990,18.21
Bulgaria,1995,17
Bulgaria,2000,17.69
Bulgaria,2005,13.18
Bulgaria,2010,11.69
Bulgaria,2015,8.72
Burkina Faso,1980,254.55
Burkina Faso,1985,227.01
Burkina Faso,1990,207.73
Burkina Faso,1995,195.71
Burkina Faso,2000,177.59
Burkina Faso,2005,154.28
Burkina Faso,2010,130.57
Burkina Faso,2015,110.38
Burundi,1980,221.51
Burundi,1985,178.26
Burundi,1990,173.41
Burundi,1995,174.66
Burundi,2000,165.89
Burundi,2005,118.18
Burundi,2010,85.12
Burundi,2015,76.8
Cambodia,1980,158.21
Cambodia,1985,133.38
Cambodia,1990,117.88
Cambodia,1995,114.18
Cambodia,2000,97.24
Cambodia,2005,65.15
Cambodia,2010,44.55
Cambodia,2015,31.36
Cameroon,1980,167.33
Cameroon,1985,146.38
Cameroon,1990,136.78
Cameroon,1995,140.65
Cameroon,2000,137.49
Cameroon,2005,124.64
Cameroon,2010,106.82
Cameroon,2015,89.75
Canada,1980,12.83
Canada,1985,9.8
Canada,1990,8.43
Canada,1995,7.23
Canada,2000,6.15
Canada,2005,6.08
Canada,2010,5.68
Canada,2015,5.03
Cape Verde,1980,73.7
Cape Verde,1985,74.57
Cape Verde,1990,57.04
Cape Verde,1995,50.94
Cape Verde,2000,44.86
Cape Verde,2005,37.69
Cape Verde,2010,32.09
Cape Verde,2015,28.16
Central African Republic,1980,187.57
Central African Republic,1985,179.48
Central African Republic,1990,178.14
Central African Republic,1995,168.5
Central African Republic,2000,164.93
Central African Republic,2005,154.86
Central African Republic,2010,143.46
Central African Republic,2015,126.77
Chad,1980,233.64
Chad,1985,219.45
Chad,1990,201.28
Chad,1995,189.56
Chad,2000,183.23
Chad,2005,167.91
Chad,2010,148.24
Chad,2015,130.5
Chile,1980,35.8
Chile,1985,22.86
Chile,1990,18.85
Chile,1995,13.42
Chile,2000,10.72
Chile,2005,9.15
Chile,2010,9.01
Chile,2015,7.61
China,1980,79.81
China,1985,64.8
China,1990,55.93
China,1995,46.66
China,2000,37.68
China,2005,23.4
China,2010,16.27
China,2015,12.32
