Entity,Year,Increase in life expectancy by hours per day (OWID calculations based on UN Population Division (2017 Revision)),Increase in life expectancy by months per year (OWID calculations based on UN Population Division (2017 Revision)),Increase in life expectancy (hours per day) between 1950-2015 (OWID calculations based on UN Population Division (2017 Revision))
Afghanistan,1950,,,0
Afghanistan,1955,11.375996,5.6879973,
Afghanistan,1960,11.448002,5.7240005,
Afghanistan,1965,10.574396,5.2871981,
Afghanistan,1970,10.478413,5.2392058,
Afghanistan,1975,11.3328,5.6664,
Afghanistan,1980,13.507195,6.7535982,
Afghanistan,1985,17.822407,8.9112034,
Afghanistan,1990,20.591988,10.295993,
Afghanistan,1995,15.355206,7.6776032,
Afghanistan,2000,11.649591,5.8247957,
Afghanistan,2005,14.486408,7.2432036,
Afghanistan,2010,13.084808,6.5424042,
Afghanistan,2015,9.897583,4.9487915,13.200369
Africa,1950,,,0
Africa,1955,10.948792,5.4743958,
Africa,1960,11.745594,5.8727965,
Africa,1965,10.675213,5.3376069,
Africa,1970,9.9359989,4.9679995,
Africa,1975,10.324804,5.1624022,
Africa,1980,9.6575871,4.8287935,
Africa,1985,7.6608028,3.8304017,
Africa,1990,2.6160097,1.3080047,
Africa,1995,.73439944,.36719972,
Africa,2000,4.1567869,2.0783935,
Africa,2005,11.390406,5.6952028,
Africa,2010,16.852806,8.426404,
Africa,2015,13.339196,6.6695986,9.2337227
Albania,1950,,,0
Albania,1955,13.507195,6.7535982,
Albania,1960,25.324806,12.662402,
Albania,1965,17.131203,8.5656004,
Albania,1970,5.2079954,2.6039977,
Albania,1975,8.6448116,4.3224058,
Albania,1980,7.0703983,3.5351989,
Albania,1985,5.6687984,2.8343995,
Albania,1990,2.1503906,1.0751953,
Albania,1995,1.7712159,.8856079,
Albania,2000,8.3999996,4.1999998,
Albania,2005,6.0576053,3.0288024,
Albania,2010,6.8879886,3.443994,
Albania,2015,7.3056149,3.6528077,8.8560019
Algeria,1950,,,0
Algeria,1955,8.764801,4.3824005,
Algeria,1960,10.670399,5.3351989,
Algeria,1965,10.819189,5.4095945,
Algeria,1970,9.4896049,4.744803,
Algeria,1975,11.971197,5.9855986,
Algeria,1980,25.598402,12.7992,
Algeria,1985,28.401598,14.2008,
Algeria,1990,12.537598,6.2687988,
Algeria,1995,6.6719971,3.3359985,
Algeria,2000,10.44961,5.2248049,
Algeria,2005,11.879993,5.9399962,
Algeria,2010,9.1632195,4.5816102,
Algeria,2015,5.6831913,2.8415954,12.469292
Angola,1950,,,0
Angola,1955,4.2288027,2.1144013,
Angola,1960,6.4847989,3.2423997,
Angola,1965,8.5439949,4.271997,
Angola,1970,9.6768131,4.8384066,
Angola,1975,9.9023991,4.9511995,
Angola,1980,6.8928037,3.4464021,
Angola,1985,3.1055968,1.5527985,
Angola,1990,2.414392,1.207196,
Angola,1995,6.8592038,3.4296021,
Angola,2000,19.142395,9.5711975,
Angola,2005,27.456007,13.728003,
Angola,2010,25.723206,12.861603,
Angola,2015,14.6352,7.3175993,11.158893
Antigua and Barbuda,1950,,,0
Antigua and Barbuda,1955,10.670399,5.3351989,
Antigua and Barbuda,1960,11.308813,5.6544065,
Antigua and Barbuda,1965,9.7584038,4.8792024,
