Entity,Year,Income group,Harmonized national poverty line
Albania,2012,Upper middle income,4.8975596854529915
Algeria,2011,Upper middle income,3.9081240271526956
Angola,2018,Lower middle income,2.225615353489502
Argentina,2017,High income,13.30969083028982
Armenia,2017,Upper middle income,5.123629413778483
Australia,2014,High income,33.564555074444506
Austria,2017,High income,31.23785487854849
Azerbaijan,2001,Low income,4.8780534529211454
Bangladesh,2016,Lower middle income,2.572487202457759
Belarus,2017,Upper middle income,7.670311226433352
Belgium,2017,High income,30.905852440033755
Benin,2015,Low income,1.7746170885783958
Bhutan,2017,Lower middle income,3.494527903230624
Bolivia,2017,Lower middle income,10.460691085858397
Bosnia and Herzegovina,2011,Upper middle income,10.28052037839893
Botswana,2009,Upper middle income,2.273638328992144
Brazil,2013,Upper middle income,7.0368554385008295
Bulgaria,2017,Upper middle income,10.871627663377614
Burkina Faso,2014,Low income,2.162022231168417
Burundi,2013,Low income,2.1432490869455534
Cameroon,2014,Lower middle income,2.909364028598093
Canada,2017,High income,32.19562023349135
Cape Verde,2015,Lower middle income,5.085580412593444
Central African Republic,2008,Low income,2.164140527213489
Chad,2011,Low income,2.662032448215249
Chile,2017,High income,7.148966486793039
China,2016,Upper middle income,3.0682385536163603
Colombia,2017,Upper middle income,5.811494931441818
Comoros,2004,Low income,4.1760623223712985
Congo,2011,Lower middle income,2.4511536904434545
Costa Rica,2017,Upper middle income,8.617850388450027
Cote d'Ivoire,2015,Lower middle income,2.58391231452786
Croatia,2017,High income,13.789621339119687
Cyprus,2017,High income,23.615988098374753
Czechia,2017,High income,19.173440536225076
Democratic Republic of Congo,2012,Low income,1.898853818662064
Denmark,2017,High income,32.24915036138396
Djibouti,2017,Lower middle income,2.3344553370774963
Dominican Republic,2017,Upper middle income,6.8548704219474725
Ecuador,2017,Upper middle income,5.940432913391311
Egypt,2017,Lower middle income,4.157091779398289
El Salvador,2017,Lower middle income,5.967965868337865
Estonia,2017,High income,21.42080041881673
Eswatini,2016,Lower middle income,3.7209782797413755
Ethiopia,2015,Low income,2.036781587590105
Fiji,2013,Upper middle income,6.419757549364895
Finland,2017,High income,30.846481272215566
France,2017,High income,27.392155816956265
Gabon,2017,Upper middle income,7.160034921703519
Gambia,2015,Low income,3.868932848248268
Georgia,2017,Lower middle income,3.7956053892289208
Germany,2016,High income,29.770125820550582
Ghana,2016,Lower middle income,2.042462956339947
Greece,2017,High income,12.194365481858993
Guatemala,2014,Lower middle income,7.379955503896176
Guinea,2012,Low income,3.4007199295094597
Guinea-Bissau,2010,Low income,2.2770115851007517
Haiti,2012,Low income,3.670317588811997
Honduras,2017,Lower middle income,6.660132244861197
Hungary,2017,High income,11.132417589478605
Iceland,2017,High income,31.040832079518346
