Entity,Year,Fossil Fuels (% electricity production) (World Bank (2014))
Albania,1971,42.85714286
Albania,1972,37.93103448
Albania,1973,33.78378378
Albania,1974,31.57894737
Albania,1975,28.08988764
Albania,1976,25.49019608
Albania,1977,23.47826087
Albania,1978,22.58064516
Albania,1979,21.16788321
Albania,1980,20.59219381
Albania,1981,18.66666667
Albania,1982,16.99867198
Albania,1983,15.34391534
Albania,1984,26.31154157
Albania,1985,32.3164919
Albania,1986,20.46611829
Albania,1987,23.77701934
Albania,1988,26.22991968
Albania,1989,25.34562212
Albania,1990,13.59223301
Albania,1991,7.857517025
Albania,1992,4.949911609
Albania,1993,6.092377444
Albania,1994,4.313625983
Albania,1995,6.013860943
Albania,1996,4.279505182
Albania,1997,3.825554705
Albania,1998,3.679780779
Albania,1999,2.670841776
Albania,2000,3.850983675
Albania,2001,4.691689008
Albania,2002,6.046013911
Albania,2003,2.143429487
Albania,2004,2.497324295
Albania,2005,1.286055484
Albania,2006,1.683562636
Albania,2007,2.517482517
Albania,2008,0
Albania,2009,0.019223376
Albania,2010,0.013213531
Albania,2011,1.407778573
Albania,2012,0
Albania,2013,0
Albania,2014,0
Algeria,1971,85.19515478
Algeria,1972,79.67980296
Algeria,1973,73.2002851
Algeria,1974,83.80052151
Algeria,1975,90.96418733
Algeria,1976,90.81463991
Algeria,1977,94.19758412
Algeria,1978,95.4379562
Algeria,1979,95.47363509
Algeria,1980,96.39196968
Algeria,1981,95.50478998
Algeria,1982,94.90208599
Algeria,1983,97.70013701
Algeria,1984,95.9577893
Algeria,1985,94.73684211
Algeria,1986,98.07410831
Algeria,1987,96.07766075
Algeria,1988,98.68967492
Algeria,1989,98.52518925
Algeria,1990,99.16169896
Algeria,1991,98.31075238
Algeria,1992,98.91173575
Algeria,1993,98.18172453
Algeria,1994,99.16511593
Algeria,1995,99.02104996
Algeria,1996,99.34637358
Algeria,1997,99.65111411
Algeria,1998,99.07574585
Algeria,1999,99.18002989
Algeria,2000,99.78750197
Algeria,2001,99.74084507
Algeria,2002,99.79383681
Algeria,2003,99.10385175
Algeria,2004,99.1968
Algeria,2005,98.36355595
Algeria,2006,99.38113893
Algeria,2007,99.39240779
Algeria,2008,99.29664977
Algeria,2009,99.20521545
Algeria,2010,99.61953907
Algeria,2011,99.01999063
Algeria,2012,98.91631967
Algeria,2013,99.44898981
Algeria,2014,99.60462003
Angola,1971,18.46361186
Angola,1972,18.85441527
Angola,1973,17.27642276
Angola,1974,30.18714402
Angola,1975,27.20306513
Angola,1976,26.83760684
Angola,1977,26.83760684
Angola,1978,9.743589744
Angola,1979,11.9047619
Angola,1980,11.85185185
Angola,1981,11.85185185
Angola,1982,12.36111111
Angola,1983,26.18135377
Angola,1984,10.29850746
Angola,1985,13.02729529
Angola,1986,13.02729529
Angola,1987,13.45679012
Angola,1988,13.98773006
Angola,1989,13.30891331
Angola,1990,13.79310345
Angola,1991,17.34475375
Angola,1992,11.29883844
Angola,1993,6.315789474
Angola,1994,6.282722513
Angola,1995,6.25
Angola,1996,10.01945525
Angola,1997,23.64746946
Angola,1998,19.57511381
Angola,1999,33.03370787
Angola,2000,36.88581315
Angola,2001,37.91208791
Angola,2002,35.2407932
Angola,2003,37.79448622
Angola,2004,21.59498208
Angola,2005,20.35175879
Angola,2006,19.38898972
Angola,2007,22.3811004
Angola,2008,24.59095284
Angola,2009,34.65681098
Angola,2010,32.04257662
Angola,2011,29.09219607
Angola,2012,39.2005158
Angola,2013,41.97906524
Angola,2014,46.82489451
Argentina,1971,93.22299357
Argentina,1972,93.76432467
Argentina,1973,88.55631822
Argentina,1974,78.09660107
Argentina,1975,73.48601029
Argentina,1976,74.70876357
Argentina,1977,76.97220251
Argentina,1978,67.96973141
Argentina,1979,64.28097022
Argentina,1980,55.72457563
Argentina,1981,54.72334509
Argentina,1982,50.93015093
Argentina,1983,48.90123945
Argentina,1984,45.25641596
Argentina,1985,41.39401303
Argentina,1986,45.25437218
Argentina,1987,45.39864333
Argentina,1988,59.89740841
Argentina,1989,64.12068658
Argentina,1990,50.20890816
Argentina,1991,55.09949089
Argentina,1992,52.45790161
Argentina,1993,48.47992724
Argentina,1994,44.63236548
Argentina,1995,49.24270686
Argentina,1996,55.89644979
Argentina,1997,49.60164873
Argentina,1998,53.53996649
Argentina,1999,63.87463184
Argentina,2000,59.89315038
Argentina,2001,50.33679188
Argentina,2002,49.54353309
Argentina,2003,53.82701293
Argentina,2004,60.50915989
Argentina,2005,59.95961741
Argentina,2006,55.67564027
Argentina,2007,63.43899828
Argentina,2008,67.62853196
Argentina,2009,64.37880888
Argentina,2010,65.68978868
Argentina,2011,62.776427
Argentina,2012,66.02372684
Argentina,2013,64.00040238
Argentina,2014,64.3890698
Armenia,1990,84.99324455
Armenia,1991,83.75367802
Armenia,1992,66.1928032
Armenia,1993,31.80301827
Armenia,1994,37.8932485
Armenia,1995,60.02517533
Armenia,1996,37.3028645
Armenia,1997,50.29026373
Armenia,1998,49.50734938
Armenia,1999,42.66223544
Armenia,2000,45.1829473
Armenia,2001,48.56396867
Armenia,2002,28.61025548
Armenia,2003,27.64951827
Armenia,2004,30.36484245
Armenia,2005,28.93778692
Armenia,2006,24.84430231
Armenia,2007,25.24584605
Armenia,2008,26.16984402
Armenia,2009,20.34914477
Armenia,2010,22.15375135
Armenia,2011,32.16689098
Armenia,2012,42.29716277
Armenia,2013,41.15434501
Armenia,2014,42.43870968
Australia,1960,79.94778311
Australia,1961,78.64515569
Australia,1962,78.76899263
Australia,1963,74.80464471
Australia,1964,76.56938145
Australia,1965,74.33131108
Australia,1966,79.5752724
Australia,1967,79.6726871
Australia,1968,81.10962119
Australia,1969,81.02703532
Australia,1970,81.47263117
Australia,1971,77.6717881
Australia,1972,78.67513448
Australia,1973,81.75932682
Australia,1974,80.41894746
Australia,1975,79.37862705
Australia,1976,79.64577443
Australia,1977,83.54164899
Australia,1978,83.34732033
Australia,1979,82.58332138
Australia,1980,86.00604826
Australia,1981,85.83281152
Australia,1982,86.48444159
Australia,1983,88.09386165
Australia,1984,88.76542546
Australia,1985,88.20157112
Australia,1986,88.06610621
Australia,1987,89.30453229
Australia,1988,89.13257264
Australia,1989,89.62143566
Australia,1990,90.34396936
Australia,1991,89.40179895
Australia,1992,89.93313475
Australia,1993,89.45085643
Australia,1994,89.80552614
Australia,1995,90.37585718
Australia,1996,90.77027218
Australia,1997,90.41232427
Australia,1998,91.56594998
Australia,1999,91.45594641
Australia,2000,91.61838143
Australia,2001,91.90154505
Australia,2002,92.13908118
Australia,2003,91.60947252
Australia,2004,91.86149336
Australia,2005,91.19629336
Australia,2006,90.70069223
Australia,2007,91.35192753
Australia,2008,91.88474244
Australia,2009,92.51991459
Australia,2010,91.38812037
Australia,2011,89.57334772
Australia,2012,89.40734664
Australia,2013,86.73589161
Australia,2014,85.09328779
Austria,1960,26.44087553
Austria,1961,30.70642088
Austria,1962,32.90083411
Austria,1963,36.328497
Austria,1964,36.10776035
Austria,1965,28.18048691
Austria,1966,27.56832575
Austria,1967,27.93435013
Austria,1968,29.68263355
Austria,1969,37.12644121
Austria,1970,29.17118093
Austria,1971,41.67080349
Austria,1972,41.27571305
Austria,1973,38.69840859
Austria,1974,32.94417003
Austria,1975,32.18160479
Austria,1976,41.80111385
Austria,1977,33.59408487
Austria,1978,34.1720413
Austria,1979,30.51720278
Austria,1980,30.17067308
Austria,1981,25.77522132
Austria,1982,25.68485853
Austria,1983,25.65281616
Austria,1984,28.71852723
Austria,1985,27.06552055
Austria,1986,26.25008527
Austria,1987,25.58364193
Austria,1988,23.35250992
Austria,1989,25.89156749
Austria,1990,33.68833171
Austria,1991,34.83987964
Austria,1992,27.46951281
Austria,1993,25.81417531
Austria,1994,29.08407054
Austria,1995,29.36315198
Austria,1996,32.75656102
Austria,1997,31.81108018
Austria,1998,30.01967448
Austria,1999,29.04399493
Austria,2000,27.21047533
Austria,2001,30.45343639
Austria,2002,30.590057
Austria,2003,38.79202024
Austria,2004,35.32317428
Austria,2005,36.14297979
Austria,2006,33.32098746
Austria,2007,30.07730148
Austria,2008,30.00154943
Austria,2009,27.91676091
Austria,2010,32.86767845
Austria,2011,33.38150753
Austria,2012,24.305212
Austria,2013,20.83856467
Austria,2014,17.73195876
Azerbaijan,1990,92.83863165
Azerbaijan,1991,92.50319829
Azerbaijan,1992,91.16024895
Azerbaijan,1993,87.26576033
Azerbaijan,1994,89.59080303
Azerbaijan,1995,90.87068763
Azerbaijan,1996,90.99900509
Azerbaijan,1997,89.83131385
Azerbaijan,1998,89.15990666
Azerbaijan,1999,91.71434859
Azerbaijan,2000,91.79635275
Azerbaijan,2001,93.14180285
Azerbaijan,2002,89.19843859
Azerbaijan,2003,88.40082683
Azerbaijan,2004,87.32983812
Azerbaijan,2005,86.84417629
Azerbaijan,2006,89.74045553
Azerbaijan,2007,89.17929235
Azerbaijan,2008,89.68719678
Azerbaijan,2009,87.75704897
Azerbaijan,2010,81.57669695
Azerbaijan,2011,86.8138366
Azerbaijan,2012,92.07847573
Azerbaijan,2013,93.04187719
Azerbaijan,2014,94.01892591
Bahrain,1971,100
Bahrain,1972,100
Bahrain,1973,100
Bahrain,1974,100
Bahrain,1975,100
Bahrain,1976,100
Bahrain,1977,100
Bahrain,1978,100
Bahrain,1979,100
Bahrain,1980,100
Bahrain,1981,100
Bahrain,1982,100
Bahrain,1983,100
Bahrain,1984,100
Bahrain,1985,100
Bahrain,1986,100
Bahrain,1987,100
Bahrain,1988,100
Bahrain,1989,100
Bahrain,1990,100
Bahrain,1991,100
Bahrain,1992,100
Bahrain,1993,100
Bahrain,1994,100
Bahrain,1995,100
Bahrain,1996,100
Bahrain,1997,100
Bahrain,1998,100
Bahrain,1999,100
Bahrain,2000,100
Bahrain,2001,100
Bahrain,2002,100
Bahrain,2003,100
Bahrain,2004,100
Bahrain,2005,100
Bahrain,2006,100
Bahrain,2007,100
Bahrain,2008,100
Bahrain,2009,100
Bahrain,2010,100
Bahrain,2011,100
Bahrain,2012,100
Bahrain,2013,100
Bahrain,2014,100
Bangladesh,1971,83.00970874
Bangladesh,1972,83.00970874
Bangladesh,1973,76.42450142
Bangladesh,1974,84.31245965
Bangladesh,1975,73.20221266
Bangladesh,1976,72.07461843
Bangladesh,1977,77.40434333
Bangladesh,1978,77.19693556
Bangladesh,1979,75.56203164
Bangladesh,1980,75.22311942
Bangladesh,1981,76.52141247
Bangladesh,1982,82.77338603
Bangladesh,1983,80.71657442
Bangladesh,1984,77.3827534
Bangladesh,1985,83.67932862
Bangladesh,1986,90.625
Bangladesh,1987,90.74637551
Bangladesh,1988,89.68047699
